sim_id,p_NiNi_phi0,p_NiNi_gamma,p_NiNi_r0,d_Ni_rho0,d_Ni_beta,d_Ni_r0,e_Ni_F0,Ni_fcc.E_coh,Ni_fcc.a0,Ni_fcc.c11,Ni_fcc.c12,Ni_fcc.c44,Ni_fcc.B,Ni_fcc.G,Ni_fcc.vac,Ni_fcc.100s,Ni_fcc.110s,Ni_fcc.111s,Ni_fcc.isf,E_Ni_fcc_hcp,E_Ni_fcc_bcc,E_Ni_fcc_sc,E_Ni_fcc_dia,Ni_fcc.E_coh.err,Ni_fcc.a0.err,Ni_fcc.c11.err,Ni_fcc.c12.err,Ni_fcc.c44.err,Ni_fcc.B.err,Ni_fcc.G.err,Ni_fcc.vac.err,Ni_fcc.100s.err,Ni_fcc.110s.err,Ni_fcc.111s.err,Ni_fcc.isf.err,E_Ni_fcc_hcp.err,E_Ni_fcc_bcc.err,E_Ni_fcc_sc.err,E_Ni_fcc_dia.err
sim_id,param,param,param,param,param,param,param,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
0,2.516257959071307,4.460614889292766,1.9364893426088698,2.2460867718792237,1.8133018715133884,0.9946565416878271,-3.4074256404315193,-2.69068784253845,3.59859325677025,235.433176789957,173.294725662346,104.017034863062,194.007542704883,31.069225563805503,0.8857005255771924,0.05271437514053579,0.057745238768471284,0.04448515515135856,3.6747012983743163e-14,0.0,0.030281901877910133,0.44279773699349034,0.8302628835458001,1.75931215746155,0.07859325677025009,-25.566823210042998,22.294725662345996,-27.982965136938006,6.007542704883008,-69.9307744361945,-0.7142994744228077,-0.09828562485946421,-0.0902547612315287,-0.08051484484864144,-0.014499999999963254,-0.024,-0.061718098122089865,-0.15720226300650963,-0.4397371164541999
2,4.617073138644604,5.387066417014248,1.7779563250047967,2.0033664356035583,1.3622951670907597,1.5065137314723351,-1.8417042969512596,-2.967159531435975,3.47010381783375,222.656926934905,151.914055527595,113.345174363994,175.49501266336497,35.371435703654996,1.1532509996413296,0.0719174532361518,0.0789315398917702,0.06242720480642654,3.270512954627802e-14,0.0,0.0431213383808049,0.5286889719911647,1.0568419430287623,1.4828404685640253,-0.049896182166250025,-38.34307306509501,0.9140555275949964,-18.654825636005995,-12.504987336635025,-65.628564296345,-0.4467490003586705,-0.0790825467638482,-0.0690684601082298,-0.06257279519357346,-0.014499999999967296,-0.024,-0.0488786616191951,-0.07131102800883526,-0.21315805697123769
3,2.8837203537030662,4.260892666947116,1.836273885338188,3.894348842015118,1.74058580103655,0.5819043248066416,-3.6376773385608865,-2.961959427349125,3.50684769911513,197.871998252105,146.560668598535,89.9222305428544,163.664445149725,25.655664826785,0.9660326781834101,0.06078096578156663,0.06670584208177531,0.05192445011254385,1.3343069791307633e-14,0.0,0.02827388563404032,0.4464833828392951,0.9133302886679129,1.488040572650875,-0.013152300884870183,-63.12800174789501,-4.439331401465012,-42.07776945714561,-24.335554850275003,-75.344335173215,-0.63396732181659,-0.09021903421843336,-0.08129415791822468,-0.07307554988745615,-0.014499999999986657,-0.024,-0.06372611436595968,-0.15351661716070486,-0.35666971133208714
4,3.178608659254524,3.9234448192798927,1.9271979661587493,2.3497592708150616,2.8141093388669884,1.6490351365770035,-4.305950599970202,-4.7554835959232,3.39591540830813,237.276889900386,191.682950149698,60.8168357024079,206.880930066594,22.796969875344004,0.9763362456963591,0.07088572919179546,0.0774811570187749,0.059391892135065724,4.610211580534231e-13,0.0,0.038409389706824726,0.4549986162763,0.9397143135677495,-0.3054835959231994,-0.12408459169187003,-23.72311009961399,40.682950149698,-71.1831642975921,18.880930066594004,-78.203030124656,-0.623663754303641,-0.08011427080820453,-0.0705188429812251,-0.06560810786493428,-0.014499999999538979,-0.024,-0.05359061029317527,-0.14500138372369997,-0.33028568643225054
5,2.0036660913485695,5.380486251582515,1.9514616217905598,4.817899910564093,1.7088061111342752,0.3309367697337934,-2.733412649798512,-2.1154550527169524,3.55169767696947,181.106696213227,123.552274076832,86.2878238457086,142.73708145563035,28.777211068197495,0.789026281929921,0.04719780971916644,0.051736691008493624,0.04026695241679103,-8.455337394273475e-15,0.0,0.03489442287305744,0.39324996129901235,0.7213748304884648,2.3345449472830477,0.03169767696947012,-79.893303786773,-27.447725923167994,-45.7121761542914,-45.262918544369654,-72.22278893180251,-0.8109737180700791,-0.10380219028083355,-0.09626330899150637,-0.08473304758320897,-0.014500000000008456,-0.024,-0.05710557712694256,-0.20675003870098763,-0.5486251695115352
6,3.85632425935766,5.422150790240638,1.8538073197367826,1.4777898972458026,1.9870767041792392,0.54232410984785,-6.497167427678315,-2.7761065644738,3.49010488014631,256.748928654304,174.695544645069,117.815204085624,202.04667264814734,41.0266920046175,1.008919723539634,0.06273520732163834,0.06890864740955484,0.05367281988922143,1.6165675536989664e-14,0.0,0.0497976225076,0.49793625137994013,-1.2434497875801753e-14,1.6738934355262,-0.029895119853689867,-4.251071345696005,23.695544645068992,-14.184795914375997,14.046672648147336,-59.9733079953825,-0.591080276460366,-0.08826479267836165,-0.07909135259044515,-0.07132718011077857,-0.014499999999983835,-0.024,-0.042202377492399995,-0.10206374862005985,-1.2700000000000125
7,5.902313044604986,3.0383222024046415,1.5970383501609098,0.6093456048074344,0.879197667573387,0.8588832837484928,-6.1232678794201645,-2.884020085523275,3.76113461283697,220.780510849727,190.33812104899,95.7026993579799,200.48558431590232,15.221194900368502,0.8497386395504236,0.047354021331246846,0.05151645922431988,0.03917761297653867,5.799917492444513e-15,0.0,-0.0021663188778000553,0.4068663671794952,0.8216461094664127,1.565979914476725,0.2411346128369698,-40.219489150273006,39.33812104898999,-36.297300642020105,12.485584315902315,-85.7788050996315,-0.7502613604495765,-0.10364597866875315,-0.09648354077568011,-0.08582238702346133,-0.014499999999994202,-0.024,-0.09416631887780005,-0.19313363282050477,-0.4483538905335873
9,3.4368585974522468,5.913987149433972,1.901666111273777,3.0827851623087748,2.728658259798981,1.2596156241791312,-2.6768296687793733,-2.273001178748745,3.47308958664559,261.197025630009,174.791412902551,107.852904887805,203.59328381170369,43.20280636372901,0.7781374951947271,0.04919282231926592,0.054214140136797685,0.04166711226733064,1.0202787922830575e-14,-2.6645352591003757e-15,0.05669416799897009,0.4083027749812249,0.71086695254192,2.176998821251255,-0.04691041335440982,0.19702563000902273,23.791412902551002,-24.147095112195004,15.593283811703685,-57.79719363627099,-0.821862504805273,-0.10180717768073408,-0.09378585986320231,-0.08333288773266936,-0.014499999999989797,-0.024000000000002665,-0.03530583200102991,-0.19169722501877506,-0.55913304745808
10,1.3931411926782014,3.7077194478749242,2.018631566116289,0.7616458363014333,2.421320461924269,2.444250036126651,-1.6849390243806828,-3.1025231533822,3.4397886679538,170.042204869969,135.976294677312,55.3320756525175,147.33159807486433,17.032955096328493,0.7092127539444277,0.04937064121905797,0.05409900807109455,0.04156424164158348,-6.934194980083181e-15,2.4868995751603507e-14,0.02255503349138488,0.3212850896319699,0.6854585093383498,1.3474768466178002,-0.08021133204620012,-90.957795130031,-15.023705322687988,-76.6679243474825,-40.66840192513567,-83.9670449036715,-0.8907872460555724,-0.10162935878094202,-0.09390099192890544,-0.08343575835841652,-0.014500000000006934,-0.02399999999997513,-0.06944496650861512,-0.2787149103680301,-0.5845414906616502
