sim_id,p_NiNi_phi0,p_NiNi_gamma,p_NiNi_r0,d_Ni_rho0,d_Ni_beta,d_Ni_r0,e_Ni_latticetype,e_Ni_ecoh,e_Ni_B,e_Ni_a0,Ni_fcc.E_coh,Ni_fcc.a0,Ni_fcc.E_coh.err,Ni_fcc.a0.err
sim_id,param,param,param,param,param,param,param,param,param,param,qoi,qoi,err,err
1,2.99064276965,4.15795177559,2.489015869776647,2.71194385555,3.02407201779,2.489015869776647,fcc,-4.45,188.0,3.52,-4.453466486993575,3.51960336893585,-0.003466486993574769,-0.0003966310641501103
2,2.0630812132,6.77982347125,2.489015869776647,3.11266908371,4.63095926297,2.489015869776647,fcc,-4.45,188.0,3.52,-4.473258830291875,3.51691941633084,-0.023258830291874588,-0.0030805836691598643
3,0.847676557511,3.54791388379,2.489015869776647,2.93072531198,6.89554636083,2.489015869776647,fcc,-4.45,188.0,3.52,-1426340.0892100974,1.380786605668,-1426335.6392100975,-2.1392133943319998
4,3.26909748151,4.15863588843,2.489015869776647,2.28983568772,2.948548812,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4535575243082,3.52078072649393,-0.0035575243082002217,0.0007807264939301284
6,1.35324628648,4.12338143305,2.489015869776647,1.21043627547,4.34302295633,2.489015869776647,fcc,-4.45,188.0,3.52,-4794.04600034695,7.28960374138665,-4789.59600034695,3.7696037413866503
8,1.95044303132,3.70401235375,2.489015869776647,3.52137281893,2.48987392363,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450943313272625,3.51948626792434,-0.0009433132726250903,-0.0005137320756598562
9,0.471438308441,5.10331598052,2.489015869776647,1.44881208292,3.3240084071,2.489015869776647,fcc,-4.45,188.0,3.52,-4.451174443963275,3.51926939468721,-0.0011744439632748183,-0.0007306053127900114
10,1.94226837576,6.51093939287,2.489015869776647,1.14908907292,6.8830095764,2.489015869776647,fcc,-4.45,188.0,3.52,-21485828.710264724,1.84928005294818,-21485824.260264724,-1.67071994705182
13,3.88737839443,5.24106234092,2.489015869776647,3.48339240018,4.43909278005,2.489015869776647,fcc,-4.45,188.0,3.52,-4.476767122284475,3.52106967594621,-0.02676712228447453,0.0010696759462098804
14,0.228461930513,5.29438775555,2.489015869776647,3.38102960581,6.25982426973,2.489015869776647,fcc,-4.45,188.0,3.52,-162168.56507401925,5.64629997379126,-162164.11507401924,2.12629997379126
15,3.78124460299,6.9470324753,2.489015869776647,3.14283507706,5.69749213252,2.489015869776647,fcc,-4.45,188.0,3.52,-4.556273120782375,3.51459884535547,-0.10627312078237505,-0.0054011546445300596
16,2.07541703436,4.47319719093,2.489015869776647,1.94510456217,2.67604464783,2.489015869776647,fcc,-4.45,188.0,3.52,-4.452462919555575,3.51946320100965,-0.002462919555575205,-0.0005367989903501957
17,0.393125126857,2.21493724052,2.489015869776647,1.89479753251,2.53318753175,2.489015869776647,fcc,-4.45,188.0,3.52,-5.14749212918175,11.3016668238242,-0.6974921291817502,7.781666823824201
18,2.41081986718,3.50357833447,2.489015869776647,2.96072898085,2.39006061905,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45075172976165,3.51952587961828,-0.0007517297616495,-0.0004741203817202333
19,2.45285106078,2.84985358652,2.489015869776647,2.30695449442,4.31159950677,2.489015869776647,fcc,-4.45,188.0,3.52,-40118.03723924525,3.16764043504004,-40113.58723924525,-0.35235956495996
20,0.55369015,5.88779153877,2.489015869776647,2.59527290448,6.70130557184,2.489015869776647,fcc,-4.45,188.0,3.52,-4501449.652746925,3.52547906129701,-4501445.202746925,0.005479061297009924
22,1.63621556542,6.42430628737,2.489015869776647,1.94712404364,6.60237440603,2.489015869776647,fcc,-4.45,188.0,3.52,-5155013.807561425,2.54155792844677,-5155009.357561424,-0.9784420715532298
23,2.97863730271,5.24902053601,2.489015869776647,1.61700345931,5.15996348535,2.489015869776647,fcc,-4.45,188.0,3.52,-4.488734187855475,3.52186843067591,-0.038734187855475,0.0018684306759100267
25,1.95354331503,3.85421450706,2.489015869776647,1.50703352084,3.53657759756,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45313989078985,3.51983765986769,-0.0031398907898498862,-0.00016234013230986832
28,1.08959459577,6.25179571348,2.489015869776647,1.14085757503,6.44087553716,2.489015869776647,fcc,-4.45,188.0,3.52,-2361271.411208105,3.52563719839162,-2361266.9612081046,0.005637198391620135
29,2.95838940167,3.43663857715,2.489015869776647,3.49250293314,2.34085328718,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450770880496125,3.51953614390138,-0.0007708804961250593,-0.00046385609861987476
30,0.331409979721,2.16523053729,2.489015869776647,1.13596112773,4.06758258002,2.489015869776647,fcc,-4.45,188.0,3.52,-6.187695862980675,10.9553989944462,-1.737695862980675,7.435398994446201
