sim_id,p_NiNi_phi0,p_NiNi_gamma,p_NiNi_r0,d_Ni_rho0,d_Ni_beta,d_Ni_r0,e_Ni_F0,Ni_fcc.E_coh,Ni_fcc.a0,Ni_fcc.c11,Ni_fcc.c12,Ni_fcc.c44,Ni_fcc.B,Ni_fcc.G,Ni_fcc.vac,Ni_fcc.100s,Ni_fcc.110s,Ni_fcc.111s,Ni_fcc.isf,E_Ni_fcc_hcp,E_Ni_fcc_bcc,E_Ni_fcc_sc,E_Ni_fcc_dia,Ni_fcc.E_coh.err,Ni_fcc.a0.err,Ni_fcc.c11.err,Ni_fcc.c12.err,Ni_fcc.c44.err,Ni_fcc.B.err,Ni_fcc.G.err,Ni_fcc.vac.err,Ni_fcc.100s.err,Ni_fcc.110s.err,Ni_fcc.111s.err,Ni_fcc.isf.err,E_Ni_fcc_hcp.err,E_Ni_fcc_bcc.err,E_Ni_fcc_sc.err,E_Ni_fcc_dia.err
sim_id,param,param,param,param,param,param,param,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
0,4.569186248654759,3.791699568571305,1.650049882023108,2.322674205121329,1.191252390290972,1.40063143581804,-3.6128189167890796,-6.36221334316845,3.28243440379275,139.127185300459,101.198089998797,90.4192854151941,113.84112176601768,18.964547650830994,2.1654205207642008,0.15554927777558542,0.17242252102205277,0.13989113916841356,-0.0009449585123410545,-0.002342994904225293,0.025076927679049454,0.7000416447784898,-0.0023429949042377274,-1.9122133431684496,-0.23756559620724982,-121.87281469954101,-49.801910001203,-41.580714584805904,-74.15887823398232,-82.035452349169,0.5654205207642007,0.00454927777558542,0.02442252102205278,0.014891139168413559,-0.015444958512341055,-0.026342994904225293,-0.06692307232095054,0.10004164477848987,-1.2723429949042377
1,1.5152136299693102,6.038666776747891,2.0221462627681563,1.5473243254417124,1.7973598989486947,0.9843134920793131,-4.456090010166279,-3.812384955324975,3.39729597416497,234.648431750247,147.759023449907,118.811089816473,176.72215955002034,43.44470415017,1.4920551942363431,0.09678795578608423,0.10646332428782124,0.084119937137748,1.0805289048550585e-13,0.0,0.07557773215882468,0.7008011772841449,0.0,0.6376150446750253,-0.12270402583502982,-26.351568249753,-3.240976550092995,-13.188910183527,-11.277840449979664,-57.55529584983,-0.10794480576365695,-0.05421204421391576,-0.041536675712178756,-0.040880062862252,-0.014499999999891948,-0.024,-0.016422267841175314,0.10080117728414495,-1.27
2,1.4442438597900331,5.317706939377223,2.0678897012500417,2.2753117414145825,1.8910726909496103,2.9084574336871993,-0.23828527456139137,-0.9444437615304725,3.81631293172361,286.264135901002,205.294485148625,123.80934174235,232.28436873275066,40.48482537618851,0.33523876022555044,0.017435080829037244,0.01909922952058047,0.014498670931833171,8.450119938774557e-16,0.0,0.021770591309152487,0.19134078409332345,0.3013206157405075,3.5055562384695276,0.2963129317236102,25.26413590100202,54.294485148625,-8.19065825765,44.284368732750664,-60.51517462381149,-1.2647612397744497,-0.13356491917096275,-0.12890077047941953,-0.11050132906816683,-0.014499999999999156,-0.024,-0.07022940869084751,-0.40865921590667653,-0.9686793842594925
3,3.566190179584043,5.587413832269968,1.820100162551066,1.410501959534573,2.0706430865430776,0.9431706617700425,-4.060258418502272,-2.5545919383384,3.42401094617866,182.520074610511,120.047938034986,85.1541368795323,140.871983560161,31.236068287762492,0.9364040837268135,0.06040871142495417,0.06644826591224498,0.052008987777064856,3.07922879514788e-14,0.0,0.04824006216747012,0.45218980820864996,0.8551060116677127,1.8954080616616,-0.09598905382134015,-78.47992538948901,-30.952061965013996,-46.8458631204677,-47.128016439839,-69.76393171223751,-0.6635959162731866,-0.09059128857504582,-0.08155173408775501,-0.07299101222293514,-0.014499999999969208,-0.024,-0.04375993783252988,-0.14781019179135002,-0.4148939883322873
4,3.2726419216543015,5.57810928554981,1.910790195389009,1.9858236756357326,2.068246507016966,0.5216961134019829,-6.173898949594595,-2.758671570946825,3.50773506442909,267.928343408873,180.636430170544,121.732706699925,209.73373458332034,43.645956619164494,1.0051840773282947,0.06181290957441088,0.06789511803712664,0.052723493519234346,6.9348862468393e-14,0.0,0.053910738324505214,0.5062358505397051,0.9192597978613,1.6913284290531752,-0.01226493557091013,6.9283434088729905,29.636430170544003,-10.267293300074996,21.73373458332034,-57.354043380835506,-0.5948159226717054,-0.08918709042558912,-0.08010488196287335,-0.07227650648076565,-0.014499999999930652,-0.024,-0.038089261675494784,-0.09376414946029488,-0.35074020213870005
6,2.336406578202727,4.117297562246907,1.8911207739879392,1.3763206353791064,2.2523466061939583,1.300303592191311,-4.38380528762329,-3.129185168870025,3.44961821088569,194.790861509682,146.873112865069,76.1114235272517,162.84569574660668,23.9588743223065,0.8800124792637121,0.05862307230493358,0.06443352780635002,0.04979951885786514,-1.103157421449342e-14,0.0,0.031122720612505095,0.4084671418348651,0.8375085770405879,1.320814831129975,-0.07038178911431014,-66.209138490318,-4.126887134930996,-55.8885764727483,-25.15430425339332,-77.0411256776935,-0.719987520736288,-0.09237692769506642,-0.08356647219364997,-0.07520048114213486,-0.014500000000011032,-0.024,-0.060877279387494904,-0.19153285816513488,-0.4324914229594121
7,1.4515442063639834,5.3102785110390265,1.9990967559010202,5.301536676331418,2.084105270930639,1.691910128514659,-0.1793232674189864,-0.252565340325885,4.03564476915959,211.373781852308,153.82113379892,88.9088693253947,173.005349816716,28.776324026694013,0.08430219103669856,0.003950139562492257,0.0043591278238522,0.0032733079493494043,3.003738373446727e-14,0.0,0.009183592859830003,0.05081806503425501,0.07606078721494627,4.197434659674115,0.5156447691595898,-49.626218147691986,2.8211337989199876,-43.091130674605296,-14.994650183283994,-72.22367597330599,-1.5156978089633015,-0.14704986043750773,-0.1436408721761478,-0.12172669205065059,-0.014499999999969964,-0.024,-0.08281640714017,-0.549181934965745,-1.1939392127850537
8,1.3587519434458748,4.8893506545276795,2.0095408920737245,1.2427832187203385,2.3660297695179957,1.2294835223468683,-3.5982673237911285,-2.129592017209305,3.50218164053152,190.321477810703,135.272866343915,78.5058808282197,153.62240349951102,27.524305733393987,0.679137677260627,0.042820517588822465,0.04707251307307768,0.036261910409332465,-8.696121328454752e-15,0.0,0.033878580349195,0.3416816379725949,0.6340764904567422,2.3204079827906954,-0.017818359468479983,-70.67852218929701,-15.727133656084987,-53.4941191717803,-34.37759650048898,-73.47569426660601,-0.9208623227393731,-0.10817948241117753,-0.10092748692692231,-0.08873808959066753,-0.014500000000008697,-0.024,-0.058121419650805,-0.2583183620274051,-0.6359235095432578
9,3.1221658656394817,6.944415710788981,1.932629848242438,0.3036243443570448,3.1484520124867093,2.370237740044236,-1.348772865438526,-1.701905313506415,3.45463021325878,226.039394725012,144.658660640016,91.3152946016122,171.78557200168132,40.690367042497996,0.6029145896953878,0.03825557856209603,0.04230816532973707,0.03231799749099601,6.874742537256714e-15,-2.4424906541753444e-15,0.05937284793987008,0.32743191183545495,0.5432294042155612,2.748094686493585,-0.06536978674122018,-34.96060527498801,-6.341339359984005,-40.684705398387806,-16.214427998318683,-60.309632957502004,-0.9970854103046123,-0.11274442143790397,-0.10569183467026291,-0.09268200250900399,-0.014499999999993126,-0.024000000000002443,-0.03262715206012992,-0.27256808816454503,-0.7267705957844388
10,2.140033564087093,5.566931294655878,1.9680891053409657,3.689109734992736,2.2278596286931887,1.1178269071063962,-3.749247384157119,-4.42499169730165,3.35533840435947,217.150039001717,137.15060740069,100.820976256357,163.81708460103235,39.9997158005135,1.5910132346314754,0.10720361212310464,0.11810066890019665,0.09268200043249922,-3.167603774727946e-05,-7.847196515076149e-05,0.08076222754710471,0.7532060795967097,1.4479159892766997,0.025008302698350526,-0.16466159564052996,-43.849960998282995,-13.849392599309994,-31.179023743643,-24.18291539896765,-61.0002841994865,-0.008986765368524718,-0.043796387876895354,-0.029899331099803347,-0.03231799956750078,-0.01453167603774728,-0.024078471965150762,-0.011237772452895284,0.15320607959670973,0.17791598927669972
11,1.5378972296756788,5.724614472125894,2.0644514368520173,4.835294516261817,2.4901393134408596,0.32073677188829053,-4.063819192669555,-1.23598413176722,3.68154533702357,265.600039850687,183.882996100874,112.398895581252,211.122010684145,40.85852187490649,0.4245406388085371,0.023856864088371996,0.026235877561890403,0.01993911201160391,5.44805866509932e-15,0.0,0.03224927472842998,0.236253483242856,0.38491795466679,3.21401586823278,0.16154533702356977,4.600039850686983,32.88299610087401,-19.601104418747994,23.12201068414501,-60.14147812509351,-1.175459361191463,-0.127143135911628,-0.12176412243810959,-0.10506088798839609,-0.014499999999994552,-0.024,-0.05975072527157002,-0.363746516757144,-0.88508204533321
12,3.681320538275203,3.8911315698007236,1.8356380734197504,1.5395597366427949,2.313676859815217,1.9024878700445147,-2.987044659375778,-4.36193484734125,3.42500824440951,231.460971500201,178.809826850193,84.2230634757492,196.36020840019566,26.325572325004003,1.125686412481798,0.07731946195836134,0.08495057811688152,0.06560991073158946,4.937885688213626e-13,0.0,0.03664703622998999,0.50829662524366,1.0764484327515378,0.08806515265874992,-0.09499175559049,-29.539028499799002,27.80982685019299,-47.7769365242508,8.36020840019566,-74.674427674996,-0.4743135875182021,-0.07368053804163865,-0.06304942188311848,-0.05939008926841054,-0.014499999999506212,-0.024,-0.055352963770010005,-0.09170337475633994,-0.19355156724846223
13,3.937324582741281,4.961485990329602,1.7997197653339658,3.680219535690705,1.9721237887335978,1.2769026178539002,-2.515682726688318,-3.799181197604925,3.38621614613027,195.553159099654,131.861054498586,92.8812927923858,153.09175603227533,31.846052300534012,1.3278060026809726,0.08842016828635309,0.09733675071947724,0.07656093438598201,-5.953719819341387e-07,-1.514311225303544e-06,0.05335920877491995,0.6051905175147647,1.2218958521737875,0.6508188023950754,-0.1337838538697298,-65.44684090034599,-19.138945501414014,-39.11870720761419,-34.90824396772467,-69.15394769946599,-0.2721939973190275,-0.06257983171364691,-0.05066324928052275,-0.04843906561401799,-0.014500595371981935,-0.024001514311225304,-0.038640791225080046,0.0051905175147647364,-0.04810414782621253
14,3.281082037356509,5.806594616564315,1.838057031787525,0.875404584842268,2.265207844123444,1.365204494278465,-2.87561863704884,-1.963747529478725,3.45543644812227,181.087055064927,119.594334502653,81.0993041132526,140.09190802341098,30.746360281137,0.7139718196965816,0.04523579123843167,0.04975909862136324,0.03868124517468739,2.3363218471443692e-14,0.0,0.04255946257430998,0.358494433783195,0.650858724788625,2.486252470521275,-0.06456355187772989,-79.912944935073,-31.405665497347,-50.9006958867474,-47.90809197658902,-70.253639718863,-0.8860281803034185,-0.10576420876156833,-0.09824090137863675,-0.08631875482531261,-0.014499999999976637,-0.024,-0.04944053742569002,-0.24150556621680497,-0.619141275211375
15,1.8182782900922139,2.7649171260803467,2.027081475084425,3.8675148419125316,1.5166038350502495,0.5096270353440178,-5.353521450946177,-3.816817132094825,3.62192360628338,194.494645604573,170.081836044847,71.346123052713,178.21943923142234,12.206404779863007,0.8435656251803039,0.05378982313992087,0.05861561668776937,0.044544064197175305,-1.125779938148058e-14,0.0,0.002737769152630243,0.36305650243463505,0.8551523817951878,0.633182867905175,0.10192360628338015,-66.50535439542699,19.081836044846995,-60.653876947287,-9.780560768577658,-88.793595220137,-0.7564343748196962,-0.09721017686007913,-0.08938438331223061,-0.0804559358028247,-0.014500000000011259,-0.024,-0.08926223084736976,-0.23694349756536492,-0.4148476182048122
16,2.906269140808895,4.203807730274178,1.8739265945964134,3.8827664059652656,1.8451883392163686,1.621530413808607,-2.083333410546745,-4.27596163197035,3.4390786593112,239.203668064875,176.110635585064,108.22569925952,197.14164641166767,31.5465162399055,1.3615938958824927,0.08950034365795337,0.09841683115750849,0.07698583317250729,-1.9423763655747003e-14,0.0,0.04135029703018578,0.6040928302922706,1.2815116488661755,0.17403836802964978,-0.08092134068879986,-21.79633193512501,25.11063558506399,-23.77430074048,9.141646411667665,-69.4534837600945,-0.2384061041175074,-0.06149965634204663,-0.049583168842491504,-0.04801416682749271,-0.014500000000019424,-0.024,-0.05064970296981422,0.004092830292270588,0.011511648866175506
17,4.501911030200262,6.508125255339079,1.7941881355967269,4.573390785864501,1.5605003673147329,1.070673821477251,-0.6711556226221007,-1.0554528305151325,3.57812369764756,125.099713120108,81.4427102450282,60.7728618250207,95.99504453672147,21.828501437539906,0.4280874282791842,0.024874509461753274,0.027249168828460756,0.021238348392142666,3.2041945387259917e-15,0.0,0.023899477342767428,0.21954675836308546,0.38230566462947746,3.3945471694848677,0.05812369764755987,-135.900286879892,-69.5572897549718,-71.2271381749793,-92.00495546327853,-79.1714985624601,-1.1719125717208159,-0.12612549053824673,-0.12075083117153923,-0.10376165160785733,-0.014499999999996797,-0.024,-0.06810052265723257,-0.3804532416369145,-0.8876943353705226
18,2.9692025007875946,2.5657255111225807,1.8546706286617256,3.5365681178347437,1.3934040744197955,1.4068318246137148,-3.4009602157209136,-4.9881757151474,3.54330119421167,182.997226912658,163.443898984279,69.5642540285552,169.96167496040533,9.776663964189495,1.0675927679128563,0.07209562240346681,0.07874901577744538,0.06042076207109039,3.3981830718839414e-13,0.0,0.0023006693245601895,0.4031165128280998,-1.2434497875801753e-14,-0.5381757151473998,0.023301194211669873,-78.002773087342,12.443898984279002,-62.4357459714448,-18.038325039594667,-91.2233360358105,-0.5324072320871438,-0.07890437759653318,-0.06925098422255462,-0.0645792379289096,-0.014499999999660182,-0.024,-0.08969933067543981,-0.19688348717190018,-1.2700000000000125
