sim_id,p_NiNi_phi0,p_NiNi_gamma,p_NiNi_r0,d_Ni_rho0,d_Ni_beta,d_Ni_r0,e_Ni_latticetype,e_Ni_ecoh,e_Ni_B,e_Ni_a0,Ni_fcc.E_coh,Ni_fcc.a0,Ni_fcc.E_coh.err,Ni_fcc.a0.err
sim_id,param,param,param,param,param,param,param,param,param,param,qoi,qoi,err,err
0,2.97592393076,4.95126892537,2.489015869776647,3.2839289048,2.99904165293,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45550402707325,3.51948652266556,-0.0055040270732495955,-0.0005134773344401822
1,2.33091875777,2.36496019885,2.489015869776647,3.75910480791,3.79013720318,2.489015869776647,fcc,-4.45,188.0,3.52,-10385.4309053406,3.80513179039507,-10380.980905340599,0.2851317903950701
3,1.77894644372,4.78207244292,2.489015869776647,1.60763329437,3.68634207958,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45535168116255,3.51958360652031,-0.005351681162549582,-0.00041639347969013585
4,3.18093874401,6.49760092308,2.489015869776647,1.48940705918,5.01746847876,2.489015869776647,fcc,-4.45,188.0,3.52,-4.49700544859585,3.51695028110439,-0.047005448595849764,-0.0030497188956100096
5,0.225556838062,5.05540558092,2.489015869776647,3.18052987112,5.23126826942,2.489015869776647,fcc,-4.45,188.0,3.52,-4.5711803659743,5.8285913057381,-0.1211803659742996,2.3085913057381
6,1.93412474481,6.67404904609,2.489015869776647,2.70716044692,6.63638604548,2.489015869776647,fcc,-4.45,188.0,3.52,-4.56401539189335,3.52291999515283,-0.11401539189334997,0.002919995152829813
7,1.30436641358,6.18332900991,2.489015869776647,3.2458597549,3.88794785881,2.489015869776647,fcc,-4.45,188.0,3.52,-4.457074437972425,3.51822884762347,-0.007074437972424796,-0.0017711523765298054
8,3.51298162509,3.09814580974,2.489015869776647,2.82121156544,4.22857368539,2.489015869776647,fcc,-4.45,188.0,3.52,-59785.4349460275,3.7071397379901,-59780.9849460275,0.18713973799009986
9,2.03478061969,4.32903656187,2.489015869776647,1.65016369484,3.12570705867,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45291678350385,3.51953972106627,-0.002916783503850162,-0.00046027893372979634
11,2.10783802675,6.3795595381,2.489015869776647,2.48352336841,4.6342977689,2.489015869776647,fcc,-4.45,188.0,3.52,-4.472107650631175,3.51829987357053,-0.022107650631174813,-0.0017001264294700391
12,1.8324698545,2.30523108462,2.489015869776647,3.25441537365,3.53388790916,2.489015869776647,fcc,-4.45,188.0,3.52,-4428.39950214415,4.37059688842164,-4423.94950214415,0.8505968884216402
13,2.51553014641,3.17953899371,2.489015869776647,3.74841690586,2.25808720377,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4501248217292,3.51952269313592,-0.00012482172919980883,-0.0004773068640799849
14,2.4844584849,4.58806361504,2.489015869776647,2.241220569,4.36115382947,2.489015869776647,fcc,-4.45,188.0,3.52,-4.463218130259425,3.52097877886753,-0.013218130259424754,0.0009787788675299502
15,1.27896640123,4.60727765005,2.489015869776647,1.90252880911,6.07745503785,2.489015869776647,fcc,-4.45,188.0,3.52,-1647030.11727818,2.45563353421487,-1647025.6672781801,-1.0643664657851302
16,0.715813828334,5.6378210113,2.489015869776647,1.58678945054,4.02607450126,2.489015869776647,fcc,-4.45,188.0,3.52,-4.453803797684075,3.51942286887786,-0.0038037976840747945,-0.0005771311221400843
17,3.54761506879,4.42253233309,2.489015869776647,2.42014891639,3.47830751228,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4574859948509,3.52088380488907,-0.007485994850899402,0.0008838048890700279
18,0.634302643494,6.79018615939,2.489015869776647,2.53155901118,3.17871340314,2.489015869776647,fcc,-4.45,188.0,3.52,-4.452411739148475,3.51812724398046,-0.002411739148475256,-0.0018727560195399562
21,0.488436641743,4.85765700755,2.489015869776647,1.25936883718,5.48803788382,2.489015869776647,fcc,-4.45,188.0,3.52,-56155.39624701,2.78209384274981,-56150.946247010004,-0.7379061572501899
22,2.06141199797,3.76528630116,2.489015869776647,3.51523112519,3.30114070506,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4523070751177,3.51975749749128,-0.002307075117699675,-0.00024250250872004386
23,1.75795239762,3.01333803513,2.489015869776647,3.54826741441,2.91945100733,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45000519666575,3.51979476239662,-5.19666575016231e-06,-0.00020523760337987085
24,3.65354202407,5.00911312739,2.489015869776647,1.06453443445,4.22981754034,2.489015869776647,fcc,-4.45,188.0,3.52,-4.46956474722205,3.52104154596421,-0.019564747222049483,0.0010415459642101332
25,3.26485876648,6.37694046992,2.489015869776647,3.66099186695,6.79104220059,2.489015869776647,fcc,-4.45,188.0,3.52,-30635470.52612675,1.80113741279271,-30635466.07612675,-1.71886258720729
