sim_id,SiSiSi_epsilon,SiSiSi_sigma,SiSiSi_a,SiSiSi_lambda,SiSiSi_gamma,SiSiSi_costheta0,SiSiSi_A,SiSiSi_B,SiSiSi_p,SiSiSi_q,SiSiSi_tol,Si_dia.a0,Si_dia.c11,Si_dia.c12,Si_dia.c44,Si_dia.B,Si_dia.vac,Si_dia.a0.err,Si_dia.c11.err,Si_dia.c12.err,Si_dia.c44.err,Si_dia.B.err,Si_dia.vac.err
sim_id,param,param,param,param,param,param,param,param,param,param,param,qoi,qoi,qoi,qoi,qoi,qoi,err,err,err,err,err,err
1002931.0,2.133942206356618,1.525905142969172,1.5723653086690839,26.174608419594623,1.2072775073916642,-0.3333333333333333,15.833895124695577,1.0220437472937596,2.666951441679425,0.48997445528442224,0.0,5.42994087426978,-1.04884265779503e-06,-1.05316824390753e-06,-1.04884265776145e-06,-1.05172638187003e-06,1.1394430652721123e-10,-5.912573021937817e-05,-166.00000104884265,-64.00000105316825,-80.00000104884266,-99.00000105172639,-3.5999999998860557
1002951.0,2.1233679763995825,2.298278702843214,1.5329382862563818,26.074165313793316,0.9669519861871281,-0.3333333333333333,8.14321955053791,0.9712450669920273,2.8418365419253586,0.7056903741218026,0.0,5.92090542909043,126.073569549771,97.2465261991601,23.2222482439037,106.85554064936373,144.88425056118368,0.49090542909043045,-39.926430450229006,33.2465261991601,-56.7777517560963,7.855540649363732,141.28425056118368
1002977.0,2.142134880301559,2.173545202254236,1.4406759288485773,24.665099191860108,1.2923164644768113,-0.3333333333333333,11.53519177536145,1.1574652383155435,4.252889440118313,0.8853157723132459,0.0,5.64003319015454,137.149351600237,155.44556715031,-18.8699470542579,149.346828633619,89.2886230382278,0.21003319015454025,-28.850648399763003,91.44556715031001,-98.86994705425789,50.346828633619,85.6886230382278
1002985.0,2.1739598562236115,2.196290890357745,1.4074793773482166,28.140437976559735,2.004618005668796,-0.3333333333333333,6.791165759854288,0.773239000071301,4.5176119644789985,0.29969395972421087,0.0,5.27567365050257,75.2210045498941,65.9308771450014,9.00253002812535,69.02758627996563,142.2746115315483,-0.1543263494974294,-90.7789954501059,1.9308771450014035,-70.99746997187465,-29.972413720034368,138.6746115315483
1002986.0,2.1734306256822102,1.7817370073700527,1.3470050734412982,21.172149327282092,1.9495180910234817,-0.3333333333333333,23.06200966524576,0.7371834939594659,4.193072045515211,0.7134559390246318,0.0,5.42999898850657,-2.06715485912489e-08,-2.07461018793254e-08,-2.06715485908832e-08,-2.07212507832999e-08,1.7049005320381555e-12,-1.0114934294591649e-06,-166.00000002067154,-64.0000000207461,-80.00000002067155,-99.00000002072125,-3.5999999999982952
1003000.0,2.186852249679497,1.9706469723727114,1.57902201362754,23.29316009128627,0.6012785082350278,-0.3333333333333333,6.192144734862102,1.161537398531966,4.182574520012381,1.0135306435239047,0.0,5.30890166374251,161.262182714927,10.7715093949082,73.7381909126686,60.935067168247805,126.61481591421418,-0.12109833625748934,-4.7378172850729925,-53.2284906050918,-6.2618090873314,-38.064932831752195,123.01481591421418
1003004.0,2.1464757340027187,2.2968222839517574,1.4164164101918537,19.95642211680016,2.0602035559105216,-0.3333333333333333,10.173853654487514,0.7268645686800048,3.4900063212443535,0.7362577143780654,0.0,5.34663589412676,96.4745555699664,93.1996679950316,3.24657193105829,94.29129718667654,233.09552235231894,-0.0833641058732395,-69.5254444300336,29.199667995031604,-76.75342806894172,-4.708702813323455,229.49552235231894
1003016.0,2.096122088150515,2.216411490529812,1.3636993622922433,28.251570116108216,1.4080353109388888,-0.3333333333333333,7.7045153444072465,0.9236807263280586,3.7017314257781604,0.9646016744476393,0.0,5.37233565123299,55.3114979304951,54.6681984725069,0.64048372075357,54.88263162516964,52.43216376628089,-0.057664348767009876,-110.68850206950489,-9.331801527493099,-79.35951627924644,-44.11736837483036,48.832163766280885
1003043.0,2.1877808288233815,2.1311241659901965,1.5525185500390435,35.33295286998069,1.7062637914491496,-0.3333333333333333,10.878271192342726,0.919191613475498,3.2079709495412234,0.8833415813186294,0.0,5.42874748438082,99.7369954307648,97.515883014612,2.19901921991101,98.25625381999627,272.0425566146821,-0.001252515619179384,-66.2630045692352,33.515883014612,-77.80098078008899,-0.7437461800037255,268.4425566146821
1003053.0,2.137627697115878,2.3238992948372337,1.2340795458451739,26.54632327894936,1.3817044613779847,-0.3333333333333333,13.559144702766403,1.0844755366981795,3.597563858749478,0.5180794878853283,0.0,5.66797732263575,69.1243759149074,78.3463700925495,-9.52942743012644,75.27237203333547,3.6638220217578317,0.23797732263575,-96.8756240850926,14.346370092549506,-89.52942743012645,-23.727627966664528,0.06382202175783158
1003054.0,2.073509433672537,2.103804681568399,1.5692215441220791,24.820806681451238,0.7283012704766352,-0.3333333333333333,6.911613358374893,0.8358214707453719,3.0656824950140815,0.6025921568910044,0.0,5.27889895331763,148.250270249992,11.5962866049813,68.9091752478462,57.14761448665154,235.33152696512644,-0.15110104668236968,-17.749729750007987,-52.4037133950187,-11.090824752153793,-41.85238551334846,231.73152696512645
1003060.0,2.091537394807542,2.3368785393269045,1.5519724335852554,22.59990328018442,0.956329847842677,-0.3333333333333333,5.997708277509076,0.8878770798935689,3.5067839362384556,0.8800657519857307,0.0,5.90894767817457,127.23419755057,84.9636419996387,32.2158080683903,99.05382718328246,167.73406683995358,0.4789476781745705,-38.76580244943,20.963641999638696,-47.7841919316097,0.05382718328246483,164.1340668399536
1003081.0,2.1322626163305842,1.9756948914881418,1.7536697323342427,27.91065414755773,1.4060030330649993,-0.3333333333333333,2.963857605073609,0.9738795341243971,3.443747281365926,0.3838903496027521,0.0,5.42501134670859,53.0451207149723,29.68890123203,18.2898527792727,37.4743077263441,184.59116185091412,-0.004988653291409406,-112.9548792850277,-34.31109876797,-61.7101472207273,-61.5256922736559,180.99116185091412
1003082.0,2.1490849519742765,2.303189586419661,1.4309012107575656,28.75051372499207,1.613270783647233,-0.3333333333333333,6.734518864643788,0.987279324423169,3.076085290155983,0.6542069865843879,0.0,5.78956098144138,69.802296940179,88.3625792524981,-19.7512439327214,82.17581848172506,62.2090176323762,0.3595609814413807,-96.197703059821,24.362579252498094,-99.7512439327214,-16.82418151827494,58.6090176323762
