sim_id,p_NiNi_a,p_NiNi_D0,p_NiNi_r0,d_Ni_rho0,d_Ni_beta,d_Ni_r0,e_Ni_F0,Ni_fcc.E_coh,Ni_fcc.a0,Ni_fcc.E_coh.err,Ni_fcc.a0.err
sim_id,param,param,param,param,param,param,param,qoi,qoi,err,err
4006874.0,1.7588994324084537,0.4225115726888209,2.8759339138232347,2.8138835069835317,2.222174434440685,2.3598059366379904,-0.8306524047226727,-4.64145953133565,3.82546570263443,-0.1914595313356502,0.30546570263443007
4006875.0,1.349332958472869,0.7756544304544852,3.0100491053406455,2.7862928952605577,3.8279747525251935,1.6763539659268063,-3.160349902883124,-3.305250907832725,4.06031231086643,1.1447490921672752,0.5403123108664301
4006878.0,1.7567233258153976,0.7152969627139311,2.9079229362203884,3.2936268948606644,4.548813687575384,1.2320263960972544,-2.1803871584880685,-3.135993192586075,4.07275026254361,1.314006807413925,0.55275026254361
4006890.0,1.9246297727443824,0.6044237135865868,2.496442601521896,1.4702413185212968,4.689058107315866,1.886300580451867,-1.024806264528091,-4.74218925636715,3.31896898366604,-0.2921892563671502,-0.20103101633395992
4006892.0,1.9659315451661508,0.47754193506634834,2.3703818483462378,3.0164777091955615,3.878427635687942,0.7780496136054885,-3.1087241554039697,-4.02465254694465,3.14167396411726,0.42534745305535004,-0.37832603588273983
4006896.0,1.3826299198562957,0.6204233829496935,2.5993118127041783,1.4019010147357862,7.329515872935326,1.5165257542129111,-2.085878283758962,-2.66956906561815,3.46501477440424,1.78043093438185,-0.054985225595760134
4006897.0,1.784167756430894,0.6770615801456434,3.5051732347835447,3.0289358495773353,3.130620036715201,3.248788748880746,-0.6474238302672031,-3.77895009384225,4.81893757893695,0.6710499061577502,1.29893757893695
4006903.0,1.7513929683582616,0.7242198618193486,2.9060777278757253,2.7001987112823405,3.012698313195587,1.083040828703473,-2.297442240971984,-3.712975117733175,4.03902815473641,0.7370248822668253,0.5190281547364104
4006907.0,1.7041566182746688,0.5046600066333504,3.124341765297571,0.808667052688173,2.885093723311025,2.257734700450768,-4.298779288481455,-6.018366425416825,4.07369794785177,-1.5683664254168246,0.5536979478517696
4006912.0,1.8005300654532872,0.6387109715229392,3.294836084494101,2.924128338824566,4.546598178397215,2.4210011579518946,-3.550644274556801,-5.381362148434975,4.3431274844803,-0.9313621484349746,0.8231274844803003
4006919.0,1.1110039236775855,0.8676177156163682,2.731233215912683,1.4450372156756692,3.0410607141022923,1.1668100939484642,-4.250666371545345,-3.9024980070033,3.46700515277722,0.5475019929967,-0.05299484722277992
4006925.0,1.3916456486380806,0.383616618756723,2.591812772651195,3.8069928097985217,2.880114740603781,1.3069175660721142,-1.3777411612508963,-3.553498366310425,3.19268812008317,0.8965016336895753,-0.32731187991683
4006926.0,1.647735394831741,0.07697222554581752,4.241605544017666,2.0622633980204568,2.930780216052356,3.079109101232245,-2.7623024591085588,-3.9170605710084,5.01433748106821,0.5329394289916003,1.4943374810682104
