sim_id,SiSiSi_epsilon,SiSiSi_sigma,SiSiSi_a,SiSiSi_lambda,SiSiSi_gamma,SiSiSi_costheta0,SiSiSi_A,SiSiSi_B,SiSiSi_p,SiSiSi_q,SiSiSi_tol,Si_dia.E_coh,Si_dia.a0,Si_dia.c11,Si_dia.c12,Si_dia.c44,Si_dia.B,Si_dia.vac,Si_dia.E_coh.err,Si_dia.a0.err,Si_dia.c11.err,Si_dia.c12.err,Si_dia.c44.err,Si_dia.B.err,Si_dia.vac.err
sim_id,param,param,param,param,param,param,param,param,param,param,param,qoi,qoi,qoi,qoi,qoi,qoi,qoi,err,err,err,err,err,err,err
00_000000,2.19647540637,2.19375982106,1.8331524904,21.5754876597,1.31848197937,-0.3333333333333333,7.76816208518,0.594442815947,3.5,0.5,0.0,-4.604685661353463,5.54048589424918,136.97059440492,65.6963033324246,51.3727615594763,89.45440035658974,4.604685728965478,0.025314338646537315,0.1104858942491802,-29.029405595079993,1.6963033324246055,-28.627238440523698,-9.545599643410256,1.004685728965478
00_000001,2.17807721029,2.21666311055,1.84089174156,30.561141421,1.12048953091,-0.3333333333333333,18.7613530055,0.548526832697,3.5,0.5,0.0,-11.930088636624726,5.51137138469132,295.034394829964,122.989315575069,114.114147951944,180.3376753267007,7.451211467776375,-7.300088636624726,0.08137138469132044,129.03439482996401,58.989315575069,34.114147951944005,81.33767532670069,3.8512114677763747
00_000002,2.11160690952,2.30599047824,1.71085485557,31.1307315667,1.3605206656,-0.3333333333333333,14.2215670853,0.630787543019,3.5,0.5,0.0,-5.916767236838525,5.71286128883905,217.422894350603,191.788468199957,22.8016133359521,200.33327691683903,5.916767253022954,-1.286767236838525,0.28286128883905004,51.422894350603,127.78846819995701,-57.1983866640479,101.33327691683903,2.3167672530229537
00_000003,2.19632452972,1.39143713924,1.63877488867,27.5969876492,1.95071602905,-0.3333333333333333,19.3467326049,0.92145560559,3.5,0.5,0.0,0.0,5.43,0.0,0.0,0.0,0.0,0.0,4.63,0.0,-166.0,-64.0,-80.0,-99.0,-3.6
00_000004,2.10821244505,1.07064885398,1.5972807946,23.977884772,1.21538087545,-0.3333333333333333,16.7979424099,0.876234564598,3.5,0.5,0.0,0.0,5.43,0.0,0.0,0.0,0.0,0.0,4.63,0.0,-166.0,-64.0,-80.0,-99.0,-3.6
00_000005,2.12678371137,2.92561395656,1.70102774498,23.0888791736,1.97279818461,-0.3333333333333333,15.5383927076,0.833516925856,3.5,0.5,0.0,-4.558414935977913,7.65766089013764,-13.4465844952501,934.24207699718,-1737.56245397751,618.3458564997032,4.558414941379283,0.07158506402208697,2.2276608901376402,-179.4465844952501,870.24207699718,-1817.56245397751,519.3458564997032,0.9584149413792828
00_000006,2.17043121926,2.93190399462,1.93031581044,28.3484057532,1.62972785475,-0.3333333333333333,13.2101763038,0.944315851698,3.5,0.5,0.0,-6.107763918347413,8.35130505377204,4702.04342994839,4771.97953006252,100.664713593117,4748.667496691144,6.107763924833762,-1.4777639183474127,2.9213050537720395,4536.04342994839,4707.97953006252,20.664713593117,4649.667496691144,2.5077639248337618
00_000007,2.18612878616,2.04856820422,1.5407887443,30.5872963887,1.89551258919,-0.3333333333333333,9.09538766886,0.909710090406,3.5,0.5,0.0,-1.2422154024076137,5.22157302693272,88.703494080255,71.6035695746541,16.2643515115545,77.3035444098544,1.242215406916955,3.387784597592386,-0.20842697306727942,-77.296505919745,7.603569574654102,-63.7356484884455,-21.696455590145604,-2.357784593083045
00_000008,2.11103983519,1.78381274772,1.84186630354,27.6506333243,1.70446134004,-0.3333333333333333,9.82890803357,0.937385476924,3.5,0.5,0.0,-3.65066805437855,4.96282826091948,101.688757899683,44.7959593497216,48.2538473186583,63.76022553304207,3.6506680673462597,0.9793319456214498,-0.4671717390805199,-64.311242100317,-19.2040406502784,-31.746152681341698,-35.23977446695793,0.050668067346259615
00_000009,2.1629678574,2.56388282827,1.79150471474,29.1724103045,1.56279055555,-0.3333333333333333,17.3231961117,0.647395840479,3.5,0.5,0.0,-7.8309805833901125,5.48627611570704,321.233042987001,399.484915519246,-249.804223393355,373.40095800849764,-1901.4186140027257,-3.2009805833901126,0.05627611570703994,155.233042987001,335.484915519246,-329.80422339335496,274.40095800849764,-1905.0186140027256
00_000010,2.10361673953,2.55458823391,1.88379358681,26.0103551973,1.28075991075,-0.3333333333333333,19.7914339676,0.863756483546,3.5,0.5,0.0,-8.808146942731188,7.06323854751229,1770.12513298541,2347.39005952142,-623.899527211956,2154.96841734275,8.80814695707545,-4.178146942731188,1.6332385475122901,1604.12513298541,2283.39005952142,-703.899527211956,2055.96841734275,5.208146957075451
00_000011,2.19099662445,2.94204489535,1.55746156578,30.2728479138,1.38393165017,-0.3333333333333333,6.99354383487,0.633181162755,3.5,0.5,0.0,-1.9073127739806375,6.98814912655949,624.752362497384,611.565906996839,1.32181170127289,615.9613921636873,1.9073128200940914,2.7226872260193624,1.5581491265594902,458.75236249738396,547.565906996839,-78.67818829872711,516.9613921636873,-1.6926871799059087
00_000012,2.12653188423,2.09291061885,1.8616376332,28.6945450343,1.93348012066,-0.3333333333333333,9.69875889537,0.939894751133,3.5,0.5,0.0,-3.794568968296775,5.85520596032548,143.471962100011,176.950587950705,-34.8781938108236,165.79104600047367,3.7945689799836373,0.8354310317032247,0.4252059603254805,-22.528037899988988,112.950587950705,-114.8781938108236,66.79104600047367,0.1945689799836372
00_000013,2.10468710798,1.58224420273,1.94094108737,23.8008963092,1.11952447957,-0.3333333333333333,16.2416953691,0.622476287646,3.5,0.5,0.0,-10.657369593265575,4.1373441238623,96.5019924042281,-119.580358447274,77.6285602752519,-47.55290816343996,6.454928056998597,-6.027369593265575,-1.2926558761377,-69.4980075957719,-183.580358447274,-2.3714397247481003,-146.55290816343995,2.8549280569985966
00_000014,2.10137460972,1.14030684492,1.61810041645,20.3459884765,1.32226057137,-0.3333333333333333,7.59184344565,0.897026421125,3.5,0.5,0.0,0.0,5.43,0.0,0.0,0.0,0.0,0.0,4.63,0.0,-166.0,-64.0,-80.0,-99.0,-3.6
00_000015,2.16624763898,1.29038053244,1.99744566578,28.5766975247,1.46492373887,-0.3333333333333333,8.30710768632,0.885255875118,3.5,0.5,0.0,-4.624461458644637,3.68576322838361,-157.042149901099,-191.383116299403,-24232367.4284807,-179.93612749996836,4.624461468660911,0.005538541355362803,-1.7442367716163898,-323.04214990109904,-255.383116299403,-24232447.4284807,-278.9361274999684,1.024461468660911
00_000016,2.10473400582,2.18012371158,1.91879701674,26.7710967755,1.299139918,-0.3333333333333333,19.6452663136,0.978781224395,3.5,0.5,0.0,-8.283009362639838,6.23797595189216,-185.544454801129,162.659440148855,-370.98252766015,46.591475165526994,8.283009421535098,-3.653009362639838,0.8079759518921605,-351.544454801129,98.659440148855,-450.98252766015,-52.408524834473006,4.683009421535099
00_000017,2.14329520203,2.32800366694,1.67756779104,22.2339003776,1.88282399119,-0.3333333333333333,16.6990781599,0.932905679558,3.5,0.5,0.0,-3.8777159801860877,6.19623304957269,284.910032997141,460.057699697791,-201.369760902747,401.67514413090765,3.877715980202879,0.7522840198139122,0.7662330495726906,118.910032997141,396.057699697791,-281.369760902747,302.67514413090765,0.277715980202879
00_000018,2.17059176679,1.82690733566,1.54647349295,25.3351056582,1.69262352731,-0.3333333333333333,11.4162051583,0.761248416601,3.5,0.5,0.0,-2.2254267949168876,4.49454173939844,-33.4308321995195,-95.2725595998345,-763405.726761607,-74.65865046639617,2.22542682350786,2.4045732050831123,-0.9354582606015596,-199.4308321995195,-159.2725595998345,-763485.726761607,-173.65865046639618,-1.3745731764921403
00_000019,2.13497692788,2.3396629612,1.73064981965,21.0002821585,1.61810628747,-0.3333333333333333,11.1864714055,0.808166679933,3.5,0.5,0.0,-3.7417753908007376,6.1339301298808,179.213684203569,264.310817496152,-91.9524970168698,235.94510639862435,3.741775394345609,0.8882246091992623,0.7039301298808001,13.213684203568988,200.31081749615203,-171.9524970168698,136.94510639862435,0.14177539434560904
00_000020,2.19006416151,2.04797870146,1.70677311288,22.0498122539,1.35440571854,-0.3333333333333333,14.8304453525,0.703367898972,3.5,0.5,0.0,-5.621140261655287,5.18413185055638,182.688886098913,120.782028950634,54.9816754966603,141.41764800006032,5.621140263236612,-0.9911402616552873,-0.2458681494436199,16.688886098913002,56.782028950634,-25.0183245033397,42.417648000060325,2.0211402632366116
00_000021,2.14663122572,2.38951463314,1.57874205107,25.2536844487,1.23062524032,-0.3333333333333333,8.86908440147,0.663872019615,3.5,0.5,0.0,-2.3925817090243124,5.76721681204753,145.215932501014,133.829810700263,10.1139061932676,137.62518463384666,2.392581803163239,2.2374182909756875,0.3372168120475303,-20.78406749898599,69.82981070026301,-69.8860938067324,38.62518463384666,-1.2074181968367612
00_000022,2.153735151,1.98729232233,1.5959151715,24.0186101384,1.46233059448,-0.3333333333333333,8.76633800672,0.646299017716,3.5,0.5,0.0,-2.6080179996570374,4.79322832551534,61.3177363004069,4.0245021766168,43.2662552727409,23.122246884546836,2.6080180113370943,2.0219820003429625,-0.6367716744846597,-104.68226369959311,-59.9754978233832,-36.7337447272591,-75.87775311545316,-0.9919819886629058
00_000023,2.1788127393,2.52612754637,1.79602888879,31.7145106263,1.89217893194,-0.3333333333333333,18.4027345846,0.687578221248,3.5,0.5,0.0,-8.311115601289325,5.1920472340774,-14.748598850565,197.408205726242,-495.440632837973,126.68927086730633,-2960.095776903565,-3.681115601289325,-0.23795276592259995,-180.748598850565,133.408205726242,-575.440632837973,27.689270867306334,-2963.695776903565
00_000024,2.11370810229,1.8306890761,1.67070818234,20.8157074278,1.92422031248,-0.3333333333333333,12.7222445989,0.657911176732,3.5,0.5,0.0,-4.555227640904388,4.52562147822846,53.9277706498979,-49.2019611003343,53.7365357421927,-14.8253838502569,4.555227711988323,0.0747723590956122,-0.9043785217715401,-112.0722293501021,-113.2019611003343,-26.2634642578073,-113.8253838502569,0.9552277119883228
00_000025,2.19613248477,1.31576101267,1.74054832572,31.0107275089,1.12079313567,-0.3333333333333333,13.5657653886,0.792047361042,3.5,0.5,0.0,0.0,5.43,0.0,0.0,0.0,0.0,0.0,4.63,0.0,-166.0,-64.0,-80.0,-99.0,-3.6
00_000026,2.13374782646,2.25550812856,1.98423595066,25.9822310817,1.12076249183,-0.3333333333333333,17.6092878942,0.626674243811,3.5,0.5,0.0,-12.433082221983875,5.95538438407386,2393.655434018,2054.48221950792,554.956955793856,2167.539957677947,7.885870481233269,-7.803082221983876,0.5253843840738606,2227.655434018,1990.48221950792,474.95695579385597,2068.539957677947,4.285870481233269
00_000027,2.18114311289,1.2431002415,1.99895875656,29.3060895047,1.88634537519,-0.3333333333333333,15.6909969379,0.963910119212,3.5,0.5,0.0,-8.164205195141937,3.6148355102516,-143.852368235093,-153.947748659993,-61710188.2458724,-150.582621851693,8.16420520226643,-3.5342051951419373,-1.8151644897483998,-309.85236823509297,-217.947748659993,-61710268.2458724,-249.582621851693,4.564205202266431
00_000028,2.14706307493,2.30347228798,1.82046908109,29.6197236301,1.29593474726,-0.3333333333333333,12.3786223679,0.619794938668,3.5,0.5,0.0,-6.758863936192988,5.85041475356185,-9.84815819974756,34.8513546501636,-69.8480334946718,19.951517033526546,6.758864039962418,-2.128863936192988,0.4204147535618503,-175.84815819974756,-29.1486453498364,-149.8480334946718,-79.04848296647346,3.158864039962418
00_000029,2.13533949248,1.10920607385,1.62302704954,27.6413589003,1.74929666538,-0.3333333333333333,9.70969960567,0.746767494547,3.5,0.5,0.0,0.0,5.43,0.0,0.0,0.0,0.0,0.0,4.63,0.0,-166.0,-64.0,-80.0,-99.0,-3.6
