sim_id,p_NiNi_phi0,p_NiNi_gamma,p_NiNi_r0,d_Ni_rho0,d_Ni_beta,d_Ni_r0,e_Ni_F0,Ni_fcc.E_coh,Ni_fcc.a0,Ni_fcc.c11,Ni_fcc.c12,Ni_fcc.c44,Ni_fcc.B,Ni_fcc.G,Ni_fcc.vac,Ni_fcc.100s,Ni_fcc.110s,Ni_fcc.111s,E_Ni_fcc_bcc,E_Ni_fcc_dia,Ni_fcc.E_coh.err,Ni_fcc.a0.err,Ni_fcc.c11.err,Ni_fcc.c12.err,Ni_fcc.c44.err,Ni_fcc.B.err,Ni_fcc.G.err,Ni_fcc.vac.err,Ni_fcc.100s.err,Ni_fcc.110s.err,Ni_fcc.111s.err,E_Ni_fcc_bcc.err,E_Ni_fcc_dia.err
sim_id,param,param,param,param,param,param,param,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,err,err,err,err,err,err,err,err,err,err,err,err,err
02_003226,2.0791305342504467,5.53533618623929,1.9903935541074478,2.363534889038292,3.0879906742243612,1.3380121842956298,-3.8791883308476227,-2.7587575670999,3.43374415373525,236.418656085152,162.305505572658,86.6400818846168,187.00988907682267,37.056575256247,0.8607390111753261,0.05696585283255518,0.0629808036342648,0.04906174255740434,0.058022668599524874,0.7787009716199376,1.6912424329001001,-0.0862558462647498,-24.58134391484799,11.305505572658006,-45.359918115383195,-0.9901109231773262,-63.943424743753,-0.739260988824674,-0.09083414716744481,-0.0625191963657352,-0.10233825744259567,-0.07197733140047513,-1.0212990283800625
02_003230,2.6749115191124306,5.396084191114289,1.8993061266198497,1.9247975025880377,2.174485308553854,1.491033487360828,-2.4562179974879554,-3.3454627992545,3.42439016479458,209.706995499437,137.477430947183,96.1650405306763,161.553952464601,36.114782276127,1.2248123869594565,0.08081871868971369,0.08924308276731728,0.07230196696386652,0.05450401221987988,1.0761105821094499,1.1045372007455003,-0.09560983520541999,-51.293004500563,-13.522569052817005,-35.83495946932371,-26.446047535399003,-64.885217723873,-0.3751876130405436,-0.0669812813102863,-0.03625691723268272,-0.07909803303613348,-0.07549598778012012,-0.7238894178905502
02_001188,3.9242126797241514,3.3552466217218773,1.8060519479476884,3.1047655478705662,1.9223429696342036,2.1839180832736216,-1.573528966491894,-4.657324130281925,3.54783474001216,199.07229171748,159.998793267982,75.0405312854505,173.023292751148,19.536749224749002,1.2422258830869737,0.08174770637398994,0.09074447103447572,0.07346475149146421,0.017936466536239593,1.2434497875801753e-14,-0.20732413028192465,0.02783474001215991,-61.92770828252,8.998793267981995,-56.9594687145495,-14.976707248851994,-81.463250775251,-0.3577741169130264,-0.06605229362601005,-0.03475552896552428,-0.0779352485085358,-0.11206353346376041,-1.7999999999999876
02_003240,2.930352481753844,4.9341371515956025,2.0296293150394007,2.0778668862743648,2.9306456497093714,1.9140270754269233,-2.5714551003565105,-3.735545601254775,3.54891483378195,343.244200649171,247.377178862528,124.155005708036,279.33285279140904,47.93351089332148,1.0900719712329305,0.06819925797509484,0.07538790508759355,0.05866859404874138,0.06318611297021004,0.9952579428368127,0.7144543987452252,0.028914833781950033,82.24420064917098,96.37717886252801,-7.8449942919639994,91.33285279140904,-53.06648910667852,-0.5099280287670696,-0.07960074202490515,-0.05011209491240645,-0.09273140595125862,-0.06681388702978996,-0.8047420571631874
02_003244,1.55160972778432,4.841244143241152,2.139018406822617,2.9466945096346127,2.7441958534261417,2.4328895299702813,-1.2016464848974795,-4.952646049554,3.46390409804086,395.263389074899,283.180791922496,149.12981591079,320.54165763996366,56.04129857620151,1.4967758147439554,0.09849401488549149,0.1088298316781754,0.08574105081760498,0.07367900000007932,1.3557756497805622,-0.5026460495539995,-0.05609590195913983,134.263389074899,132.18079192249598,17.12981591079,132.54165763996366,-44.95870142379849,-0.10322418525604471,-0.049305985114508497,-0.016670168321824594,-0.06565894918239502,-0.056320999999920685,-0.44422435021943785
02_003246,3.6160360402971508,4.310356276499351,1.794462346183025,3.1685096473042424,1.6317576981703938,1.2686697881997229,-2.25848824538758,-3.86634271861205,3.49126696507601,209.258976455938,150.793411743589,97.4242623769016,170.281933314372,29.23278235617451,1.3604845512463157,0.08824693324021236,0.09783823986964849,0.08097629228924418,0.032231745878809726,1.1836692469973498,0.5836572813879504,-0.02873303492398982,-51.74102354406199,-0.20658825641100975,-34.575737623098405,-17.718066685628003,-71.76721764382549,-0.23951544875368436,-0.05955306675978762,-0.027661760130351515,-0.07042370771075583,-0.09776825412119028,-0.6163307530026503
02_001199,3.2341922978153743,3.8942837988321015,1.8970509595139606,2.170152994561299,1.6400313007325023,1.1674852188864646,-3.8753449295920355,-4.528866172889275,3.59478437657583,248.254570324934,188.206998147143,109.279621674473,208.22285553973998,30.023786088895505,1.5054161554234042,0.09186077359335745,0.10206334291370482,0.08348429865131346,0.02450346037538509,1.3270490337719125,-0.078866172889275,0.07478437657582981,-12.745429675065992,37.206998147143,-22.720378325526994,20.22285553973998,-70.9762139111045,-0.09458384457659585,-0.055939226406642534,-0.02343665708629518,-0.06791570134868655,-0.10549653962461492,-0.4729509662280875
02_001211,3.1022723823812446,5.999926979245733,2.0078048298236872,2.1303901681949475,2.3559122379479707,0.9258845997067724,-5.38158809358154,-3.287638121283925,3.55749337777272,335.430550345063,219.111144144972,149.141496746338,257.88427954500236,58.159703100045505,1.2383527220209771,0.0741509687807284,0.08196985694641194,0.06517685351547971,0.0737291858765401,0.015742202918175074,1.1623618787160752,0.03749337777271977,74.43055034506301,68.111144144972,17.141496746337992,69.88427954500236,-42.840296899954495,-0.36164727797902296,-0.07364903121927159,-0.04353014305358806,-0.0862231464845203,-0.05627081412345991,-1.784257797081825
02_003259,1.522835048167418,4.525408077096581,2.1859907072109657,2.3184503383671045,2.762682995537809,1.643699517241133,-4.295995904140509,-4.75422281281715,3.53594082856278,376.573882196386,279.005256405645,134.250432851013,311.52813166922533,48.784312895370505,1.3303950329290615,0.0848493196395182,0.09374203817009691,0.07343555590319008,0.06179608300744999,1.2168641997999874,-0.3042228128171498,0.015940828562779785,115.57388219638602,128.005256405645,2.250432851012988,123.52813166922533,-52.215687104629495,-0.2696049670709386,-0.06295068036048179,-0.03175796182990309,-0.07796444409680993,-0.06820391699255002,-0.5831358002000127
02_003266,2.4224872303060274,5.53384682079009,1.9783641038250916,2.90333689522725,2.6196583657503534,1.3318083876681657,-3.2169161094487975,-3.345879498579275,3.45491213482328,287.504253099905,192.955726870241,119.986267502941,224.471902280129,47.274263114831996,1.1556043182694111,0.0747204301759526,0.08256505963234398,0.06542601496815371,0.06546671250832992,1.0308949472084747,1.1041205014207254,-0.06508786517672016,26.504253099904986,41.955726870240994,-12.013732497058996,36.471902280129,-53.725736885168004,-0.44439568173058897,-0.07307956982404738,-0.04293494036765602,-0.08597398503184629,-0.06453328749167009,-0.7691050527915253
