sim_id,p_AlAl_phi0,p_AlAl_gamma,p_AlAl_r0,d_Al_rho0,d_Al_beta,d_Al_r0,e_Al_F0,Al_fcc.E_coh,Al_fcc.a0,Al_fcc.E_coh.err,Al_fcc.a0.err
sim_id,param,param,param,param,param,param,param,qoi,qoi,err,err
00_000027,1.6444857062290965,2.920772885802888,2.9279976656706452,3.67101301768966,6.860081304421189,1.3892113391745742,-2.041627609433715,-0.015872486656411475,7.5552494234987,3.3441275133435884,3.5052494234987
00_000028,2.3483375397850845,4.216059707259381,3.046573870546211,3.207007687259184,4.8716646423389625,2.8812057807380245,-3.1565563312284697,-2.505720526707,4.82341753459575,0.8542794732929999,0.7734175345957501
00_000029,1.4642413520648798,5.62409935570617,3.748394253892071,1.6556449738252335,6.459720624980241,4.808096991015214,-1.4151072568172367,-2538.74838354275,3.80418797147332,-2535.38838354275,-0.2458120285266796
00_000030,1.1119685286562775,3.7715422463707373,3.2032193291187663,1.7277847390500027,6.950298948947293,1.430992926389027,-1.2272634671188936,-0.007444154090201375,7.55524940432752,3.3525558459097984,3.50524940432752
00_000031,0.4633403394618998,4.991989471517465,3.87119011980232,1.5767714903868133,6.876113782639812,3.641271308409628,-1.9936080303101216,-23.3418727991692,7.55524672980698,-19.9818727991692,3.50524672980698
00_000032,2.620868177638729,5.734530115896576,2.6757291166871116,2.951501893587067,6.385665236982583,1.4210069321200085,-3.517969982197445,-0.0296257527335535,7.55434701247827,3.3303742472664464,3.50434701247827
00_000033,2.2959579072807306,4.795589853239743,3.4806246830443497,3.5440980431558557,5.9025231285914135,2.245323947121849,-0.3099061935302627,-0.03536345504360325,7.55524938100492,3.324636544956397,3.50524938100492
00_000034,3.467827333053727,5.635267468641338,3.3559626741886097,3.4011278093090342,6.9612236178348414,2.6482776967820296,-4.844607226203689,-2.847676383484675,7.5552444266912,0.5123236165153249,3.5052444266912
00_000035,1.5800783491877006,6.125502136939853,1.718675835835092,3.674139392966593,3.066740248467056,3.139912794511298,-1.8811789644701284,-1103.230574961965,1.21106473480705,-1099.870574961965,-2.8389352651929496
00_000036,2.679470675490594,3.0747655250914123,3.2993898632975354,3.138738516831269,2.3538156128923813,4.901597096003109,-1.0268247541644384,-24.82573981636265,4.65419447388773,-21.46573981636265,0.6041944738877305
00_000037,0.40905077964940545,5.471872039400882,2.43218579973201,2.149775264820586,3.3298404983429872,2.0446568382615324,-3.713284219679153,-7.646554409638725,3.35447686309301,-4.286554409638725,-0.6955231369069899
00_000038,3.3394196463032673,6.598385328368461,4.104941329459516,3.4613281087830368,6.84904451511962,1.3801515405765001,-0.42214692922496067,-0.003095761846139325,7.55751865958513,3.3569042381538607,3.5075186595851298
00_000039,0.09915536221459781,6.342971678255732,3.339776078582089,1.4857309400782208,5.618053700465921,2.1743168226873384,-0.6521752172367519,-0.03686407632483825,7.47899456671432,3.3231359236751614,3.4289945667143202
00_000040,3.07820665575617,4.039973353317109,4.210874487063469,3.2508184783285676,6.035804009329475,2.3512174495471343,-2.547776321290577,-0.3958145857843975,7.55456559999966,2.9641854142156023,3.50456559999966
00_000041,0.5162304337876223,4.430176614992115,3.488169851904554,3.837103784349383,5.8012176622093286,2.080633219908705,-0.20184720818478663,-0.014505702709097824,7.5552493228281,3.345494297290902,3.5052493228281003
