sim_id,p_AlAl_phi0,p_AlAl_gamma,p_AlAl_r0,d_Al_rho0,d_Al_beta,d_Al_r0,e_Al_F0,Al_fcc.E_coh,Al_fcc.a0,Al_fcc.E_coh.err,Al_fcc.a0.err
sim_id,param,param,param,param,param,param,param,qoi,qoi,err,err
1395.0,3.791764095962786,6.726323287746301,2.425835705197213,2.1345108950332228,4.610226679982945,1.9703311785199662,-4.843144150039883,-1.9468872331676474,4.08385081730771,1.4131127668323524,0.03385081730771056
1409.0,1.6030395287232317,4.32014027069769,2.7562633694112932,3.9880354496206603,6.6735259751013745,2.726515539722518,-1.6989171371481833,-1.53613318512451,4.16127593538146,1.82386681487549,0.1112759353814603
1412.0,0.32688979527726364,4.226508582948965,2.634490036512886,3.766476704667281,4.333162600296033,1.839964454117815,-2.9934902698966717,-1.64416118119348,3.76910007291309,1.71583881880652,-0.2808999270869097
1551.0,3.530317109205641,4.43373315992382,2.6614622549190794,1.8352399192654378,5.284992134762319,2.5867141093983066,-4.158447333660994,-2.0476656812281124,4.40207213369381,1.3123343187718874,0.3520721336938104
1586.0,2.28551495843477,2.8763792111273365,2.3942711531998535,1.8377216541323014,2.4458026407683096,2.3853452329196023,-2.27049442439657,-2.632715339426225,4.32898957410196,0.7272846605737748,0.2789895741019599
1632.0,2.5322493146974896,6.53323276223756,2.374979401081719,1.0459361716812965,3.993965128335099,2.042443076690402,-4.636049738517011,-2.7024492708627,3.90821498368118,0.6575507291373,-0.14178501631881968
1639.0,2.4098141474979533,6.99788288142359,2.845710394478697,2.5057024684630815,3.7312497084424456,3.850275234352302,-0.32144206164675726,-4.802772569697875,4.45008971640505,-1.4427725696978748,0.4000897164050503
1682.0,3.667022478376778,5.233885892254231,2.9040212146375275,3.1567012285328735,5.730751941980835,2.9795390929543055,-2.9244643304415368,-5.24933017188725,4.47216019633343,-1.88933017188725,0.42216019633343027
1693.0,2.896276620909643,6.753953783821913,2.4311171509044853,3.1163745812548993,3.2529531818325075,1.9400008359532794,-3.5533735074670325,-3.960834302316575,3.98444915297091,-0.6008343023165752,-0.06555084702908998
1729.0,2.801098161692563,5.514771921926057,2.4340047794968296,2.1074902023582425,2.4290234039073737,2.7064970257997927,-0.9656278427030474,-2.65355565996745,4.22652587009617,0.70644434003255,0.17652587009617005
