sim_id,p_NiNi_phi0,p_NiNi_gamma,p_NiNi_r0,d_Ni_rho0,d_Ni_beta,d_Ni_r0,e_Ni_latticetype,e_Ni_ecoh,e_Ni_B,e_Ni_a0,Ni_fcc.E_coh,Ni_fcc.a0,Ni_fcc.E_coh.err,Ni_fcc.a0.err
sim_id,param,param,param,param,param,param,param,param,param,param,qoi,qoi,err,err
5151.0,3.5096860672923285,5.620072008328814,2.489015869776647,3.340201623364262,5.469063552404474,2.489015869776647,fcc,-4.45,188.0,3.52,-4.514392307959675,3.52243459210836,-0.06439230795967443,0.0024345921083601674
1415.0,0.7934057725720474,6.974637911854892,2.489015869776647,3.0428566418053693,6.950827242253528,2.489015869776647,fcc,-4.45,188.0,3.52,-4.513700701766425,3.52235942061301,-0.0637007017664244,0.002359420613009977
7246.0,3.920093450105833,5.391885013899459,2.489015869776647,2.1120940357065954,5.242447024738675,2.489015869776647,fcc,-4.45,188.0,3.52,-4.50649909451425,3.52286005330387,-0.05649909451424939,0.0028600533038698472
3875.0,3.7166464361246034,5.62471547432631,2.489015869776647,2.1262747330027025,5.470917501035579,2.489015869776647,fcc,-4.45,188.0,3.52,-4.518361823910675,3.52294600807747,-0.06836182391067513,0.0029460080774699193
5696.0,3.337410368336458,5.693315483646883,2.489015869776647,1.0961768706692827,5.5511548094202245,2.489015869776647,fcc,-4.45,188.0,3.52,-4.516619493581725,3.52248310101379,-0.06661949358172503,0.0024831010137900122
3819.0,1.877106987101473,6.106060648579958,2.489015869776647,1.6168630417412373,6.078588732605064,2.489015869776647,fcc,-4.45,188.0,3.52,-4.5131259063913,3.52207592982001,-0.06312590639130011,0.002075929820009925
7042.0,3.077430332673743,5.729836248141725,2.489015869776647,2.6722580883012137,5.577464699360797,2.489015869776647,fcc,-4.45,188.0,3.52,-4.513260558958175,3.52195908166993,-0.0632605589581745,0.001959081669930196
2724.0,2.971893347934188,5.735773803550032,2.489015869776647,1.4595235728256868,5.719148569112328,2.489015869776647,fcc,-4.45,188.0,3.52,-4.51899233358205,3.52287649277975,-0.0689923335820497,0.002876492779749995
6003.0,2.156708351132519,6.038508540621214,2.489015869776647,2.485912430126772,6.006924314122538,2.489015869776647,fcc,-4.45,188.0,3.52,-4.51748096711115,3.5222671674395,-0.06748096711115004,0.00226716743949984
3575.0,2.544939811127992,5.913200656098377,2.489015869776647,2.2988905773601402,5.839694047002872,2.489015869776647,fcc,-4.45,188.0,3.52,-4.5176144418322,3.52228320686705,-0.0676144418322,0.0022832068670499694
1683.0,3.7933413854999003,5.453758154107497,2.489015869776647,1.6126942227926477,5.227744203269535,2.489015869776647,fcc,-4.45,188.0,3.52,-4.504690961618875,3.52273967791736,-0.0546909616188751,0.0027396779173600727
2023.0,3.1325087269956264,5.867475536973355,2.489015869776647,1.5509464688674253,5.510370856268867,2.489015869776647,fcc,-4.45,188.0,3.52,-4.512438268949725,3.52152320510411,-0.06243826894972493,0.0015232051041098593
2794.0,3.592221950315338,5.3880071744961135,2.489015869776647,3.516544535624143,5.294154804025538,2.489015869776647,fcc,-4.45,188.0,3.52,-4.504089607343925,3.52278685752897,-0.05408960734392476,0.0027868575289700104
6470.0,2.5541706629057415,5.969344446178971,2.489015869776647,2.494959034900123,5.72064759686293,2.489015869776647,fcc,-4.45,188.0,3.52,-4.511988757363,3.52138416402528,-0.061988757363000246,0.0013841640252798548
5625.0,1.624501198887691,6.259511493894416,2.489015869776647,3.8306369365986965,6.139298802022301,2.489015869776647,fcc,-4.45,188.0,3.52,-4.509015272599175,3.52146069649119,-0.05901527259917483,0.0014606964911898501
4398.0,3.4881433231409993,5.743801880845009,2.489015869776647,2.082543093188532,5.391654251362542,2.489015869776647,fcc,-4.45,188.0,3.52,-4.5113778704452,3.5212528163226,-0.06137787044519971,0.0012528163225997702
6579.0,3.287420424622214,5.908688334723038,2.489015869776647,2.48735474044727,5.470464263999893,2.489015869776647,fcc,-4.45,188.0,3.52,-4.513839554246675,3.5212347924325,-0.06383955424667498,0.0012347924324997983
4409.0,2.368809748752677,6.075504391975396,2.489015869776647,1.222343525400547,5.816972615808333,2.489015869776647,fcc,-4.45,188.0,3.52,-4.513558565330025,3.52110855907986,-0.06355856533002502,0.001108559079860072
6804.0,1.5379425211995192,6.417465475764903,2.489015869776647,1.2909771342741023,6.362626657863757,2.489015869776647,fcc,-4.45,188.0,3.52,-4.5191827378116,3.52196185241406,-0.06918273781159989,0.0019618524140598836
1193.0,2.9330853016841467,5.579697772709383,2.489015869776647,2.9026060780389287,5.48326070728677,2.489015869776647,fcc,-4.45,188.0,3.52,-4.504029570535025,3.52227810324081,-0.05402957053502444,0.0022781032408101254
3051.0,3.9623975744691027,5.636811924886549,2.489015869776647,3.018418390860798,5.453450921453026,2.489015869776647,fcc,-4.45,188.0,3.52,-4.521977614020325,3.52288079190101,-0.07197761402032476,0.0028807919010098715
3013.0,2.7508184764513905,5.889131472706999,2.489015869776647,1.969382142411908,5.8150754376119895,2.489015869776647,fcc,-4.45,188.0,3.52,-4.52126751159935,3.52244415776746,-0.07126751159935019,0.002444157767460098
1570.0,1.9726440220640031,6.2467068209548025,2.489015869776647,3.887730931606699,5.961898806536756,2.489015869776647,fcc,-4.45,188.0,3.52,-4.511599427135125,3.52073068679455,-0.061599427135124785,0.0007306867945500173
5579.0,3.3084156672621177,5.955073995980065,2.489015869776647,1.0418887231346714,5.496286484978356,2.489015869776647,fcc,-4.45,188.0,3.52,-4.51624111400895,3.52104936816308,-0.06624111400894961,0.0010493681630801
