sim_id,p_AlAl_phi0,p_AlAl_gamma,p_AlAl_r0,d_Al_rho0,d_Al_beta,d_Al_r0,e_Al_F0,Al_fcc.E_coh,Al_fcc.a0,Al_fcc.E_coh.err,Al_fcc.a0.err
sim_id,param,param,param,param,param,param,param,qoi,qoi,err,err
36.0,3.9682297987555915,4.254787793395026,3.4170444329953114,2.966720777948361,2.6794748271238324,1.8655847072201825,-4.088632159802075,-0.38914002176256,6.34125317164644,2.97085997823744,2.2912531716464404
49.0,3.785450098861688,3.106285043458425,3.019844587560345,1.3384392956230862,3.518738187718463,3.9259440023002163,-4.261435614139073,-140.270168422367,6.34094679559691,-136.91016842236698,2.29094679559691
91.0,2.850634170149754,3.143063853018811,3.0588639612038113,1.2630781598210468,3.592804664939404,4.320712167474345,-1.2733959659527796,-57.998777951378,6.39535250020978,-54.638777951378,2.3453525002097804
23.0,0.7289487904100522,6.446099213513916,2.1699944884782876,1.7729368280635998,6.851055324107599,1.3080613369000251,-1.1256567158491135,-0.004612844726000325,6.3401489427565,3.3553871552739993,2.2901489427565
132.0,1.0993836775928896,4.006142757238211,4.23681395665392,3.6799492180530438,2.147303073115807,3.284855846643016,-3.7783616336522323,-3.10456231812545,6.39582566946966,0.25543768187454985,2.3458256694696598
98.0,1.296141683083104,6.664244706485278,3.854703294082611,1.5420493325263844,1.9242600241764238,2.7077891224933257,-0.9093082100419667,-0.38502273842441,6.33956858887161,2.97497726157559,2.28956858887161
68.0,3.4677739994647485,4.693113778035735,3.9209056260636146,3.09032615801122,2.7645858869624775,4.597048796981036,-0.5685217751405504,-2.119917504214065,6.39618055540446,1.2400824957859347,2.3461805554044606
64.0,1.9461376380279887,6.256752383969569,4.476250595990075,2.084109615975751,3.504190142336163,4.8359285865895085,-3.9320758706085464,-27.111509480382,6.39673249090315,-23.751509480382,2.3467324909031504
81.0,2.5382829301633714,6.778288500310058,4.361850974554146,2.722726948811081,3.0653310394273667,4.790318064148837,-2.542466542887922,-14.77014160046165,6.39759791120975,-11.410141600461651,2.34759791120975
10.0,2.980926652189416,3.005825926974684,3.121214464194546,3.7651118299136166,2.6748401365339673,2.047360626059355,-2.0535567209481878,-0.22870709376979875,6.39764434607309,3.1312929062302013,2.34764434607309
