sim_id,p_NiNi_a,p_NiNi_D0,p_NiNi_r0,d_Ni_rho0,d_Ni_beta,d_Ni_r0,e_Ni_latticetype,e_Ni_ecoh,e_Ni_B,e_Ni_a0,Ni_fcc.E_coh,Ni_fcc.a0,Ni_fcc.E_coh.err,Ni_fcc.a0.err
sim_id,param,param,param,param,param,param,param,param,param,param,qoi,qoi,err,err
32873.0,1.6584020875500363,0.006374530328829842,2.489015869776647,2.58922204183279,6.6155481535506,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450460627613625,3.51908442110889,-0.0004606276136245313,-0.0009155788911101581
126.0,1.868736729237165,0.03725702113894924,2.489015869776647,1.6041810432743315,5.3256941393118495,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45105372597045,3.51936415583671,-0.001053725970449726,-0.0006358441632898781
32994.0,1.8183989212868807,0.021747531931796238,2.489015869776647,3.2969262440020697,2.914658463160838,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4507756982354,3.51942403308447,-0.0007756982354001352,-0.0005759669155298575
33098.0,1.6651318979451262,0.0051387096013080225,2.489015869776647,2.522454482650303,6.3313070182506275,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45035993159475,3.51917536906704,-0.00035993159475022907,-0.0008246309329598134
361.0,1.7912524745199248,0.008945642437231394,2.489015869776647,2.508421334409925,2.3646863393046385,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450327693840225,3.52039961142789,-0.0003276938402247964,0.0003996114278899121
450.0,1.941981469439642,0.023799247455500327,2.489015869776647,2.3081684119102155,2.10755655318707,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4503885747825,3.52087730433563,-0.0003885747824998731,0.000877304335630047
33333.0,1.9729705902474444,0.04565892572183461,2.489015869776647,1.213578900823911,6.399927278665855,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45081415212165,3.51948433762697,-0.0008141521216495917,-0.0005156623730298016
33359.0,0.971602352222193,0.0007079508342994201,2.489015869776647,3.89246519785244,2.574465993701482,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450840403505525,3.51954119411487,-0.0008404035055251668,-0.00045880588512980935
657.0,1.949688441654841,0.004993168174839413,2.489015869776647,3.154327848214548,2.249655082807263,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450093412018075,3.52030572509408,-9.341201807444577e-05,0.00030572509407988946
33428.0,1.9927823859002611,0.02795412529157648,2.489015869776647,1.4854461040280171,5.119806455796173,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4504554624157,3.51978024359055,-0.00045546241570004753,-0.00021975640945015584
33451.0,1.6835936061791712,0.0001068976585031356,2.489015869776647,3.973673404393344,3.9218500594448655,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450006930501125,3.51933482203624,-6.93050112499094e-06,-0.0006651779637598665
831.0,1.607279191937858,0.007995152140555795,2.489015869776647,1.2307460447398797,3.9123842828461983,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450641649107475,3.52071262124051,-0.0006416491074752173,0.0007126212405101917
33645.0,1.7877500550600935,0.008902438910459165,2.489015869776647,1.5388231830763712,3.871268717237835,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45033240178235,3.52035369537343,-0.00033240178234983375,0.00035369537342999635
33810.0,1.6624924868424809,0.0003952036579185636,2.489015869776647,2.1383807839402085,4.943199336425578,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45002726146895,3.51968729864874,-2.7261468949824064e-05,-0.00031270135125982534
1066.0,1.695460200990034,0.01758776464059897,2.489015869776647,3.0242169790369577,2.3173340578498114,2.489015869776647,fcc,-4.45,188.0,3.52,-4.451005541476375,3.51988138643221,-0.0010055414763749937,-0.00011861356778997134
33866.0,1.9924193041922542,0.041150475561724575,2.489015869776647,1.2728367591848055,6.64357437477486,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4506928956969,3.51946302440057,-0.0006928956968996758,-0.0005369755994300007
33875.0,1.8511369322122206,0.06725242088550143,2.489015869776647,2.6580285168360183,2.081729824117511,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4517713054026,3.51987224081854,-0.0017713054025998431,-0.00012775918145990772
1165.0,1.1760408347407076,0.0014694432268368418,2.489015869776647,2.54157929322814,5.992837104471708,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4507777136655,3.51912481339614,-0.000777713665499391,-0.0008751866038601008
1187.0,1.9986103310672338,0.0049790320401059684,2.489015869776647,1.8797307889969117,5.079083374523579,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450084318633825,3.51976083628884,-8.431863382440952e-05,-0.00023916371115983992
1232.0,1.9276635331953507,0.04508836080764478,2.489015869776647,1.6776731526903235,3.9029799767450117,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45093117889745,3.51971883751511,-0.0009311788974502022,-0.000281162484890185
34033.0,1.7475677673390122,0.009295749848856505,2.489015869776647,2.5203495344057814,3.3448094346105623,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450438673875325,3.51975644398358,-0.00043867387532525726,-0.00024355601642023217
34057.0,1.8565984087769731,0.01217091101651413,2.489015869776647,1.4051665687984927,3.255399142591733,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4503079826479,3.52087329064496,-0.0003079826479002179,0.0008732906449600009
1347.0,1.760924544532869,0.00757910616639379,2.489015869776647,1.9383732005168546,4.733028557555354,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4503409727927,3.51970547703728,-0.0003409727927001782,-0.0002945229627200341
34354.0,1.4213157508665129,0.0031654573442376766,2.489015869776647,2.1066965354377234,6.897899468556891,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45060822385345,3.51918383591333,-0.0006082238534501627,-0.0008161640866699571
1643.0,1.8618887205672092,0.012420576189442922,2.489015869776647,3.0227937255176176,5.0752410859438,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4503905739648,3.51917107990861,-0.00039057396479957873,-0.0008289200913900174
1683.0,1.9151639385316583,0.03432659583868192,2.489015869776647,1.5520233848146279,4.557020853838758,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45076367873335,3.51974428861852,-0.0007636787333495931,-0.00025571138148006156
34494.0,1.9679928673344969,0.07564212444435803,2.489015869776647,1.3885983573671161,2.4452620912252,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4509127258585,3.52067313072392,-0.0009127258584999964,0.0006731307239200568
1741.0,1.910778851325135,0.016720461712393053,2.489015869776647,3.9127446503923373,2.390667438744971,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45039956004,3.51969024113133,-0.0003995600399999688,-0.00030975886866979607
1840.0,1.9937770517633198,0.05743182479102327,2.489015869776647,1.4090046002608339,4.954379669505869,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4509066950522,3.51952818974102,-0.0009066950521994244,-0.00047181025898002105
1912.0,1.5260129347336406,0.013777970686097762,2.489015869776647,1.9940865504221863,3.19702564418626,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45163458492175,3.51975706369195,-0.0016345849217493935,-0.0002429363080498348
2009.0,1.9959295856906323,0.0018588057318892348,2.489015869776647,1.7043952223970185,2.787953205749365,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450024609598475,3.52094835635034,-2.460959847461197e-05,0.0009483563503400738
2022.0,1.845578586384362,0.055638638381233396,2.489015869776647,2.531758967901273,2.1775153115091133,2.489015869776647,fcc,-4.45,188.0,3.52,-4.451538179995725,3.51992141069483,-0.0015381799957250308,-7.858930516979612e-05
34813.0,1.9034793440045554,0.042660347225167206,2.489015869776647,2.17955692486048,4.034552525844546,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4510505325338,3.51931504457061,-0.0010505325337994975,-0.0006849554293899551
34864.0,0.3070472444001062,1.7919221074746972e-06,2.489015869776647,2.2156712485602696,6.609846445345325,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450009400386825,3.51938838605978,-9.40038682450961e-06,-0.0006116139402201348
34902.0,1.8866119193082442,0.021432037094410217,2.489015869776647,2.446341219008776,5.00418091881222,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4505957079425,3.5192504571119,-0.0005957079424998568,-0.0007495428881001409
34938.0,1.923952561094892,0.003745055443037937,2.489015869776647,1.3704010653817946,3.2355148164331586,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450067441682775,3.52111811386304,-6.7441682774394e-05,0.001118113863039838
2222.0,1.8778382475341164,0.01658361137836084,2.489015869776647,3.0042449975167327,6.13953367719574,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450497640146875,3.51897281444554,-0.0004976401468752556,-0.0010271855544599084
35036.0,1.7582561965881,0.010972175475444379,2.489015869776647,1.701661004372886,5.904410041595097,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4505044344366,3.51951999545722,-0.0005044344365998654,-0.00048000454277996596
35075.0,1.9361126357645415,0.1014221620517658,2.489015869776647,1.2445805582960574,2.807950625574609,2.489015869776647,fcc,-4.45,188.0,3.52,-4.451499755726525,3.52006074740325,-0.0014997557265248318,6.0747403249905574e-05
35141.0,1.8907435782372957,0.08752835817530691,2.489015869776647,1.4190556601642879,2.6682471812493636,2.489015869776647,fcc,-4.45,188.0,3.52,-4.451739270953625,3.52000094573973,-0.0017392709536245832,9.457397300849379e-07
35153.0,1.7209087804561285,0.001765995444837909,2.489015869776647,1.5625708753467862,6.746961301770229,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4500953346912,3.51966191551198,-9.533469120004412e-05,-0.000338084488019863
2441.0,1.9422053126890642,0.07313918970118372,2.489015869776647,1.8396782157647533,2.504192648356656,2.489015869776647,fcc,-4.45,188.0,3.52,-4.451241175372475,3.51997983162383,-0.001241175372475034,-2.0168376170026647e-05
35345.0,1.9134142428933443,0.0188829382061918,2.489015869776647,2.758711216762641,6.4729218162376405,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450492085251,3.51899257872295,-0.0004920852509995299,-0.0010074212770501134
35358.0,1.8343553408062707,0.03554173721855769,2.489015869776647,3.762506278676437,2.1565506830568717,2.489015869776647,fcc,-4.45,188.0,3.52,-4.451113356253975,3.51971804966819,-0.0011133562539749065,-0.00028195033180988816
2623.0,1.5826286879687201,0.009909513012262283,2.489015869776647,1.70133126688322,4.960442979725337,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4509419794811,3.51959874518617,-0.0009419794810998638,-0.00040125481383013195
35631.0,1.9055065890503973,0.020361750905612763,2.489015869776647,2.4103559574438376,6.830686413303436,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4505429865715,3.51902927508701,-0.0005429865714994264,-0.0009707249129902173
35755.0,1.9931962303189206,0.004834513949512731,2.489015869776647,1.9198773695683127,5.790480203951241,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450086480928,3.51959416034319,-8.648092800012108e-05,-0.0004058396568100697
3169.0,1.942834299710101,0.013491655312406814,2.489015869776647,2.9081811875291064,6.75487442416878,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45031674797995,3.51901389090034,-0.0003167479799497386,-0.0009861090996601263
3309.0,1.8864902644561052,0.02211178657283297,2.489015869776647,3.2731108804500715,3.1876133989082867,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4506024368889,3.51939684055709,-0.0006024368888999376,-0.0006031594429098952
3391.0,1.8985284785206025,0.03409496075754537,2.489015869776647,2.1764469503326094,4.3339393057494275,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450867864156525,3.51935273507274,-0.0008678641565245115,-0.0006472649272599718
3407.0,1.8224315700481981,0.00661074041915799,2.489015869776647,3.001085748743061,5.426005070534776,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4502445172993,3.5191999502002,-0.0002445172992997513,-0.0008000497998001954
36195.0,1.9928297511680988,0.014876530756840367,2.489015869776647,2.786878621500657,6.696347009474718,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450287914165975,3.51907123265951,-0.00028791416597506725,-0.0009287673404898555
36248.0,1.8744159801226155,0.014181751778822638,2.489015869776647,1.2337610690842844,4.029488864286352,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450338519151,3.52068728462172,-0.0003385191509996943,0.0006872846217200745
36270.0,1.9963829035558485,0.025095613411109552,2.489015869776647,2.715053695762605,6.7186959219486155,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4504781658963,3.51892695036044,-0.00047816589629956496,-0.0010730496395598976
36283.0,1.9991837807810613,0.0014487831153567887,2.489015869776647,2.1863337597955463,5.1020890838267166,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450025329681375,3.51962491056396,-2.5329681374586244e-05,-0.0003750894360399215
3621.0,1.8831308114284502,0.01463475696796912,2.489015869776647,2.8297194355727027,4.3418032011191645,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450412691038575,3.5193399298862,-0.00041269103857466405,-0.000660070113799982
36390.0,1.984191983762421,0.00018649065871378934,2.489015869776647,1.7279015238879039,6.059841097609066,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4500034147782,3.51970977428614,-3.41477819976177e-06,-0.0002902257138601705
36421.0,1.8123343189940462,0.006950585249597352,2.489015869776647,1.874878616019777,6.390726987764429,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45026031772685,3.51943950164593,-0.00026031772685009,-0.0005604983540701269
3679.0,1.3657024126025072,0.0014647605204717307,2.489015869776647,1.4581122677430947,2.826572800527158,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45033497191285,3.52121540731302,-0.00033497191285025707,0.001215407313019945
36580.0,1.8741454995237516,0.023797197965207295,2.489015869776647,3.937475693229292,2.8969999550820518,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450690176523025,3.5192760674646,-0.0006901765230251655,-0.0007239325353998183
36682.0,1.6753445072518507,0.012146108975679137,2.489015869776647,2.0306760248721254,3.0692448022621193,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450752137284475,3.52008001473501,-0.0007521372844747631,8.001473501018097e-05
4106.0,1.9742973531898307,0.01690473361074729,2.489015869776647,1.207489430287077,3.6508884818616494,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450234457072225,3.52096222400224,-0.00023445707222524703,0.0009622240022397754
4189.0,1.7261477584613074,0.01109820434125841,2.489015869776647,3.525360833217056,3.4078131998208288,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450593879754625,3.51929780265,-0.000593879754624993,-0.0007021973499998779
