sim_id,p_NiNi_a,p_NiNi_D0,p_NiNi_r0,d_Ni_rho0,d_Ni_beta,d_Ni_r0,e_Ni_latticetype,e_Ni_ecoh,e_Ni_B,e_Ni_a0,Ni_fcc.E_coh,Ni_fcc.a0,Ni_fcc.c11,Ni_fcc.c12,Ni_fcc.c44,Ni_fcc.B,Ni_fcc.G,Ni_fcc.vac,Ni_fcc.100s,Ni_fcc.110s,Ni_fcc.111s,Ni_fcc.isf,E_Ni_fcc_hcp,E_Ni_fcc_bcc,E_Ni_fcc_dia,Ni_fcc.E_coh.err,Ni_fcc.a0.err,Ni_fcc.c11.err,Ni_fcc.c12.err,Ni_fcc.c44.err,Ni_fcc.B.err,Ni_fcc.G.err,Ni_fcc.vac.err,Ni_fcc.100s.err,Ni_fcc.110s.err,Ni_fcc.111s.err,Ni_fcc.isf.err,E_Ni_fcc_hcp.err,E_Ni_fcc_bcc.err,E_Ni_fcc_dia.err
sim_id,param,param,param,param,param,param,param,param,param,param,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
2822.0,1.49617428196316,0.006942835839479772,2.489015869776647,4.440116986519897,2.6222068666049068,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450968064477725,3.51926686224886,186.995286859514,186.219064702408,1.77049783722751,186.47780542144332,0.38811107855300975,0.06348882096557418,0.0063926439107408846,0.005711331011985307,0.0056160417169076665,3.803077427920679e-08,7.951787495130702e-08,0.0003173408847301218,3.506448731371847e-08,-0.0009680644777247949,-0.0007331377511401449,-74.00471314048599,35.21906470240799,-130.2295021627725,-1.5221945785566788,-100.61188892144699,-1.536511179034426,-0.1414073560892591,-0.1197886689880147,-0.14578395828309235,-0.00885996196922572,-0.01999992048212505,-0.12968265911526988,-1.7999999649355127
2824.0,1.3689678673138173,0.004099591085029858,2.489015869776647,3.5475572692498023,2.189977712703638,2.489015869776647,fcc,-4.45,188.0,3.52,-4.450953641589025,3.51999362174334,187.726235074779,187.398415725882,0.83557295975122,187.50768884218098,0.16390967444850446,0.05012802252264237,0.0076879756748002735,0.0038665491316864043,0.0038887188704411833,4.629628890976825e-07,1.2126434496551042e-06,0.00011316199406508076,0.015467259647087062,-0.0009536415890245564,-6.37825666016667e-06,-73.273764925221,36.39841572588199,-131.16442704024877,-0.49231115781901735,-100.8360903255515,-1.5498719774773577,-0.1401120243251997,-0.12163345086831359,-0.14751128112955883,-0.008859537037110902,-0.019998787356550345,-0.12988683800593492,-1.784532740352913
7817.0,1.1312841851150162,0.0016492236708433028,2.489015869776647,1.381170386257348,4.95393040148086,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45103169295315,3.51999502640222,186.145159669771,185.722459369418,0.756176791272881,185.86335946953568,0.21135015017650005,0.02002725225412405,0.0016790684767811323,0.0018203580729229487,0.001642535015183974,1.90398884718987e-07,4.514399254418322e-07,0.00022552561324573617,0.00930560681437509,-0.0010316929531501984,-4.973597779844852e-06,-74.854840330229,34.722459369418004,-131.24382320872712,-2.1366405304643195,-100.7886498498235,-1.579972747745876,-0.14612093152321887,-0.12367964192707705,-0.14975746498481604,-0.00885980960111528,-0.01999954856007456,-0.12977447438675427,-1.790694393185625
8076.0,1.509514937446784,0.00954901503437599,2.489015869776647,2.053237872242783,2.348001006102127,2.489015869776647,fcc,-4.45,188.0,3.52,-4.451182474039675,3.52053073825378,187.444387022189,186.437159450816,2.29450423063165,186.77290197460698,0.5036137856864968,0.08104808084425486,0.009585677665358115,0.008093749551878906,0.008220290854089905,7.364885447883653e-08,1.720413749239924e-07,0.0004131859400748894,0.040287396563450706,-0.0011824740396750855,0.0005307382537798055,-73.555612977811,35.43715945081601,-129.70549576936835,-1.227098025393019,-100.4963862143135,-1.5189519191557452,-0.13821432233464187,-0.1174062504481211,-0.1431797091459101,-0.008859926351145521,-0.019999827958625076,-0.12958681405992512,-1.7597126034365493
784.0,1.1165215664029722,0.0018288050324910543,2.489015869776647,2.1901509563987087,4.300043240640285,2.489015869776647,fcc,-4.45,188.0,3.52,-4.451223207897575,3.51947124144111,186.904068975382,186.538533266665,0.72167083676855,186.660378502904,0.18276785435848808,0.022414104139556912,0.001921661833152712,0.0020751322910069828,0.0018799580015786707,2.754320083703089e-07,6.638487999310883e-07,0.00017922297351002925,0.009862933043724986,-0.0012232078975751293,-0.0005287585588900079,-74.09593102461801,35.53853326666501,-131.27832916323146,-1.3396214970960045,-100.81723214564151,-1.5775858958604432,-0.14587833816684728,-0.12342486770899302,-0.14952004199842134,-0.008859724567991629,-0.01999933615120007,-0.12982077702648998,-1.790137066956275
8599.0,1.170777514131398,0.0025361087025429496,2.489015869776647,1.0028243029220631,6.693680829027804,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45134925512765,3.51992294112791,185.904369624915,184.870280766758,1.56068622917559,185.21497705281033,0.5170444290785099,0.027860651766559386,0.0024056435094162035,0.002537861848486106,0.0028893595164348877,1.866543498553806e-07,4.3072189992443555e-07,0.0006018619502805578,0.015115403892537849,-0.0013492551276499398,-7.705887208997453e-05,-75.095630375085,33.870280766757986,-130.4393137708244,-2.785022947189674,-100.48295557092149,-1.5721393482334407,-0.14539435649058377,-0.1229621381515139,-0.14851064048356513,-0.008859813345650145,-0.019999569278100076,-0.12939813804971945,-1.7848845961074622
7191.0,1.2155202348603482,0.00192025647196159,2.489015869776647,2.5193041688835818,4.31170137835911,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45086020719615,3.51940024684423,187.134939295913,186.770198295474,0.723012760103204,186.89177862895363,0.18237050021950552,0.022245995759021753,0.0017840569803695028,0.0019340656918950493,0.003048730046819642,1.5770234822697437e-07,3.8266439972289845e-07,0.0001776434684543915,0.00982471760374981,-0.0008602071961494318,-0.0005997531557699887,-73.865060704087,35.77019829547399,-131.27698723989678,-1.108221371046369,-100.8176294997805,-1.5777540042409783,-0.14601594301963047,-0.12356593430810495,-0.14835126995318038,-0.008859842297651773,-0.019999617335600278,-0.1298223565315456,-1.7901752823962502
5023.0,1.3271985376923208,0.0035008822576927624,2.489015869776647,2.0933709696680447,2.981966461317922,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45096876639055,3.52009565510623,186.998150136482,186.626303644752,0.902675779592155,186.75025247532867,0.18592324586499842,0.03856721271279184,0.003197972484167994,0.00316966578467188,0.003013873359614499,3.4126839531508147e-07,8.825896493647178e-07,0.0001394011058595268,0.014832021534337159,-0.0009687663905495469,9.565510623010809e-05,-74.001849863518,35.626303644752,-131.09732422040784,-1.249747524671335,-100.814076754135,-1.5614327872872082,-0.14460202751583198,-0.12233033421532812,-0.1483861266403855,-0.008859658731604684,-0.019999117410350636,-0.12986059889414048,-1.7851679784656629
8226.0,1.1830896533383395,0.0021070746998537483,2.489015869776647,1.3427286327305905,5.540868931711387,2.489015869776647,fcc,-4.45,188.0,3.52,-4.451068759683925,3.51983821785016,186.179997696228,185.552180060774,1.05297944738347,185.76145260592534,0.31390881772701107,0.023669377572957728,0.0019985557911815456,0.0021279886413652607,0.001944684637191677,1.523469184005918e-07,3.54938699764773e-07,0.00034929504752501117,0.011906096215587247,-0.0010687596839247249,-0.00016178214983986194,-74.82000230377199,34.55218006077399,-130.94702055261652,-2.238547394074658,-100.68609118227299,-1.5763306224270424,-0.14580144420881844,-0.12337201135863474,-0.14945531536280832,-0.0088598476530816,-0.019999645061300236,-0.129650704952475,-1.7880939037844128
