sim_id,p_NiNi_a,p_NiNi_D0,p_NiNi_r0,d_Ni_rho0,d_Ni_beta,d_Ni_r0,e_Ni_latticetype,e_Ni_ecoh,e_Ni_B,e_Ni_a0,Ni_fcc.E_coh,Ni_fcc.a0,Ni_fcc.c11,Ni_fcc.c12,Ni_fcc.c44,Ni_fcc.B,Ni_fcc.G,Ni_fcc.vac,Ni_fcc.100s,Ni_fcc.110s,Ni_fcc.111s,Ni_fcc.isf,E_Ni_fcc_hcp,E_Ni_fcc_bcc,E_Ni_fcc_dia,Ni_fcc.E_coh.err,Ni_fcc.a0.err,Ni_fcc.c11.err,Ni_fcc.c12.err,Ni_fcc.c44.err,Ni_fcc.B.err,Ni_fcc.G.err,Ni_fcc.vac.err,Ni_fcc.100s.err,Ni_fcc.110s.err,Ni_fcc.111s.err,Ni_fcc.isf.err,E_Ni_fcc_hcp.err,E_Ni_fcc_bcc.err,E_Ni_fcc_dia.err
2002110.0,0.8626235068946502,0.006720063740494009,2.489015869776647,10.389807027637222,8.173726977024359,2.489015869776647,fcc,-4.45,188.0,3.52,-4.46215575863175,3.51558754825114,199.328104375242,193.944535261974,7.18014010943492,195.73905829973,2.6917845566339906,0.0949991826713017,0.010675671631307945,0.010403241647754094,0.010008189058547844,2.8904141248345925e-06,6.104167550091688e-06,0.00316018052805056,0.05460329531687513,-0.012155758631750224,-0.004412451748859958,-61.67189562475801,42.94453526197401,-124.81985989056508,7.739058299730004,-98.30821544336601,-1.5050008173286984,-0.13712432836869204,-0.1150967583522459,-0.14139181094145217,-0.008857109585875165,-0.01999389583244991,-0.12683981947194944,-1.745396704683125
2002111.0,0.23980336196933105,0.005000542066241443,2.489015869776647,1.9610610272746511,7.996430809557954,2.489015869776647,fcc,-4.45,188.0,3.52,-4.46972772595685,3.51539721630107,185.539003664113,182.925641426422,3.52664651493009,183.79676217231903,1.3066811188455034,0.04705444699391137,0.007324113367336682,0.006921929030923185,0.006777771551503032,1.4679846271481607e-05,2.8905437999604544e-05,0.0015444604884846669,0.0254549566554374,-0.019727725956849795,-0.004602783698929969,-75.46099633588699,31.925641426422004,-128.4733534850699,-4.203237827680965,-99.6933188811545,-1.5529455530060887,-0.1404758866326633,-0.11857807096907681,-0.14462222844849698,-0.008845320153728518,-0.019971094562000396,-0.12845553951151534,-1.7745450433445626
2002112.0,0.34073082155211387,0.00211469422748155,2.489015869776647,7.953839493570845,5.189065961253412,2.489015869776647,fcc,-4.45,188.0,3.52,-4.46186144879845,3.51640307935084,193.320532567272,192.42917232953,1.50332081286026,192.72629240877734,0.4456801188710102,0.033579471253119664,0.0046636455368303876,0.0048089652879382185,0.004620671081466844,6.877716499273603e-06,1.3638825924644493e-05,0.0005091774029049034,0.016375527466712114,-0.011861448798449636,-0.0035969206491599515,-67.67946743272799,41.42917232952999,-130.49667918713973,4.72629240877734,-100.55431988112899,-1.5664205287468804,-0.1431363544631696,-0.12069103471206179,-0.14677932891853315,-0.008853122283500726,-0.019986361174075356,-0.1294908225970951,-1.783624472533288
2002114.0,1.1351730870442802,0.01170346511963586,2.489015869776647,1.8475951526713585,7.5144605299412435,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45732055327915,3.51727920995025,193.231053776165,187.319749647203,8.41553770889927,189.290184356857,2.9556520644810007,0.12292022341404163,0.011533860209372887,0.011849812552370878,0.011247170851470202,1.1856806997917265e-06,2.703005624660193e-06,0.0034589641059747933,0.07322638968630013,-0.0073205532791496,-0.0027207900497501214,-67.768946223835,36.319749647203,-123.58446229110073,1.2901843568569973,-98.044347935519,-1.4770797765859585,-0.1362661397906271,-0.11365018744762913,-0.1401528291485298,-0.008858814319300207,-0.01999729699437534,-0.1265410358940252,-1.7267736103137
2002115.0,1.130970240405377,0.01800382646252192,2.489015869776647,0.9241019265936075,13.418817229281943,2.489015869776647,fcc,-4.45,188.0,3.52,-4.461458152964675,3.51599930767015,199.88373936315,179.950463006752,23.8269271493382,186.59488845888464,9.966638178199005,0.20398479876820375,0.017623266638152425,0.01819374997127219,0.017153667100902756,1.920828756377001e-06,4.346505924957e-06,0.00976907985454023,0.12177966267506246,-0.011458152964674895,-0.0040006923298498975,-61.11626063685,28.95046300675199,-108.1730728506618,-1.4051115411153603,-91.033361821801,-1.3960152012317963,-0.13017673336184757,-0.10730625002872782,-0.13424633289909726,-0.008858079171243623,-0.019995653494075043,-0.12023092014545977,-1.6782203373249376
2002120.0,1.0699156873104676,0.008763013127446682,2.489015869776647,5.384074601829972,1.5902918698193487,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45665344341935,3.52272026077115,191.916284958509,191.619823806689,1.02025911212383,191.718644190629,0.14823057591000577,0.07756550702043796,0.013118605813070353,0.011102863115748046,0.010997586265837172,2.8147000152838044e-06,7.155583849893787e-06,4.5414322060288725e-05,0.021112932315112687,-0.006653443419350147,0.0027202607711500626,-69.08371504149099,40.619823806689,-130.97974088787618,3.718644190628993,-100.85176942409,-1.5224344929795621,-0.13468139418692965,-0.11439713688425196,-0.14040241373416285,-0.008857185299984716,-0.019992844416150107,-0.12995458567793972,-1.7788870676848874
2002121.0,0.8268809832965188,0.006525163608922294,2.489015869776647,4.119234541242089,4.3768780443962205,2.489015869776647,fcc,-4.45,188.0,3.52,-4.463374387878125,3.51583017054483,195.671467601005,193.876429216803,3.40354278674536,194.47477534487032,0.8975191921010008,0.08337325254836969,0.012294621543685753,0.010797420174848926,0.010401426856550268,3.688615114392043e-06,7.936556750465229e-06,0.0009199347634254451,0.04493958896193728,-0.01337438787812495,-0.004169829455169971,-65.32853239899501,42.87642921680299,-128.59645721325464,6.474775344870324,-100.102480807899,-1.5166267474516304,-0.13550537845631425,-0.11470257982515107,-0.14099857314344974,-0.008856311384885608,-0.019992063443249535,-0.12908006523657456,-1.7550604110380628
2002122.0,1.268856777798532,6.530819429620936e-05,2.489015869776647,0.7006699932577731,2.1042619927980244,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45002022347045,3.5259949544661,184.018572807546,184.014324098568,0.0117863477232512,184.015740334894,0.0021243544889983923,0.0012644252781228715,7.689081966729403e-05,7.139328124688873e-05,6.752391395851974e-05,1.188098694257994e-08,3.146557414623885e-08,1.2528264692335256e-06,0.00022558720663745646,-2.022347044938755e-05,0.005994954466099767,-76.98142719245399,33.01432409856801,-131.98821365227676,-3.984259665106009,-100.997875645511,-1.5987355747218772,-0.14772310918033268,-0.1254286067187531,-0.1513324760860415,-0.008859988119013057,-0.019999968534425854,-0.12999874717353077,-1.7997744127933626
2002124.0,0.5116008617676848,0.016578027301988835,2.489015869776647,3.985657938290469,10.957094535022497,2.489015869776647,fcc,-4.45,188.0,3.52,-4.535999568139825,3.49982202166285,263.48867409784,234.532316874712,35.0651256897582,244.184435949088,14.47817861156399,0.3317108063542946,0.04070474452433856,0.04126410501350626,0.040118062557659144,4.474798112814594e-05,8.429756814987144e-05,0.01542443212772504,0.18739858559372546,-0.08599956813982512,-0.02017797833714985,2.4886740978399757,83.532316874712,-96.93487431024181,56.184435949088,-86.52182138843601,-1.2682891936457055,-0.10709525547566143,-0.08423589498649374,-0.11128193744234086,-0.008815252018871855,-0.01991570243185013,-0.11457556787227496,-1.6126014144062746
2002127.0,0.20547411394831439,0.01237301385716777,2.489015869776647,0.22765259869332732,12.622437553133537,2.489015869776647,fcc,-4.45,188.0,3.52,-4.48653548292185,3.51509552504714,183.270293708639,174.927755469765,9.90832182093359,177.70860154938967,4.1712691194369995,0.08306172806197765,0.01183213232048085,0.011972158971464754,0.011754300196375854,3.0451537501080564e-05,5.991277164962838e-05,0.0041804262444395945,0.04573496499202534,-0.03653548292184983,-0.00490447495285995,-77.729706291361,23.927755469765003,-122.0916781790664,-10.29139845061033,-96.828730880563,-1.5169382719380224,-0.13596786767951913,-0.11352784102853525,-0.13964569980362415,-0.008829548462498919,-0.019940087228350372,-0.1258195737555604,-1.7542650350079747
