sim_id,p_NiNi_phi0,p_NiNi_gamma,p_NiNi_r0,d_Ni_rho0,d_Ni_beta,d_Ni_r0,e_Ni_latticetype,e_Ni_ecoh,e_Ni_B,e_Ni_a0,Ni_fcc.E_coh,Ni_fcc.a0,Ni_fcc.E_coh.err,Ni_fcc.a0.err
sim_id,param,param,param,param,param,param,param,param,param,param,qoi,qoi,err,err
0,3.70835591363,4.54293458616,2.489015869776647,2.14738523357,4.71437131088,2.489015869776647,fcc,-4.45,188.0,3.52,-104922.66625904824,3.60166768643164,-104918.21625904825,0.08166768643163991
2,0.0518695941837,4.42008380655,2.489015869776647,1.78947118462,6.45677335883,2.489015869776647,fcc,-4.45,188.0,3.52,-4.63891405603825,5.85060646055877,-0.18891405603825007,2.3306064605587697
3,0.0707546542727,2.18008330887,2.489015869776647,2.97568862102,6.76470369864,2.489015869776647,fcc,-4.45,188.0,3.52,-4.8143817605482,10.3975992042888,-0.36438176054820026,6.877599204288801
5,3.86809982508,2.84086149446,2.489015869776647,2.76014166276,2.69225782415,2.489015869776647,fcc,-4.45,188.0,3.52,-4.44900264889275,3.52093599886748,0.0009973511072498553,0.0009359988674799702
7,1.81527993375,5.56496011166,2.489015869776647,2.23865710219,5.46162843729,2.489015869776647,fcc,-4.45,188.0,3.52,-4.482720713202275,3.5211504217426,-0.03272071320227443,0.0011504217425999386
8,3.30819598651,6.51033503262,2.489015869776647,2.84864075428,2.68399401829,2.489015869776647,fcc,-4.45,188.0,3.52,-4.459585263448075,3.51667056975132,-0.009585263448074421,-0.003329430248680154
9,3.34696333613,6.99236990601,2.489015869776647,1.26319411984,3.86855205168,2.489015869776647,fcc,-4.45,188.0,3.52,-4.471323092428575,3.51670330208248,-0.021323092428574775,-0.003296697917519964
10,1.39737511264,6.49643593502,2.489015869776647,1.91186439595,4.95565645498,2.489015869776647,fcc,-4.45,188.0,3.52,-4.469600447759875,3.51840627294727,-0.019600447759875017,-0.0015937270527301983
11,0.892131527562,3.49982041337,2.489015869776647,3.22524773946,5.02439919337,2.489015869776647,fcc,-4.45,188.0,3.52,-68326.27427831275,2.77291986553879,-68321.82427831275,-0.7470801344612101
12,3.91025568245,2.18621403572,2.489015869776647,3.60335162853,5.90501965102,2.489015869776647,fcc,-4.45,188.0,3.52,-499133.673089995,1.30099433457026,-499129.223089995,-2.21900566542974
13,0.142393081851,4.68663043003,2.489015869776647,1.91073383018,2.84393098751,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4502084197975,3.51901449521098,-0.00020841979749963713,-0.0009855047890199309
14,1.31867377843,3.14572374278,2.489015869776647,2.32167314869,2.54446569052,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4499848025616,3.51944009797668,1.5197438400171848e-05,-0.0005599020233200136
15,3.87849723111,6.60536707759,2.489015869776647,1.91524122108,5.67218146315,2.489015869776647,fcc,-4.45,188.0,3.52,-4.55093342418045,3.51753307432971,-0.10093342418045026,-0.0024669256702898323
16,3.88311895965,6.55937480611,2.489015869776647,2.41557344305,6.28887490264,2.489015869776647,fcc,-4.45,188.0,3.52,-4.617983939945025,3.5215908130004,-0.16798393994502447,0.001590813000400093
17,0.642422561144,6.96934984723,2.489015869776647,2.72663527943,5.5761458788,2.489015869776647,fcc,-4.45,188.0,3.52,-4.46636028626135,3.5187111870813,-0.016360286261349444,-0.0012888129187000885
19,2.98215400328,6.10071701428,2.489015869776647,2.6806402327,5.65505228711,2.489015869776647,fcc,-4.45,188.0,3.52,-4.52011855382495,3.52079576343892,-0.07011855382495025,0.0007957634389201829
21,1.28663272209,6.59996683932,2.489015869776647,1.95345093714,6.73935284729,2.489015869776647,fcc,-4.45,188.0,3.52,-1475867.0867513125,2.15688356085809,-1475862.6367513125,-1.3631164391419102
