sim_id,p_NiNi_phi0,p_NiNi_gamma,p_NiNi_r0,d_Ni_rho0,d_Ni_beta,d_Ni_r0,e_Ni_F0,Ni_fcc.E_coh,Ni_fcc.a0,Ni_fcc.c11,Ni_fcc.c12,Ni_fcc.c44,Ni_fcc.B,Ni_fcc.G,Ni_fcc.vac,Ni_fcc.100s,Ni_fcc.110s,Ni_fcc.111s,Ni_fcc.isf,E_Ni_fcc_hcp,E_Ni_fcc_bcc,E_Ni_fcc_sc,E_Ni_fcc_dia,Ni_fcc.E_coh.err,Ni_fcc.a0.err,Ni_fcc.c11.err,Ni_fcc.c12.err,Ni_fcc.c44.err,Ni_fcc.B.err,Ni_fcc.G.err,Ni_fcc.vac.err,Ni_fcc.100s.err,Ni_fcc.110s.err,Ni_fcc.111s.err,Ni_fcc.isf.err,E_Ni_fcc_hcp.err,E_Ni_fcc_bcc.err,E_Ni_fcc_sc.err,E_Ni_fcc_dia.err
sim_id,param,param,param,param,param,param,param,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
0,2.309803893989179,3.6123277571265655,1.9487774600559342,3.817278790319645,1.7481973801297002,1.2770285392808776,-1.9285728773514976,-2.13464748581676,3.75367573771832,250.831885400112,202.388572500786,98.5651563410557,218.536343467228,24.221656449662987,0.5858768232313025,0.033010577428973634,0.03604012993460893,0.02722064105432266,1.3975176685221215e-14,0.0,0.014476305040795001,0.30966791699916985,0.5616850117163974,2.3153525141832403,0.23367573771832006,-10.168114599888014,51.38857250078601,-33.4348436589443,30.536343467227994,-76.77834355033701,-1.0141231767686976,-0.11798942257102636,-0.11195987006539107,-0.09777935894567734,-0.014499999999986026,-0.024,-0.077523694959205,-0.29033208300083013,-0.7083149882836026
1,5.030230962052366,5.335065773394484,1.7732907948084902,1.3532655315872222,2.639722430441131,2.3475777353973077,-0.9975249328824152,-2.5438970377576,3.42151937973661,192.492810660042,131.031189650093,77.1641746825655,151.51839665340935,30.7308105049745,0.8257207929321453,0.05432037401364757,0.05984160918723838,0.04620058320304354,2.2707356160909288e-13,0.0,0.04921951999984486,0.4156245507665499,0.7623377731314875,1.9061029622424002,-0.09848062026338988,-68.50718933995799,-19.968810349906988,-54.8358253174345,-36.481603346590646,-70.2691894950255,-0.7742792070678548,-0.09667962598635244,-0.08815839081276161,-0.07879941679695646,-0.014499999999772927,-0.024,-0.042780480000155136,-0.18437544923345006,-0.5076622268685125
2,2.7068486630755473,6.320396572781929,1.9367295843908776,4.278672231176125,2.1293621010389687,0.05777847424312327,-7.467402240402281,-3.21012344174485,3.40834274466719,235.051871200267,146.819361900271,111.608604497916,176.230198333603,44.116254649998,1.2362471447679013,0.07978191864493935,0.08779447542069625,0.06878106907683629,-1.695056939034772e-14,0.0,0.07565763783797008,0.6079381091257501,1.11535320855275,1.2398765582551503,-0.11165725533281012,-25.948128799733013,-4.180638099729009,-20.391395502083995,-11.769801666397,-56.883745350002,-0.36375285523209877,-0.07121808135506065,-0.06020552457930374,-0.05621893092316371,-0.01450000000001695,-0.024,-0.016342362162029916,0.007938109125750104,-0.15464679144725002
3,1.908842867675723,4.464907572182892,1.92425778204183,2.4397821630149426,2.3533540282406435,2.894781263884365,-0.37257587998233843,-2.101229317196435,3.51743282276088,168.406015108351,124.051187440823,66.4692475317071,138.83612999666568,22.177413833764,0.6194604791745348,0.039267090867676116,0.04313358871377886,0.03311809120228526,-5.968297426385407e-15,0.0,0.02685116172255997,0.3082140014990149,0.5866903027511849,2.3487706828035653,-0.002567177239119811,-92.593984891649,-26.948812559177,-65.5307524682929,-49.163870003334324,-78.822586166236,-0.9805395208254652,-0.11173290913232388,-0.10486641128622112,-0.09188190879771474,-0.014500000000005968,-0.024,-0.06514883827744003,-0.2917859985009851,-0.6833096972488151
4,4.256294779643923,4.445033867049905,1.7697238614515387,2.7083078014512827,2.375684595347761,1.6602980447589175,-2.7786125043847383,-4.716192875943775,3.3080998383453,154.518753502634,106.852121750126,61.3795934680219,122.740999000962,23.833315876254005,1.4034135118179165,0.10064129765703522,0.11098178837998797,0.08685537297279201,-0.00016398655295444785,-0.0003971702360754392,0.04945129545107996,0.6184866512708247,-0.0003971702360630047,-0.2661928759437746,-0.21190016165469983,-106.48124649736599,-44.147878249874,-70.62040653197809,-65.259000999038,-77.166684123746,-0.19658648818208357,-0.05035870234296477,-0.03701821162001202,-0.038144627027207986,-0.014663986552954448,-0.02439717023607544,-0.04254870454892004,0.018486651270824717,-1.270397170236063
5,2.2906703721708372,4.388635773803155,1.9826932017083676,3.4928951624560947,2.0228548854892305,1.5870347561025664,-1.4247471519764217,-1.972861898867395,3.70861642628587,281.045785899915,211.799990049621,115.707801313251,234.881921999719,34.622897925147015,0.6076511756922685,0.034337832641907824,0.037598010778792414,0.028553178739051374,2.5054458966267828e-14,0.0,0.025728904932274865,0.32717613689665503,0.56775417627422,2.4771381011326055,0.18861642628586983,20.045785899915018,60.79999004962099,-16.292198686749003,46.881921999719,-66.37710207485298,-0.9923488243077316,-0.11666216735809218,-0.11040198922120759,-0.09644682126094863,-0.014499999999974946,-0.024,-0.06627109506772513,-0.27282386310334494,-0.70224582372578
6,2.889808255154145,5.5478380003986665,1.904546656396202,0.3858073491163946,1.508482210878646,1.4481636995863634,-3.1430965781465594,-1.8361252076117176,3.61231346161362,210.437484989961,144.896972320566,100.192165885292,166.743809877031,32.77025633469751,0.7054616748118008,0.04059335140890197,0.04441275731566672,0.03448486940147483,-3.1438275638271375e-15,0.0,0.030822054030137602,0.3603830996698376,0.638332855225205,2.6138747923882826,0.09231346161362008,-50.56251501003899,-6.103027679434007,-31.807834114708,-21.256190122969002,-68.2297436653025,-0.8945383251881993,-0.11040664859109803,-0.10358724268433328,-0.09051513059852517,-0.014500000000003144,-0.024,-0.061177945969862396,-0.23961690033016236,-0.631667144774795
7,1.8450537818216062,3.1372160781901215,2.0190731019949357,2.9082411860612654,1.4747260824970243,0.9615949845008633,-4.3175448943928405,-4.209057617477675,3.57771536644221,209.344023310041,174.965077067282,88.2741220425656,186.42472581486834,17.189473121379493,1.111683874722189,0.07016462122587475,0.07677597468505354,0.05901340788319067,6.153458258735713e-14,0.0,0.009865329131620193,0.4792188638816248,1.2434497875801753e-14,0.24094238252232536,0.05771536644220987,-51.655976689959004,23.96507706728201,-43.725877957434406,-1.5752741851316614,-83.81052687862051,-0.488316125277811,-0.08083537877412525,-0.07122402531494645,-0.06598659211680932,-0.014499999999938467,-0.024,-0.0821346708683798,-0.12078113611837515,-1.2699999999999876
8,1.9488898730307538,4.885206481753837,1.9482662487589046,3.6540185047450042,2.487302745150336,1.4291073905772746,-1.9008968344743777,-2.3362442638858876,3.48180996108256,214.40609950305,153.189967928733,86.0655636620936,173.59534512017203,30.608065787158495,0.7260734800109674,0.0465018760062088,0.051148538803358165,0.039365812224077174,-1.4889226138471267e-14,-2.220446049250313e-15,0.03760705291874267,0.3650923815635476,0.6787595818040875,2.1137557361141126,-0.038190038917440106,-46.59390049695,2.1899679287330116,-45.934436337906405,-14.404654879827973,-70.3919342128415,-0.8739265199890327,-0.10449812399379119,-0.09685146119664183,-0.08563418777592283,-0.01450000000001489,-0.02400000000000222,-0.05439294708125733,-0.23490761843645236,-0.5912404181959126
9,0.7864284750622877,4.505626632298343,2.0598985498367366,3.908115242798404,0.9122425148553038,1.4011644818998545,-1.5687422967641738,-3.403724461419575,3.43429776000294,163.002524260083,118.418930004736,91.8994942637823,133.28012808985167,22.291797127673497,1.287121994786503,0.08266590666663423,0.09093468373167801,0.07286760007777714,4.173831678315388e-15,0.0,0.0298088804836949,0.514659658067075,1.192318744492575,1.0462755385804252,-0.08570223999705995,-97.99747573991701,-32.581069995264,-40.1005057362177,-54.71987191014833,-78.7082028723265,-0.3128780052134972,-0.06833409333336576,-0.05706531626832198,-0.05213239992222286,-0.014499999999995827,-0.024,-0.0621911195163051,-0.08534034193292495,-0.0776812555074251
10,1.3726745129630895,5.177651703938507,1.9883528085936142,2.0831071943930364,1.825537902991647,0.5198721612966847,-4.952074157460649,-2.96874672261115,3.42384453346749,187.602731560036,126.686956183039,90.8186357264535,146.992214642038,30.457887688498502,1.0815756648060528,0.06995603614461016,0.07692025951013264,0.06051023055618642,1.6797426171744076e-14,0.0,0.04534695085957008,0.50135873893861,-1.2434497875801753e-14,1.4812532773888503,-0.09615546653250995,-73.397268439964,-24.313043816961,-41.18136427354651,-41.00778535796201,-70.5421123115015,-0.5184243351939473,-0.08104396385538984,-0.07107974048986736,-0.06448976944381357,-0.014499999999983203,-0.024,-0.04665304914042992,-0.09864126106138993,-1.2700000000000125
11,1.0468674027700569,4.83952368280354,2.0726037583444192,2.2136273680779897,2.799678235867083,1.6060755886453266,-2.9532922549427782,-3.59507497700725,3.32583453341589,144.761255651247,100.464324300992,47.8628199119007,115.22996808441034,22.148465675127504,1.032838374858784,0.07346494289410034,0.08098242595551736,0.06264521545596093,-5.3843482168053727e-05,-0.00013076053337490734,0.051159760079710015,0.49491817808225,0.9606373090976876,0.8549250229927501,-0.19416546658410994,-116.23874434875299,-50.535675699007996,-84.1371800880993,-72.77003191558966,-78.85153432487249,-0.5671616251412162,-0.07753505710589965,-0.06701757404448264,-0.062354784544039074,-0.014553843482168054,-0.024130760533374908,-0.040840239920289984,-0.10508182191774995,-0.3093626909023124
12,2.373400187434771,3.4279842667152067,1.8709762311550902,2.638413282032933,1.621052014927387,2.6227220330879684,-0.2602890085392886,-0.4702992937481775,4.21790352200662,235.833007548353,196.670200600056,84.9864699084659,209.72446958282168,19.5814034741485,0.1113333129496965,0.0050667238524586015,0.005590787609018274,0.004138104368065065,-4.61175565015834e-16,0.0,0.011969764407115002,0.06960806141647952,0.10736529081683255,3.9797007062518226,0.6979035220066199,-25.16699245164699,45.670200600056006,-47.01353009153409,21.724469582821683,-81.4185965258515,-1.4886666870503036,-0.1459332761475414,-0.14240921239098173,-0.12086189563193493,-0.014500000000000462,-0.024,-0.080030235592885,-0.5303919385835205,-1.1626347091831675
13,1.584386332601897,3.8217870067911637,1.9912625967353055,5.098148629148059,1.7727118266683601,0.9373719775582476,-2.9219280394339506,-3.56007762548825,3.48520118196075,212.855919867054,164.265354614473,92.3383768649827,180.46220969866667,24.2952826262905,1.0598900384947,0.06872556137250437,0.07547514184790836,0.058676144800304704,2.9450343325910707e-13,0.0,0.025696008955609972,0.4680801749550798,1.0145126043531247,0.8899223745117504,-0.03479881803925,-48.14408013294599,13.265354614473011,-39.661623135017294,-7.537790301333331,-76.7047173737095,-0.5401099615053,-0.08227443862749563,-0.07252485815209163,-0.0663238551996953,-0.014499999999705497,-0.024,-0.06630399104439003,-0.13191982504492017,-0.2554873956468753
