sim_id,p_NiNi_phi0,p_NiNi_gamma,p_NiNi_r0,d_Ni_rho0,d_Ni_beta,d_Ni_r0,e_Ni_F0,Ni_fcc.E_coh,Ni_fcc.a0,Ni_fcc.E_coh.err,Ni_fcc.a0.err
sim_id,param,param,param,param,param,param,param,qoi,qoi,err,err
00_000016,2.279346741935194,5.872976909645065,3.2688053005516915,3.906952761207013,4.4211771835812,3.64106173001914,-0.5608193979964451,-2.62616660497635,5.20726636098478,1.8238333950236503,1.6872663609847796
00_000017,2.6963262245102984,2.4345949702431486,1.8987780677491348,1.084265070697735,4.955314383610496,1.3938639443077294,-4.9789152445550755,-0.0544430672372315,6.56671415632356,4.395556932762768,3.0467141563235596
00_000018,3.1872133462370256,3.895809075830771,3.1014075107175727,1.8123503590652377,2.787737653515869,2.571575739387952,-0.4225929222750393,-0.04474102225498325,6.30705215722721,4.405258977745017,2.7870521572272096
00_000019,1.6126110938271618,5.654288181316993,4.2963363059498345,1.3053096475387542,5.131039412964585,3.988160915044407,-3.1643065736021936,-29.057367869208,6.5656789000001,-24.607367869208,3.0456789000001003
00_000020,2.981961331611564,3.743083936508807,2.6861101762745028,2.201362022572491,2.1390185208751618,3.012393331490636,-1.79832488787468,-4.3152945481727,4.58867334619383,0.13470545182730032,1.06867334619383
00_000021,0.8577299012845153,6.9639437702362885,2.5499989463815855,2.1670804802629067,3.526084691252139,3.1405374114791904,-1.0612934496919482,-10.433228421285175,3.67803721623697,-5.983228421285175,0.15803721623696987
00_000022,2.146758300244583,5.89836436109416,3.1421987426985045,3.7806934200392326,4.448486140959593,1.5202804021556897,-0.15570723462334968,-0.0044213337906974,6.56671419436416,4.445578666209303,3.0467141943641596
00_000023,3.5607276099485845,3.8178269869194263,4.794707993826506,1.312169828423537,6.305286206216449,4.089990217501535,-3.416213139952413,-181.59944957434274,6.5656789000001,-177.14944957434275,3.0456789000001003
00_000024,2.8135901369476786,6.5841370473341945,4.278986013416518,2.0657044059406817,5.954031415764848,2.1482380067751543,-1.406329840545835,-0.18499602314675825,6.5656789000001,4.265003976853242,3.0456789000001003
00_000025,1.6326018638491184,3.2065999399381635,4.704016728683028,1.7090085258779455,5.29215889648265,4.708052591477355,-4.112456368114979,-352.9913681638275,6.5656789000001,-348.5413681638275,3.0456789000001003
00_000026,1.8530356915469646,5.270272049513567,3.7955763804839635,3.585823501274057,4.539878190351864,2.5652909001348596,-3.717185747299835,-1.098039888313045,6.5656789000001,3.351960111686955,3.0456789000001003
00_000027,1.6852255277170165,6.2227362970011555,3.5461794702537786,2.57254085917726,2.9144515226203254,2.540647819215312,-3.0403645638982026,-1.0088374239723525,5.69129103534778,3.4411625760276476,2.1712910353477803
00_000028,3.6027909853618247,4.546580085590952,4.605613894751535,3.4688601295298684,4.381424417405857,1.4731292874763717,-3.8627411128268334,-0.094928365272716,6.5656789000001,4.355071634727284,3.0456789000001003
00_000029,3.1120298777346127,2.5394628943419604,3.8590846142023736,3.520214435491634,2.040350888077629,3.4863228963930157,-3.2580946920922393,-2.545451647782675,5.96578292385325,1.9045483522173252,2.44578292385325
00_000030,1.5670890681575484,4.9397605746022055,4.290941860227779,2.282997704213183,5.422328444665377,4.890076125442005,-3.5487372134489696,-707.956007012395,6.5656789000001,-703.506007012395,3.0456789000001003
00_000031,3.1290253106555466,6.550519513225647,2.1875340793593216,1.1333734372417261,3.183686344390556,2.2202018438287836,-1.3568133876176116,-1.679168549930705,3.85306239373902,2.770831450069295,0.33306239373902
00_000032,1.4672374882860744,2.6700614088332553,3.679134477593432,1.6614448049247117,2.5550735699138176,1.5711809379315844,-4.495459534204186,-0.109015555530577,6.5656789000001,4.340984444469423,3.0456789000001003
00_000033,2.850936062356485,2.2954873576217083,3.953092415116809,2.67681754607203,6.6957599511770995,3.1391702975152698,-1.3600131593574187,-7.048347545898725,6.5656789000001,-2.598347545898725,3.0456789000001003
00_000034,0.8381757430458148,5.748630947829658,4.967619021083788,2.2172496693456494,2.924789186003479,2.2853048686018593,-4.4590771536322205,-0.3366225119315075,6.5656789000001,4.113377488068493,3.0456789000001003
00_000035,0.7118230392449234,6.715608380194158,4.45473252181039,3.689693664041137,5.674235243872404,3.2776258653914128,-4.409959517240836,-17.557148582799574,6.5656789000001,-13.107148582799574,3.0456789000001003
