sim_id,SiSiSi_epsilon,SiSiSi_sigma,SiSiSi_a,SiSiSi_lambda,SiSiSi_gamma,SiSiSi_costheta0,SiSiSi_A,SiSiSi_B,SiSiSi_p,SiSiSi_q,SiSiSi_tol,Si_dia.E_coh,Si_dia.a0,Si_dia.c11,Si_dia.c12,Si_dia.c44,Si_dia.B,Si_dia.vac,Si_dia.E_coh.err,Si_dia.a0.err,Si_dia.c11.err,Si_dia.c12.err,Si_dia.c44.err,Si_dia.B.err,Si_dia.vac.err
sim_id,param,param,param,param,param,param,param,param,param,param,param,qoi,qoi,qoi,qoi,qoi,qoi,qoi,err,err,err,err,err,err,err
00_000000,2.16327112184,2.19924485674,1.80670724664,21.4333915556,1.44173260391,-0.3333333333333333,11.6324252753,0.958532725064,3.76362354488,0.052675132367,0.0,-4.919796489721238,6.12638271273738,252.00745415059,340.616042999318,-94.0456557985908,311.07984671640867,1057.756245290066,-0.2897964897212377,0.6963827127373801,86.00745415059001,276.616042999318,-174.04565579859081,212.07984671640867,1054.1562452900662
00_000001,2.1054734378,2.55512619655,1.50716646191,20.0156727504,1.41718982812,-0.3333333333333333,10.8200879434,0.534649088999,3.07057204397,0.195885349849,0.0,-2.9742536223788374,5.78784049861568,130.594281750382,150.815121049527,-20.6340427146731,144.07484128314533,639.46452881145,1.6557463776211625,0.3578404986156807,-35.40571824961799,86.815121049527,-100.6340427146731,45.07484128314533,635.86452881145
00_000002,2.13947011387,2.38711524196,1.56488816375,27.0728578208,1.14091515293,-0.3333333333333333,17.7840257823,0.715995949599,4.12509257112,0.274171404739,0.0,-4.4389991366067125,5.90772448263301,362.18385680113,434.455412300303,-74.2664517023456,410.3648938005787,954.3848143704432,0.19100086339328737,0.47772448263301026,196.18385680113,370.455412300303,-154.2664517023456,311.3648938005787,950.7848143704432
00_000003,2.16127050431,1.13656911143,1.64227120751,28.081525233,1.31065301006,-0.3333333333333333,8.40287699726,0.970069104209,4.2904321401,0.42999191905,0.0,0.0,5.43,0.0,0.0,0.0,0.0,0.0,4.63,0.0,-166.0,-64.0,-80.0,-99.0,-3.6
00_000004,2.1159504558,1.53860431321,1.72562503982,27.4102494386,1.0507627855,-0.3333333333333333,9.32321969956,0.814256635972,3.19927058957,0.800368481163,0.0,-2.6237697172027876,3.98650597507141,-91.5676213000552,-124.570845298876,-10130985.2173681,-113.5697706326024,564.1104891985993,2.0062302827972123,-1.4434940249285897,-257.5676213000552,-188.570845298876,-10131065.2173681,-212.5697706326024,560.5104891985993
00_000005,2.11716160663,2.23684055232,1.72856076063,22.0900844208,1.32603091628,-0.3333333333333333,7.97090624504,0.677747646992,3.76332756533,0.36251092758,0.0,-3.3878004414063625,5.7027496935408,141.598563199659,118.029100449348,20.5550508595702,125.885588032785,728.377094902368,1.2421995585936374,0.27274969354080003,-24.401436800341003,54.02910044934799,-59.4449491404298,26.885588032784995,724.7770949023679
00_000006,2.15174291636,1.29203073007,1.54800620947,28.751742817,1.42935439895,-0.3333333333333333,7.69812167765,0.865840464185,3.24724333546,0.168830348343,0.0,0.0,5.43,0.0,0.0,0.0,0.0,0.0,4.63,0.0,-166.0,-64.0,-80.0,-99.0,-3.6
00_000007,2.10971367628,2.31407120661,1.88748049954,21.9673578667,1.56134121241,-0.3333333333333333,10.527785044,0.92236272524,3.32563619077,0.930182398551,0.0,-3.537175085991925,6.42575301710406,-3.56531434954377,117.091434025497,-161.003486293226,76.8725179004834,760.4926434882639,1.0928249140080748,0.9957530171040601,-169.56531434954377,53.091434025496994,-241.003486293226,-22.127482099516598,756.8926434882638
00_000008,2.19073900141,2.7197038013,1.51371098332,24.9272586128,1.14223659066,-0.3333333333333333,13.6922237795,0.645987510354,3.55724539924,0.266365585329,0.0,-3.1168989468503123,6.46841950671936,289.659492997453,446.0558939958,-167.375037823785,393.9237603296843,670.1332735728172,1.5131010531496876,1.03841950671936,123.65949299745301,382.0558939958,-247.375037823785,294.9237603296843,666.5332735728172
00_000009,2.11406974371,2.58204020582,1.63593533317,26.3066731045,1.35210605044,-0.3333333333333333,9.07641691815,0.657901542786,3.98965857684,0.0820203505838,0.0,-3.238222194591725,6.45912301825079,-7.90417224634439,205.610499423346,-229.738643321541,134.43894220011586,696.2177718372209,1.391777805408275,1.0291230182507904,-173.9041722463444,141.610499423346,-309.73864332154096,35.43894220011586,692.6177718372209
00_000010,2.17028514259,2.76186478181,1.50483214403,25.2558585632,1.86142707255,-0.3333333333333333,11.3140664484,0.500113623677,3.7654696626,0.370601654139,0.0,-3.4182304708645126,6.24893077104997,104.620210354914,283.247529374785,-199.829362825311,223.70508970149467,734.9195512358702,1.2117695291354873,0.8189307710499705,-61.37978964508601,219.24752937478502,-279.829362825311,124.70508970149467,731.3195512358702
00_000011,2.11872658917,2.93339171144,1.60517255171,30.3940503437,1.56375157393,-0.3333333333333333,18.2460295644,0.953836299812,3.96739158913,0.098754055544,0.0,-3.7838656619649624,7.70885232081203,1159.41938953474,2012.77326699346,-1332.84085519791,1728.3219745072201,813.5311173224669,0.8461343380350375,2.27885232081203,993.41938953474,1948.77326699346,-1412.84085519791,1629.3219745072201,809.9311173224669
00_000012,2.17970621584,1.74742573871,1.7675585231,23.9085804141,1.68990931415,-0.3333333333333333,14.7807172482,0.728763544817,3.84655342812,0.295447996522,0.0,-6.83622925932015,4.57379433030131,103.659914899618,-43.7282648519613,94.5409603771057,5.401128398565135,1469.7892907538321,-2.20622925932015,-0.8562056696986895,-62.340085100382,-107.7282648519613,14.540960377105705,-93.59887160143487,1466.1892907538322
00_000013,2.16847479585,2.07958857972,1.75873655613,26.7398613848,1.26414382661,-0.3333333333333333,10.6937979181,0.936801888732,3.68355792292,0.638345278123,0.0,-3.2192856474409877,5.64360476158022,176.825869800086,147.256421175189,26.1820639803543,157.11290405015464,692.1464141998124,1.4107143525590122,0.21360476158022035,10.825869800085997,83.25642117518899,-53.8179360196457,58.11290405015464,688.5464141998124
00_000014,2.10830161269,1.97910403782,1.90438684588,26.8395767696,1.16145615758,-0.3333333333333333,7.1291487523,0.519615724558,3.6328932744,0.485477201506,0.0,-5.094745872039537,5.00000937805812,160.184376400139,-10.556932000327,80.6215628442739,46.356837466495,1095.3703624885004,-0.4647458720395372,-0.4299906219418794,-5.815623599860999,-74.556932000327,0.6215628442738961,-52.643162533505,1091.7703624885005
00_000015,2.19463690281,1.72095649763,1.68350038011,22.1653473934,1.54002211734,-0.3333333333333333,12.9437217576,0.546157589246,4.35620609527,0.767653348107,0.0,-6.1249755964138375,4.12838615251316,-36.2917813530658,-157.655979099218,-17491259.90249,-117.20124651716726,1316.869753228975,-1.4949755964138376,-1.3016138474868395,-202.2917813530658,-221.655979099218,-17491339.90249,-216.20124651716725,1313.269753228975
00_000016,2.13636866782,2.34798370766,1.71560365651,26.2079893529,1.29652347513,-0.3333333333333333,19.9587461502,0.531863076815,4.36017764346,0.502356594368,0.0,-10.3662866263939,5.72476534881834,357.054907199927,357.876497850521,-1.41146367714791,357.602634300323,2228.7516246746886,-5.736286626393901,0.2947653488183404,191.05490719992702,293.876497850521,-81.4114636771479,258.602634300323,2225.1516246746887
00_000017,2.1658759825,2.10659866024,1.58746856579,22.1717203373,1.24540991056,-0.3333333333333333,11.73672169,0.848938666436,3.83964567386,0.903381667416,0.0,-2.149676843442975,5.33041621274932,143.105386554817,120.126990407517,21.5374428706441,127.78645578995032,462.18052134023964,2.480323156557025,-0.09958378725067973,-22.894613445183012,56.126990407517,-58.4625571293559,28.786455789950324,458.5805213402396
00_000018,2.15367805501,1.6016901681,1.6463925056,25.8688097424,1.53566088481,-0.3333333333333333,18.6287156014,0.510975576818,4.07688260074,0.501384763271,0.0,-8.43704814194915,3.7898877101702,-252.355566501501,-321.830872501596,-56969057.9055664,-298.672437168231,1813.9653505190672,-3.80704814194915,-1.6401122898297995,-418.355566501501,-385.830872501596,-56969137.9055664,-397.672437168231,1810.3653505190673
00_000019,2.19885693683,1.06289330369,1.77655968947,20.4287668732,1.58534676921,-0.3333333333333333,19.0484197191,0.530032260071,3.03154637998,0.950692943398,0.0,0.0,5.43,0.0,0.0,0.0,0.0,0.0,4.63,0.0,-166.0,-64.0,-80.0,-99.0,-3.6
00_000020,2.11051655835,1.93044681144,1.75965794113,21.7485184329,1.47239417338,-0.3333333333333333,14.0528390084,0.943432564806,3.24822460597,0.1878289219,0.0,-4.42554735462635,5.29895114185842,186.653448994912,157.956729519356,27.205601970399,167.52230267787468,951.4926812446654,0.2044526453736495,-0.13104885814157985,20.653448994911997,93.956729519356,-52.794398029601,68.52230267787468,947.8926812446654
00_000021,2.10360846405,1.17863338707,1.91431212401,30.3797067324,1.44083686185,-0.3333333333333333,11.4498274874,0.967962559036,3.94793441852,0.189684734471,0.0,0.0,5.43,0.0,0.0,0.0,0.0,0.0,4.63,0.0,-166.0,-64.0,-80.0,-99.0,-3.6
00_000022,2.19771776461,1.92580277103,1.66218858138,26.2012875788,1.12272620959,-0.3333333333333333,13.7699819187,0.897909586984,3.32812851917,0.870915381466,0.0,-2.7843801815693876,5.0270919700039,119.728034800209,47.2825307500898,58.3183153790643,71.43103210012953,598.6417390374183,1.8456198184306123,-0.40290802999609987,-46.271965199791,-16.717469249910202,-21.681684620935698,-27.568967899870472,595.0417390374183
00_000023,2.1319786079,1.50997111466,1.70168679631,26.9566098614,1.21808343054,-0.3333333333333333,17.4317687269,0.950016657181,3.38056422777,0.938081382064,0.0,-3.45959103581035,4.03590539231757,-135.738263250096,-156.918211300217,-19732884.5943685,-149.85822861684332,743.8120726992253,1.17040896418965,-1.3940946076824297,-301.738263250096,-220.918211300217,-19732964.5943685,-248.85822861684332,740.2120726992252
00_000024,2.17280800629,2.66879592143,1.50875071484,30.6627825309,1.50831872528,-0.3333333333333333,18.270176625,0.840753060105,3.13883945822,0.0999692279138,0.0,-2.5587614055333625,6.66146690854695,348.557806492317,661.83139400091,-380.450075116797,557.406864831379,550.1337021896729,2.0712385944666374,1.2314669085469498,182.557806492317,597.83139400091,-460.450075116797,458.40686483137904,546.5337021896729
00_000025,2.15422725934,2.47079915052,1.63251182321,20.8275985275,1.43767685479,-0.3333333333333333,7.32451249598,0.591855502751,3.63078116182,0.615977694111,0.0,-2.7032934626823626,5.89468079037228,123.736866549007,131.567694000841,-7.87710967628458,128.957418183563,581.208094476708,1.9267065373176373,0.46468079037228005,-42.263133450992996,67.56769400084099,-87.87710967628458,29.957418183562993,577.608094476708
00_000026,2.1994030967,1.85823590594,1.79643766412,25.3838041222,1.93603793037,-0.3333333333333333,7.88416321709,0.745683391368,3.12967835382,0.0515237183534,0.0,-3.7759996920499876,4.95090691402341,93.0988461492234,44.2178167999373,42.1888235610169,60.511493249699335,811.8399337907473,0.8540003079500122,-0.47909308597659006,-72.9011538507766,-19.782183200062697,-37.8111764389831,-38.488506750300665,808.2399337907473
00_000027,2.13355440756,1.18329212068,1.61500377764,26.0801347203,1.37997915878,-0.3333333333333333,18.6974048119,0.505707418837,3.69448208419,0.466370939145,0.0,0.0,5.43,0.0,0.0,0.0,0.0,0.0,4.63,0.0,-166.0,-64.0,-80.0,-99.0,-3.6
00_000028,2.18450777519,1.42012059147,1.96874119855,25.2605767576,1.94305093386,-0.3333333333333333,17.4059097916,0.972285754037,3.74058749553,0.179469253216,0.0,-10.197901796887425,4.12718952384521,-74.0587484906428,-297.316929249791,-30700732.2610992,-222.89753566340823,2192.5488863307964,-5.567901796887425,-1.3028104761547894,-240.0587484906428,-361.316929249791,-30700812.2610992,-321.89753566340823,2188.9488863307965
00_000029,2.14925995313,2.99366178748,1.81276126322,25.7465826398,1.35956307633,-0.3333333333333333,17.794613272,0.773114300281,3.81771491417,0.921688972355,0.0,-7.225963224605563,7.83446446205096,5110.9624300152,5219.91089005023,16.3564034363202,5183.59473670522,1553.582093290196,-2.595963224605563,2.40446446205096,4944.9624300152,5155.91089005023,-63.6435965636798,5084.59473670522,1549.9820932901962
00_000030,2.17253698202,2.57918237161,1.61821431523,21.9736276412,1.61827469907,-0.3333333333333333,11.1333407452,0.739627590722,3.22889600445,0.821332650687,0.0,-2.746498696220775,6.32907281932937,22.9816753475462,191.415543446783,-183.288144654534,135.2709207470374,590.4972196874667,1.8835013037792248,0.89907281932937,-143.0183246524538,127.415543446783,-263.288144654534,36.270920747037394,586.8972196874666
00_000031,2.12172822313,2.91260523508,1.6804266801,21.8872515354,1.54856029677,-0.3333333333333333,18.8407149735,0.854932488992,3.79419197631,0.831823608553,0.0,-4.753616319270512,7.57054095124574,806.103176507168,1706.34237302001,-1362.44452534484,1406.2626408490626,1022.0275086431601,-0.12361631927051242,2.1405409512457405,640.103176507168,1642.34237302001,-1442.44452534484,1307.2626408490626,1018.4275086431601
00_000032,2.18039060913,2.80489423783,1.86639363121,28.5340614523,1.79877560465,-0.3333333333333333,10.1761289434,0.727189103132,4.35746299077,0.710639739418,0.0,-11.639801953321374,6.45506452486481,1081.76161800511,1577.40915499162,-709.886116647385,1412.1933093294501,2502.5574199640955,-7.009801953321374,1.0250645248648107,915.76161800511,1513.40915499162,-789.886116647385,1313.1933093294501,2498.9574199640956
00_000033,2.16171454037,1.46551284032,1.50948886966,21.9569981825,1.32666770009,-0.3333333333333333,14.3233180615,0.899276264303,3.25773186959,0.737269803686,0.0,0.0,5.43,0.0,0.0,0.0,0.0,0.0,4.63,0.0,-166.0,-64.0,-80.0,-99.0,-3.6
00_000034,2.13640477577,1.25499508636,1.97930676008,31.0808460048,1.38293820276,-0.3333333333333333,11.9886496958,0.91385373579,4.07842812298,0.179264756883,0.0,-7.71130935260555,3.60736663644771,-131.34174693987,-140.337382414873,-52950718.5875589,-137.33883725653865,1657.9315108101932,-3.08130935260555,-1.8226333635522898,-297.34174693987,-204.337382414873,-52950798.5875589,-236.33883725653865,1654.3315108101933
00_000035,2.11430951032,1.24079046641,1.61369313757,20.4906572226,1.39405080589,-0.3333333333333333,16.2125898605,0.825424273352,3.88926737539,0.0428410509235,0.0,0.0,5.43,0.0,0.0,0.0,0.0,0.0,4.63,0.0,-166.0,-64.0,-80.0,-99.0,-3.6
00_000036,2.18584309194,2.82703905001,1.79617026339,24.3593245116,1.30352168806,-0.3333333333333333,11.9548132965,0.752607426932,3.12155649899,0.185688264313,0.0,-5.4248556641224,7.50500242277328,2534.33435950429,2634.2268189881,63.3565154467863,2600.929332493497,1166.343967786316,-0.7948556641223998,2.07500242277328,2368.33435950429,2570.2268189881,-16.643484553213703,2501.929332493497,1162.743967786316
00_000037,2.18045467545,1.71396849624,1.9188103163,31.635712581,1.49335226162,-0.3333333333333333,6.4078944506,0.57994994343,4.28267114105,0.119342906499,0.0,-5.0592606306701375,4.53651770484802,81.5628536482108,-13.9210690016625,61.7616876227792,17.906905214961935,1087.7410355940797,-0.42926063067013764,-0.8934822951519799,-84.4371463517892,-77.9210690016625,-18.2383123772208,-81.09309478503806,1084.1410355940798
00_000038,2.15360698412,2.94769958695,1.65438760725,23.2851427123,1.02700945802,-0.3333333333333333,6.03491624921,0.834010078235,3.48839761548,0.346374181322,0.0,-1.6000841335486,7.64509636703464,2946.92677450367,3099.61906448006,253.513172553928,3048.7216344879303,344.018088712949,3.0299158664514,2.21509636703464,2780.92677450367,3035.61906448006,173.513172553928,2949.7216344879303,340.418088712949
00_000039,2.13072892294,2.0395564732,1.72031518126,24.823960758,1.4262330117,-0.3333333333333333,12.229353247,0.545381550905,3.03756489969,0.427208803417,0.0,-5.985659267494787,4.86723291970552,119.515481800772,32.2994456480955,67.6298313953655,61.37145769898766,1286.9167425113792,-1.3556592674947874,-0.5627670802944795,-46.484518199228006,-31.7005543519045,-12.3701686046345,-37.62854230101234,1283.3167425113793
