sim_id, chrg_Mg, chrg_O, MgMg_A, MgMg_rho, MgMg_C, MgO_A, MgO_rho, MgO_C, OO_A, OO_rho, OO_C, MgO_NaCl.a0, MgO_NaCl.c11, MgO_NaCl.c12, MgO_NaCl.c44, MgO_NaCl.B, MgO_NaCl.G, MgO_NaCl.fr_a, MgO_NaCl.fr_c, MgO_NaCl.sch, MgO_NaCl.001s, MgO_NaCl.a0.err, MgO_NaCl.c11.err, MgO_NaCl.c12.err, MgO_NaCl.c44.err, MgO_NaCl.B.err, MgO_NaCl.G.err, MgO_NaCl.fr_a.err, MgO_NaCl.fr_c.err, MgO_NaCl.sch.err, MgO_NaCl.001s.err
sim_id, param, param, param, param, param, param, param, param, param, param, param, qoi, qoi, qoi, qoi, qoi, qoi, qoi, qoi, qoi, qoi, err, err, err, err, err, err, err, err, err, err
0.0, 1.83343090641, -1.83343090641, 0.0, 0.5, 0.0, 795.027381516, 0.332156815846, 0.0, 16712.6392989, 0.2284495525, 81.7420599338, 4.4493078266, 231.265794663, 112.47547669, 112.72067674, 152.072249348, 59.3951589865, 9.61571128106, 9.06097262142, 5.59038699138, 0.0603047536211, 0.203307826596, -45.734205337, 20.8054766901, -31.2893232597, -1.37775065229, -33.2648410135, -1.36228871894, 0.0749726214161, 0.523386991384, 0.0043547536211
1.0, 1.48664020686, -1.48664020686, 0.0, 0.5, 0.0, 864.997448412, 0.285658652041, 0.0, 25031.5349546, 0.100862941955, 51.1483805368, 4.04111252362, 290.67249096, 88.303331727, 86.7185708631, 155.759718138, 101.184579616, 6.61157139222, 7.76638814814, 5.06569220081, 0.0646268163271, -0.204887476376, 13.6724909596, -3.36666827303, -57.2914291369, 2.30971813786, 8.52457961634, -4.36642860778, -1.21961185186, -0.00130779918572, 0.00867681632711
2.0, 1.98150604284, -1.98150604284, 0.0, 0.5, 0.0, 1306.86954248, 0.313818274894, 0.0, -4281.20748059, 0.140679385094, 16.2089216926, 4.48542537309, 293.028670634, 128.097859293, 128.16328875, 183.074796407, 82.4654056705, 11.0365971667, 10.7996609899, 6.67560292241, 0.0629917910471, 0.239425373095, 16.028670634, 36.427859293, -15.8467112497, 29.6247964067, -10.1945943295, 0.0585971666724, 1.81366098991, 1.60860292241, 0.00704179104706
3.0, 1.78826036391, -1.78826036391, 0.0, 0.5, 0.0, 1272.33612135, 0.308099768067, 0.0, 3858.90463776, 0.255802511188, 39.6763895956, 4.53883044493, 255.882492219, 100.996882548, 105.265020584, 152.625419105, 77.4428048353, 10.1522850112, 9.60460734017, 5.91415079409, 0.0555660964565, 0.292830444932, -21.1175077815, 9.32688254796, -38.7449794165, -0.824580895192, -15.2171951647, -0.825714988797, 0.618607340173, 0.847150794089, -0.000383903543522
4.0, 1.83830435418, -1.83830435418, 0.0, 0.5, 0.0, 1200.35615522, 0.299770790704, 0.0, 21034.7852878, 0.151401251474, 22.8339052112, 4.28741826071, 302.637704674, 122.871552955, 126.872781276, 182.793603528, 89.8830758594, 9.98594326456, 9.94801994532, 6.20061789839, 0.0648805683304, 0.0414182607082, 25.6377046739, 31.2015529552, -17.1372187239, 29.3436035281, -2.77692414065, -0.992056735439, 0.962019945321, 1.13361789839, 0.00893056833044
5.0, 1.7221234526, -1.7221234526, 0.0, 0.5, 0.0, 905.650425618, 0.311590443385, 0.0, 1984.98493283, 0.0717417873519, 54.4890420831, 4.31821687619, 248.001391626, 98.5210883244, 98.9173923773, 148.347856092, 74.7401516507, 8.14961236508, 8.73544764338, 5.49985567508, 0.0599064187048, 0.0722168761853, -28.9986083741, 6.85108832439, -45.0926076227, -5.10214390846, -17.9198483493, -2.82838763492, -0.250552356618, 0.432855675078, 0.0039564187048
6.0, 1.86592626272, -1.86592626272, 0.0, 0.5, 0.0, 1031.53108718, 0.307646833151, 0.0, 12409.5636459, 0.112592354354, 18.0360692588, 4.27427440986, 291.751897615, 137.182655957, 136.258329699, 188.70573651, 77.2846208286, 9.69310729866, 9.62099849753, 5.8905346753, 0.0628752794165, 0.0282744098568, 14.7518976146, 45.5126559575, -7.75167030059, 35.2557365098, -15.3753791714, -1.28489270134, 0.634998497534, 0.823534675301, 0.00692527941654
7.0, 1.77445674476, -1.77445674476, 0.0, 0.5, 0.0, 846.117043449, 0.311776472556, 0.0, 23235.8735355, 0.148781972308, 49.554030281, 4.21285771738, 290.077901875, 123.24781703, 126.075349671, 178.857845312, 83.4150424226, 8.43601661554, 9.02467356064, 5.60781868163, 0.0651777647234, -0.0331422826243, 13.0779018754, 31.5778170303, -17.9346503294, 25.407845312, -9.24495757742, -2.54198338446, 0.0386735606447, 0.540818681633, 0.00922776472342
8.0, 1.68032488509, -1.68032488509, 0.0, 0.5, 0.0, 1140.71976113, 0.300776986268, 0.0, 13980.5596438, 0.126724796237, 33.6546228953, 4.39624044589, 255.061979285, 99.4562104038, 100.153756363, 151.324800031, 77.8028844408, 8.48669347531, 8.63361870108, 5.48100175379, 0.0544823054104, 0.150240445886, -21.9380207147, 7.78621040375, -43.8562436369, -2.12519996906, -14.8571155592, -2.49130652469, -0.352381298923, 0.414001753792, -0.00146769458962
