sim_id,p_NiNi_phi0,p_NiNi_gamma,p_NiNi_r0,d_Ni_rho0,d_Ni_beta,d_Ni_r0,e_Ni_F0,Ni_fcc.E_coh,Ni_fcc.a0,Ni_fcc.c11,Ni_fcc.c12,Ni_fcc.c44,Ni_fcc.B,Ni_fcc.G,Ni_fcc.vac,Ni_fcc.100s,Ni_fcc.110s,Ni_fcc.111s,Ni_fcc.isf,E_Ni_fcc_hcp,E_Ni_fcc_bcc,E_Ni_fcc_sc,E_Ni_fcc_dia,Ni_fcc.E_coh.err,Ni_fcc.a0.err,Ni_fcc.c11.err,Ni_fcc.c12.err,Ni_fcc.c44.err,Ni_fcc.B.err,Ni_fcc.G.err,Ni_fcc.vac.err,Ni_fcc.100s.err,Ni_fcc.110s.err,Ni_fcc.111s.err,Ni_fcc.isf.err,E_Ni_fcc_hcp.err,E_Ni_fcc_bcc.err,E_Ni_fcc_sc.err,E_Ni_fcc_dia.err
sim_id,param,param,param,param,param,param,param,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
0,2.5417748479777194,2.7922060332903076,1.8722583125970451,4.442997051953352,1.5899213672129167,0.6102308747635257,-4.2058373729998735,-3.221245174932675,3.64074310588439,179.103819999727,156.296002949966,63.5046720295583,163.89860863321965,11.403908524880492,0.6940300508912287,0.04393819065943048,0.04782908416937074,0.0362349541668996,6.189841154614737e-15,0.0,0.00313004120860505,0.3075848988575052,0.7061026047388879,1.228754825067325,0.12074310588439019,-81.896180000273,5.2960029499660095,-68.4953279704417,-24.101391366780348,-89.59609147511951,-0.9059699491087714,-0.10706180934056952,-0.10017091583062926,-0.08876504583310041,-0.014499999999993811,-0.024,-0.08886995879139495,-0.2924151011424948,-0.5638973952611122
1,2.4167723059672377,3.565543164063519,1.9288203832360111,5.5578819135711495,1.351090198095124,0.953542118169137,-2.175585421850633,-3.018043678173375,3.67510193096542,240.174602050683,193.819272051041,104.985594841315,209.27104871758834,23.177664999821005,0.914922664802134,0.053112146582622984,0.057986206518051996,0.04438692134532234,-2.4298573881364168e-15,0.0,0.011558356187439944,0.4424782818050548,0.8795640033762497,1.4319563218266254,0.15510193096542002,-20.825397949316994,42.819272051041,-27.014405158684994,21.271048717588343,-77.822335000179,-0.6850773351978661,-0.09788785341737702,-0.09001379348194799,-0.08061307865467765,-0.014500000000002431,-0.024,-0.08044164381256005,-0.1575217181949452,-0.3904359966237503
2,3.797954258906245,4.7605484210491,1.767385074470731,2.606486235457404,1.7220220040000616,1.7881243851491757,-1.3801344064707313,-2.860665503166725,3.45475694521291,190.022996960033,133.992806732385,90.7407258479404,152.66953680826768,28.015095113824003,1.0086621217255924,0.0644907644993673,0.07086278097389581,0.05562844090551668,2.33724097778449e-14,0.0,0.03597900709391011,0.4620684194239151,0.0,1.589334496833275,-0.06524305478709014,-70.977003039967,-17.00719326761501,-41.259274152059604,-35.33046319173232,-72.984904886176,-0.5913378782744076,-0.08650923550063269,-0.07713721902610418,-0.06937155909448332,-0.014499999999976629,-0.024,-0.05602099290608989,-0.1379315805760849,-1.27
3,2.7840939888727902,3.8857396236460504,1.8373775391385374,1.4631174642409976,1.0176393402208612,1.5379652465352032,-3.909318340231197,-5.430110534447875,3.41694321766569,215.191513500031,163.954064100108,120.429366259763,181.03321390008236,25.61872469996149,1.8951826984226727,0.12495171112286386,0.1376743185585671,0.11012659618305333,-2.8108912262482514e-14,0.0,0.034402594724625146,0.7132169165367452,-1.2434497875801753e-14,-0.9801105344478751,-0.10305678233430982,-45.80848649996901,12.954064100108013,-11.570633740237,-6.966786099917641,-75.38127530003851,0.29518269842267264,-0.02604828887713613,-0.010325681441432893,-0.01487340381694667,-0.01450000000002811,-0.024,-0.05759740527537485,0.11321691653674526,-1.2700000000000125
4,2.1945807269637583,5.486260370432443,1.9026118954807156,4.574287216699328,1.8200436094275934,0.31939285221410685,-6.181170856420337,-5.3593769178047,3.2649503734207,134.469308951521,76.0801211523358,78.5274646592389,95.5431837520642,29.19459389959259,2.0275050036478888,0.14336789546698103,0.15826981307090124,0.12667580940454648,-0.0006352953705811281,-0.0014993758821253422,0.07274212249939982,0.8594522356860201,-0.0014993758821253422,-0.9093769178046998,-0.2550496265793001,-126.53069104847901,-74.9198788476642,-53.4725353407611,-92.4568162479358,-71.80540610040741,0.4275050036478887,-0.007632104533018963,0.010269813070901246,0.00167580940454648,-0.015135295370581128,-0.025499375882125343,-0.01925787750060018,0.25945223568602016,-1.2714993758821254
5,3.4849070742783548,5.665041642373175,1.8586518367081175,2.307709694863461,1.796459983881694,1.1779977830433142,-2.827520634701627,-3.403791252532975,3.41712300014457,223.21421835004,145.468051450006,110.583054537646,171.383440416684,38.873083450017006,1.2975646057243466,0.08358094448136544,0.0918994768066627,0.07244572770197777,1.5458274994122597e-14,0.0,0.061112712369355116,0.6087882377770351,0.0,1.0462087474670252,-0.1028769998554302,-37.78578164996,-5.531948549994013,-21.416945462353993,-16.61655958331599,-62.126916549982994,-0.30243539427565347,-0.06741905551863456,-0.05610052319333729,-0.05255427229802223,-0.014499999999984543,-0.024,-0.030887287630644883,0.00878823777703508,-1.27
6,4.7698331062498625,3.8306921185614042,1.764890781561184,1.7581821117460406,2.060567646538767,2.0772876309693804,-2.097700852835129,-3.909270470193275,3.49637472712163,248.411603974381,192.861720171456,98.1716073025759,211.37834810576433,27.774941901462498,1.0728099976224144,0.06998797938775986,0.07681623280734451,0.059227168791991615,-4.966556119155939e-14,0.0,0.03050144748504957,0.49307915043747474,0.0,0.5407295298067254,-0.02362527287837013,-12.588396025619005,41.861720171456,-33.82839269742411,23.37834810576433,-73.2250580985375,-0.5271900023775857,-0.08101202061224014,-0.07118376719265548,-0.06577283120800839,-0.014500000000049666,-0.024,-0.06149855251495043,-0.10692084956252523,-1.27
7,5.459276724761747,5.618745106326129,1.7285429695345176,0.8703385273616688,2.3684809885390874,2.4944671007564967,-1.4541669068485406,-4.35148846332925,3.24581899004923,99.2801793996478,53.1972317985492,46.9693853082017,68.55821433224874,23.041473800549305,1.5489202001227795,0.11170524239887956,0.123313277120897,0.09735954426764676,-0.00044456375934381415,-0.001028585030399931,0.07133081397188512,0.7048282304020601,1.3939775236569751,0.09851153667074986,-0.27418100995077,-161.7198206003522,-97.8027682014508,-85.03061469179829,-119.44178566775126,-77.95852619945069,-0.051079799877220555,-0.03929475760112043,-0.024686722879102993,-0.027640455732353242,-0.014944563759343815,-0.02502858503039993,-0.020669186028114878,0.10482823040206013,0.12397752365697512
8,2.331234816578209,4.394186383119005,1.9969838884998183,2.188707159783575,3.049687887323392,1.3700800112739242,-4.845547941497797,-2.77590035471035,3.51532980289461,247.68270453253,193.146975653401,74.0594675176334,211.325551946444,27.267864439564505,0.6195282862174167,0.041126599002965,0.04506603107072785,0.03412221604600204,1.128694307780371e-13,0.0,0.03475565764609989,0.32176047732149016,0.0,1.6740996452896502,-0.004670197105390184,-13.31729546746999,42.146975653401,-57.940532482366606,23.325551946443994,-73.7321355604355,-0.9804717137825834,-0.10987340099703499,-0.10293396892927215,-0.09087778395399795,-0.014499999999887131,-0.024,-0.05724434235390011,-0.2782395226785098,-1.27
9,1.9938697571990955,5.074744151387383,1.9217862207533074,3.719594922912621,2.0956914852959088,1.0597186602198552,-2.822865894310889,-3.200365821152675,3.39374960202539,179.029459950107,120.329994551138,82.3723060824447,139.896483017461,29.3497326994845,1.1109025033682087,0.07367304679611736,0.08109570378535036,0.06355800742796552,2.8494429841421436e-15,0.0,0.04892993878856,0.518526638680505,1.0223852526053125,1.2496341788473253,-0.1262503979746099,-81.970540049893,-30.670005448862,-49.627693917555305,-48.10351698253899,-71.65026730051551,-0.48909749663179136,-0.07732695320388264,-0.06690429621464963,-0.061441992572034476,-0.01449999999999715,-0.024,-0.04307006121144,-0.08147336131949501,-0.24761474739468747
10,0.9921884590230866,4.519956235193333,2.0438078483589153,1.1693692652645171,1.9698456802991922,1.2217232706364398,-3.5451023808658984,-2.597709349608975,3.45840747038316,175.553490854873,126.573696510058,78.0481720600638,142.90029462499635,24.489897172407495,0.849599670937323,0.054868443468121676,0.060308265776971785,0.047004983294173915,-1.2347520482280602e-14,0.0,0.031040500474559973,0.3953297191251153,0.7960338997560628,1.852290650391025,-0.06159252961683981,-85.44650914512701,-24.426303489942,-53.951827939936194,-45.09970537500365,-76.5101028275925,-0.7504003290626771,-0.09613155653187833,-0.0876917342230282,-0.07799501670582609,-0.014500000000012348,-0.024,-0.060959499525440025,-0.2046702808748847,-0.47396610024393726
11,2.4977264284715197,5.2824351099463405,1.9210840891959684,3.5426189822203544,1.5856481324976355,0.049895758225926484,-6.983355564271471,-4.776189534827175,3.38048535457064,231.111189950024,151.623149075022,122.478723182968,178.11916270002268,39.74402043750099,1.812351592663731,0.11955916498852869,0.13159550845781254,0.10463162362907891,-4.8335815661222015e-06,-1.2312353725008052e-05,0.06856822690560982,0.7982250443434848,-1.2434497875801753e-14,-0.32618953482717483,-0.13951464542935987,-29.888810049976,0.6231490750220132,-9.521276817032003,-9.880837299977316,-61.25597956249901,0.21235159266373094,-0.03144083501147131,-0.016404491542187455,-0.020368376370921093,-0.014504833581566123,-0.02401231235372501,-0.02343177309439018,0.19822504434348487,-1.2700000000000125
12,1.1614661752558249,3.4001858675176986,2.0967797355011606,1.462812243357169,2.5986328548102566,1.247391385751441,-7.0474903753020435,-3.919034896362,3.35167676789985,133.386984150274,114.299786649644,26.8667343420274,120.66218581652068,9.543598750314999,0.6654880675199593,0.05175945396837455,0.05616607274322988,0.04341558116320577,-2.0209556663131503e-05,-5.095338527505433e-05,0.017604706216495014,0.2762811669464802,0.0,0.5309651036380001,-0.1683232321001502,-127.613015849726,-36.700213350355995,-105.1332656579726,-67.33781418347932,-91.456401249685,-0.9345119324800408,-0.09924054603162544,-0.09183392725677011,-0.08158441883679424,-0.014520209556663131,-0.024050953385275055,-0.07439529378350498,-0.3237188330535198,-1.27
13,1.8753222636824818,4.58298272132917,2.000046083829703,3.5830197045409005,2.5589430461965903,0.9858303919533586,-4.207169812882205,-2.6146105566866,3.51889918704565,225.019434417859,165.517693268574,84.9140986425148,185.35160698500235,29.750870574642505,0.7475249480171442,0.04753197260043505,0.052240368509120685,0.03995013792488813,-1.4577015104686326e-14,0.0,0.036983994465904946,0.38007842617168963,0.7074559609547497,1.8353894433134004,-0.001100812954350161,-35.980565582141,14.517693268573993,-47.0859013574852,-2.6483930149976516,-71.2491294253575,-0.8524750519828559,-0.10346802739956495,-0.09575963149087931,-0.08504986207511187,-0.014500000000014578,-0.024,-0.05501600553409505,-0.21992157382831035,-0.5625440390452503
14,3.4863252799900835,4.376658230952811,1.7554969504579105,4.910024210761373,1.213099709942382,0.5772057614954684,-2.2365755124593956,-3.084440502936325,3.48591473131838,188.870955027197,139.246776550798,96.2362389086659,155.78816937626434,24.812089238199505,1.1103592814357626,0.06969358578541456,0.07649854383844289,0.060436382678924344,2.2956462863723386e-14,0.0,0.02610594824068002,0.479239494764065,1.0408154075754248,1.3655594970636753,-0.03408526868162021,-72.129044972803,-11.753223449202011,-35.7637610913341,-32.211830623735665,-76.1879107618005,-0.4896407185642375,-0.08130641421458544,-0.0715014561615571,-0.06456361732107566,-0.014499999999977045,-0.024,-0.06589405175931998,-0.12076050523593496,-0.22918459242457523
15,3.4679975138748356,5.126529414564273,1.8337471305461215,3.8056772149902525,1.8940633409860836,1.6342262094329003,-0.392676535051816,-0.5561306710618275,3.88788712134419,212.573876249371,155.005609750515,90.437355910396,174.19503191680033,28.78413324942801,0.19206149656174176,0.009650384224303768,0.010582850582288096,0.008006120840006167,-4.070929118967507e-15,0.0,0.013720873769237474,0.11216195513285943,0.17261585716485872,3.8938693289381727,0.3678871213441899,-48.42612375062899,4.005609750514992,-41.56264408960401,-13.804968083199668,-72.21586675057199,-1.4079385034382583,-0.1413496157756962,-0.1374171494177119,-0.11699387915999383,-0.014500000000004072,-0.024,-0.07827912623076252,-0.48783804486714055,-1.0973841428351414
