sim_id,p_NiNi_phi0,p_NiNi_gamma,p_NiNi_r0,d_Ni_rho0,d_Ni_beta,d_Ni_r0,e_Ni_F0,Ni_fcc.E_coh,Ni_fcc.a0,Ni_fcc.c11,Ni_fcc.c12,Ni_fcc.c44,Ni_fcc.B,Ni_fcc.G,Ni_fcc.vac,Ni_fcc.100s,Ni_fcc.110s,Ni_fcc.111s,Ni_fcc.isf,E_Ni_fcc_hcp,E_Ni_fcc_bcc,E_Ni_fcc_dia,Ni_fcc.E_coh.err,Ni_fcc.a0.err,Ni_fcc.c11.err,Ni_fcc.c12.err,Ni_fcc.c44.err,Ni_fcc.B.err,Ni_fcc.G.err,Ni_fcc.vac.err,Ni_fcc.100s.err,Ni_fcc.110s.err,Ni_fcc.111s.err,Ni_fcc.isf.err,E_Ni_fcc_hcp.err,E_Ni_fcc_bcc.err,E_Ni_fcc_dia.err
sim_id,param,param,param,param,param,param,param,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
00_000777,1.845497845610554,6.456335370354459,2.0183729530610175,3.7982094265547564,2.488740634590223,1.6805753108503743,-1.5880777323446995,-3.477949242656375,3.40380465395933,247.533359800582,151.707710449409,111.8028772414,183.64959356646668,47.91282467558649,1.326535597521172,0.08720525961452529,0.09627004182465745,0.07691424782503879,4.718712701822879e-05,0.00011770473397509917,0.08492851548250036,1.1644322020007878,0.972050757343625,-0.11619534604067017,-13.46664019941801,0.7077104494090065,-20.197122758600003,-4.350406433533323,-53.08717532441351,-0.2734644024788282,-0.0605947403854747,-0.029229958175342546,-0.07448575217496121,-0.008812812872981772,-0.0198822952660249,-0.04507148451749965,-0.6355677979992123
00_000778,1.528136556686302,5.441877484464535,2.05331371839611,1.3671700340721804,2.9335794011948417,2.394700265740248,-1.2691956631456658,-3.75520147006535,3.38327965611673,226.113821849867,151.173387349991,83.7415438081453,176.153532183283,37.470217249938,1.1981114951834684,0.08179875863552818,0.09036522143303528,0.07101482097699038,5.364063511275128e-07,1.2323010754045072e-06,0.07168014782453502,1.0784730150272002,0.69479852993465,-0.1367203438832698,-34.88617815013299,0.17338734999100325,-48.258456191854705,-11.846467816716995,-63.529782750062,-0.4018885048165317,-0.0660012413644718,-0.03513477856696472,-0.08038517902300962,-0.008859463593648873,-0.019998767698924596,-0.05831985217546498,-0.7215269849727999
00_001290,2.724087526429029,6.494381522503411,1.965705101906552,1.9122302318686362,2.5021154503237653,1.672321398268104,-2.638836218669582,-4.1625767590985,3.3721565588811,241.81626625068,143.817769349698,109.989616469178,176.4839349833587,48.999248450490995,1.588299249720535,0.1065690478186479,0.11759680456345246,0.0941051233803339,0.0001329256931314114,0.00032692886717544667,0.10096989531624967,0.021805255520487954,0.28742324090150007,-0.14784344111890002,-19.183733749319998,-7.182230650301989,-22.010383530821997,-11.516065016641306,-52.000751549509005,-0.011700750279465044,-0.04123095218135209,-0.007903195436547536,-0.057294876619666105,-0.00872707430686859,-0.019673071132824554,-0.029030104683750335,-1.778194744479512
00_000782,3.3672249322055445,4.9337529644811,1.8874270415196306,2.3150607086059756,2.370351247100408,1.4619474717199417,-3.7022349903117733,-4.85752934897125,3.37995280641601,232.339375698939,155.372147550224,99.8077697846847,181.02789026646235,38.48361407435749,1.6289940504697142,0.11224232811410152,0.12392707625355676,0.09988518909515033,0.00023119226046122205,0.0005703051187495589,0.06676087492351446,0.0005703051187371244,-0.4075293489712495,-0.1400471935839902,-28.660624301061006,4.372147550224014,-32.192230215315305,-6.97210973353765,-62.51638592564251,0.02899405046971415,-0.035557671885898465,-0.0015729237464432444,-0.051514810904849676,-0.008628807739538778,-0.01942969488125044,-0.06323912507648555,-1.799429694881263
00_001807,2.0149368801895307,5.438784705510581,2.050293515381883,2.547322261910536,2.672099125378293,1.4781396928844215,-4.151364848400449,-4.954975956785,3.40658288924159,323.534862749511,214.441262125183,132.007779928731,250.80579566662564,54.546800312163995,1.67348999421597,0.11200951742354685,0.12371933368868793,0.09814129821379786,8.717144122987897e-06,2.1219019024520946e-05,0.09163071728962446,1.4942898679090124,-0.5049759567849996,-0.1134171107584101,62.53486274951098,63.44126212518299,0.007779928730997199,62.80579566662564,-46.453199687836005,0.07348999421596991,-0.035790482576453134,-0.0017806663113120735,-0.05325870178620215,-0.008851282855877012,-0.01997878098097548,-0.03836928271037554,-0.30571013209098763
00_000787,2.669239895133931,5.9469296220111545,1.9467461516516533,3.17835819152679,2.486013393138726,1.6340982792401504,-1.928590165836785,-3.5580869346669,3.40765230924116,241.83500460058,153.123479674832,106.960578046156,182.69398798341467,44.355762462874,1.3072191992183093,0.08637159787860663,0.09535586885314795,0.07622019774053121,4.0890099269493236e-05,0.0001019382522002843,0.07525890384652012,1.1531976211267128,0.8919130653331,-0.1123476907588401,-19.164995399420008,2.123479674831998,-25.039421953844,-5.306012016585328,-56.644237537126,-0.2927808007816908,-0.06142840212139336,-0.03014413114685205,-0.0751798022594688,-0.008819109900730506,-0.019898061747799716,-0.054741096153479885,-0.6468023788732873
00_001302,3.6106958631710486,5.002768919231797,1.8345158016234417,2.2083651086305807,2.1162959180594436,1.047105477491554,-4.614406718034463,-4.41868592353015,3.37630050995694,196.444630650512,128.489792450273,91.6748278468785,151.141405183686,33.977419100119505,1.564661586247098,0.10785325317923312,0.11904942533129727,0.0971874237958512,0.0003914812791424212,0.0009631278424002687,0.05911077564022538,1.3700214810992124,0.03131407646985007,-0.14369949004306015,-64.55536934948799,-22.510207549727,-40.3251721531215,-36.858594816313996,-67.0225808998805,-0.03533841375290203,-0.03994674682076686,-0.006450574668702733,-0.05421257620414881,-0.008468518720857578,-0.01903687215759973,-0.07088922435977463,-0.42997851890078764
00_001814,2.6996514594197443,4.166548733639161,1.9226008886045574,2.7835219390993884,2.063256791612678,2.180597742128338,-1.570628087802585,-5.043742269521125,3.44163229907237,253.418194260302,184.878579452197,107.920855132975,207.7251177215653,34.2698074040525,1.5949866058833777,0.10807635941728708,0.11960576555709665,0.09735844071198994,4.672243192143456e-05,0.00010667179185031017,0.044227573095425576,1.2434497875801753e-14,-0.5937422695211252,-0.07836770092763023,-7.581805739698012,33.87857945219699,-24.079144867024993,19.72511772156531,-66.7301925959475,-0.005013394116622383,-0.03972364058271291,-0.005894234442903351,-0.05404155928801006,-0.008813277568078565,-0.01989332820814969,-0.08577242690457443,-1.7999999999999876
00_001816,3.187586775932845,4.757115934851023,1.8523494658905406,3.6429326514729596,1.8863519947016278,1.23632088310806,-2.5346869707971926,-4.1633514905797,3.43105027647837,218.422049665242,149.443951992362,102.611426391133,172.43665121665535,34.489048836440006,1.4875629057368656,0.0993474091897117,0.10982973382122836,0.09026573831431449,0.0001809493064276785,0.00044586627172460425,0.04823267282104471,1.2984308500395998,0.2866485094203002,-0.08894972352163011,-42.577950334757986,-1.5560480076379974,-29.388573608867006,-15.56334878334465,-66.51095116356,-0.11243709426313453,-0.048452590810288285,-0.01567026617877164,-0.06113426168568552,-0.008679050693572322,-0.019554133728275396,-0.0817673271789553,-0.5015691499604003
00_000281,2.7580494771142283,6.280612638925245,1.9701777745882887,1.9743845207809176,2.279487690181891,1.2141824811953494,-3.8626016254188382,-3.801175248676025,3.43208443071469,297.012895499939,186.151745275492,137.423527743544,223.10546201697434,55.43057511222351,1.470156837825641,0.09507667088567724,0.10495519379874474,0.08446822587415434,3.976636416814054e-06,7.721883599653978e-06,0.08493141534358006,0.018440741486787537,0.6488247513239753,-0.08791556928531019,36.01289549993902,35.151745275492004,5.423527743544014,35.10546201697434,-45.56942488777649,-0.12984316217435898,-0.052723329114322745,-0.02054480620125526,-0.06693177412584567,-0.008856023363583185,-0.019992278116400346,-0.04506858465641994,-1.7815592585132125
