sim_id,p_NiNi_phi0,p_NiNi_gamma,p_NiNi_r0,d_Ni_rho0,d_Ni_beta,d_Ni_r0,e_Ni_latticetype,e_Ni_ecoh,e_Ni_B,e_Ni_a0,Ni_fcc.E_coh,Ni_fcc.a0,Ni_fcc.E_coh.err,Ni_fcc.a0.err
sim_id,param,param,param,param,param,param,param,param,param,param,qoi,qoi,err,err
0,3.55740712188,3.82533609109,2.489015869776647,2.57267301191,6.90409025798,2.489015869776647,fcc,-4.45,188.0,3.52,-9678707.9022341,1.73370330060213,-9678703.4522341,-1.78629669939787
2,3.35794296894,2.28583770514,2.489015869776647,2.85168659073,3.50866036704,2.489015869776647,fcc,-4.45,188.0,3.52,-9122.088695095776,4.57071666036119,-9117.638695095775,1.0507166603611897
3,1.14964023559,2.35014889557,2.489015869776647,1.14645602716,4.42486516252,2.489015869776647,fcc,-4.45,188.0,3.52,-10612.86131234095,3.41535130939416,-10608.41131234095,-0.10464869060584014
4,0.982602919717,5.98535441461,2.489015869776647,2.79487772243,2.52740393643,2.489015869776647,fcc,-4.45,188.0,3.52,-4.452361798798425,3.51807602484457,-0.002361798798425241,-0.0019239751554298579
6,1.06088262027,4.12166562381,2.489015869776647,1.28360170622,2.10390171943,2.489015869776647,fcc,-4.45,188.0,3.52,-4.451033498982975,3.51934308972672,-0.0010334989829745567,-0.0006569102732800758
7,2.54438924898,4.20137543213,2.489015869776647,1.99639292279,5.24906084098,2.489015869776647,fcc,-4.45,188.0,3.52,-553676.6219852575,2.61110874104138,-553672.1719852575,-0.90889125895862
8,3.67169177643,5.34375432448,2.489015869776647,2.51102971317,4.55496394145,2.489015869776647,fcc,-4.45,188.0,3.52,-4.47873827959455,3.52108433718341,-0.028738279594549887,0.0010843371834101667
10,3.27251068717,3.48912608986,2.489015869776647,3.60316523134,3.13120769379,2.489015869776647,fcc,-4.45,188.0,3.52,-4.452087422393675,3.52085547617059,-0.002087422393675098,0.0008554761705901193
11,0.672889156918,2.03611680855,2.489015869776647,2.95666962711,2.67269701971,2.489015869776647,fcc,-4.45,188.0,3.52,-6.87737873978685,5.43677913214322,-2.4273787397868496,1.9167791321432204
