sim_id,chrg_Mg,chrg_O,MgMg_A,MgMg_rho,MgMg_C,MgO_A,MgO_rho,MgO_C,OO_A,OO_rho,OO_C,MgO_NaCl.a0,MgO_NaCl.c11,MgO_NaCl.c12,MgO_NaCl.c44,MgO_NaCl.B,MgO_NaCl.G,MgO_NaCl.fr_a,MgO_NaCl.fr_c,MgO_NaCl.sch,MgO_NaCl.001s,MgO_NaCl.a0.err,MgO_NaCl.c11.err,MgO_NaCl.c12.err,MgO_NaCl.c44.err,MgO_NaCl.B.err,MgO_NaCl.G.err,MgO_NaCl.fr_a.err,MgO_NaCl.fr_c.err,MgO_NaCl.sch.err,MgO_NaCl.001s.err,MgO_NaCl.optical_ph,MgO_NaCl.th_exp,MgO_NaCl.optical_ph.err,MgO_NaCl.th_exp.err
sim_id,param,param,param,param,param,param,param,param,param,param,param,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,err,err,err,err,err,err,err,err,err,err,qoi_v,qoi_v,error_v,error_v
LC,2.0,-2.0,0.0,0.5,0.0,821.6,0.32,0.0,22764.0,0.149,27.88,4.2107902169152,307.571810176713,171.13560278936,168.168424864137,216.61433858514434,68.21810369367648,9.67958273889598,9.81003415099621,5.796822583346511,0.06783775861630922,-0.035209783084800605,30.571810176712972,79.46560278936,24.158424864137004,63.16433858514435,-24.441896306323514,-1.298417261104019,0.8240341509962086,0.7298225833465111,0.011887758616309224,328.645011,1.07740195457e-05,-56.35498899999999,-2.59804542623e-08
BG1,2.0,-2.0,0.0,0.5,0.0,1279.69,0.29969,0.0,9547.96,0.21916,32.0,4.20883001371435,360.10697476092,162.3143150169,160.683383081696,228.2452015982429,98.89632987200999,12.428466047278562,11.87773342645869,7.20095386800221,0.08064679409333339,-0.03716998628565005,83.10697476092002,70.6443150169,16.673383081696016,74.7952015982429,6.236329872009989,1.450466047278562,2.891733426458689,2.1339538680022097,0.02469679409333339,390.700786,9.38067871982e-06,5.700785999999994,-1.41932128018e-06
BG2,1.7,-1.7,0.0,0.5,0.0,929.69,0.29909,0.0,4870.0,0.267,7.0,4.222448,301.31582205825,150.827961278274,142.471471981922,200.99058153826635,75.2439303899885,10.43573261594292,8.526618652243087,5.509124492308274,0.0692527122209811,-0.02355200000000046,24.315822058249978,59.15796127827399,-1.538528018077983,47.540581538266366,-17.41606961001149,-0.5422673840570802,-0.4593813477569135,0.4421244923082739,0.013302712220981103,269.949462,1.46567086116e-05,-115.05053800000002,3.8567086116e-06
1550,1.61788085404,-1.61788085404,0.0,0.5,0.0,1270.77016358,0.289927615298,0.0,25294.686284,0.23092708795,64.70695309,4.387698206,266.483763587,105.756024155,109.147124532,159.331937299,80.3638697163,10.6663774363,8.57864161845,5.57177401414,0.0595154498068,0.141698205996,-10.5162364127,14.0860241548,-34.8628754684,5.88193729896,-12.2961302837,-0.311622563705,-0.407358381555,0.504774014141,0.00356544980683,340.142237,1.34121486046e-05,-44.85776299999998,2.6121486046e-06
762,1.62210690345,-1.62210690345,0.0,0.5,0.0,1093.65648614,0.288120885307,0.0,27681.4639463,0.195186907555,33.9888770892,4.20114073799,281.794192375,107.602700202,113.993236414,165.666530926,87.0957460869,9.05077902814,8.42574847009,5.4253809125,0.0605582505531,-0.0448592620138,4.79419237544,15.9327002017,-30.0167635857,12.2165309263,-5.56425391314,-1.92722097186,-0.560251529913,0.358380912504,0.00460825055308,359.323257,1.34070331409e-05,-25.676742999999988,2.60703314088e-06
5965,1.63809973813,-1.63809973813,0.0,0.5,0.0,1011.09594071,0.293775457172,0.0,15450.6161462,0.201238188169,44.5968430762,4.20362176702,278.219899544,102.409801441,112.094643832,161.013167475,87.9050490514,8.76649210954,8.52665632486,5.4875064394,0.0625178369706,-0.0423782329783,1.21989954351,10.7398014407,-31.9153561675,7.56316747496,-4.75495094858,-2.21150789046,-0.459343675144,0.420506439396,0.00656783697063,359.731886,1.31589724257e-05,-25.268114000000025,2.35897242569e-06
8984,1.67898204243,-1.67898204243,0.0,0.5,0.0,1410.19196151,0.285100364104,0.0,27180.5329104,0.0677481808569,9.99074955796,4.31538678733,271.918976065,99.5701996622,103.579202507,157.019791796,86.1743882012,9.16797846101,8.93210912475,5.65094515273,0.0557842119557,0.0693867873324,-5.08102393541,7.90019966217,-40.4307974932,3.56979179631,-6.48561179879,-1.81002153899,-0.0538908752507,0.583945152735,-0.000165788044273,368.188966,1.27560504856e-05,-16.811034000000006,1.95605048558e-06
5429,1.55127165438,-1.55127165438,0.0,0.5,0.0,1256.2210749,0.273906410744,0.0,8102.88122771,0.224471084067,23.7005273279,4.15317225717,288.610035023,108.543284987,110.807771992,168.565534999,90.033375018,9.19219073299,8.29427248349,5.19083014837,0.0583122017116,-0.0928277428304,11.6100350226,16.8732849866,-33.2022280077,15.1155349986,-2.62662498199,-1.78580926701,-0.691727516514,0.123830148369,0.00236220171157,357.837238,1.41976223228e-05,-27.162761999999987,3.39762232276e-06
467,1.67910797263,-1.67910797263,0.0,0.5,0.0,1257.11106065,0.285728785021,0.0,6737.9536728,0.226957457717,38.2959260787,4.22119398539,277.86270713,102.341348959,111.945762997,160.848468349,87.7606790851,9.87592540227,9.45588007611,5.89343759293,0.0651416147576,-0.0248060146075,0.862707129636,10.6713489594,-32.0642370027,7.39846834945,-4.89932091486,-1.10207459773,0.469880076107,0.826437592927,0.00919161475763,374.264427,1.23873371404e-05,-10.735572999999988,1.58733714037e-06
