sim_id,p_NiNi_phi0,p_NiNi_gamma,p_NiNi_r0,d_Ni_rho0,d_Ni_beta,d_Ni_r0,e_Ni_latticetype,e_Ni_ecoh,e_Ni_B,e_Ni_a0,Ni_fcc.E_coh,Ni_fcc.a0,Ni_fcc.c11,Ni_fcc.c12,Ni_fcc.c44,Ni_fcc.B,Ni_fcc.G,Ni_fcc.vac,Ni_fcc.100s,Ni_fcc.110s,Ni_fcc.111s,Ni_fcc.isf,E_Ni_fcc_hcp,E_Ni_fcc_bcc,E_Ni_fcc_dia,Ni_fcc.E_coh.err,Ni_fcc.a0.err,Ni_fcc.c11.err,Ni_fcc.c12.err,Ni_fcc.c44.err,Ni_fcc.B.err,Ni_fcc.G.err,Ni_fcc.vac.err,Ni_fcc.100s.err,Ni_fcc.110s.err,Ni_fcc.111s.err,Ni_fcc.isf.err,E_Ni_fcc_hcp.err,E_Ni_fcc_bcc.err,E_Ni_fcc_dia.err
sim_id,param,param,param,param,param,param,param,param,param,param,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
0,2.6570789992093875,2.00284613579865,2.489015869776647,2.4250287479693404,1.7635919630586856,2.489015869776647,fcc,-4.45,188.0,3.52,-4.543087346124325,3.50764015709136,181.615943757981,160.4371154105,59.6021957223581,167.49672485966036,10.589414173740494,1.6775656159397272,0.17591708885137544,0.1866523873509086,0.1700606206997311,4.640414376519116e-05,0.00012240777652472445,0.005840328312284981,1.1121163645849745,-0.09308734612432445,-0.012359842908640228,-79.384056242019,9.437115410500013,-72.39780427764191,-20.50327514033964,-90.4105858262595,0.0775656159397271,0.028117088851375455,0.06115238735090861,0.018660620699731095,-0.00881359585623481,-0.019877592223475276,-0.12415967168771502,-0.6878836354150255
2,3.406778860407175,1.6689971764648184,2.489015869776647,2.924807589655705,1.6264025895377143,2.489015869776647,fcc,-4.45,188.0,3.52,-4.522841547651625,3.51821131648113,193.067698705974,189.621676801927,11.2467662753364,190.77035076994267,1.7230109520235004,0.4135263296508924,0.07410885073304428,0.0723559618504381,0.07004565641539827,1.9842293802925118e-05,5.252778939990321e-05,0.0006069855557999659,0.22843440627125045,-0.07284154765162487,-0.0017886835188698491,-67.93230129402599,38.62167680192701,-120.7532337246636,2.7703507699426666,-99.2769890479765,-1.1864736703491077,-0.0736911492669557,-0.053144038149561895,-0.08135434358460174,-0.008840157706197074,-0.019947472210600097,-0.12939301444420004,-1.5715655937287496
3,1.7536693341292566,2.247076810219949,2.489015869776647,4.010203188870042,1.8040624943942494,2.489015869776647,fcc,-4.45,188.0,3.52,-4.5027819276142,3.50891812546924,210.676062111854,179.215904315375,81.1268013659465,189.70262358086802,15.730078898239498,2.0532460444754292,0.18592465116054976,0.1979799124244849,0.18080295065991422,2.4595120130476094e-05,6.476016242551452e-05,0.010424126405840006,3.246855413774341e-05,-0.052781927614200086,-0.01108187453076015,-50.32393788814599,28.215904315375013,-50.873198634053495,1.7026235808680212,-85.2699211017605,0.45324604447542916,0.03812465116054978,0.0724799124244849,0.029402950659914218,-0.008835404879869524,-0.019935239837574486,-0.11957587359416,-1.7999675314458623
5,0.35277096384248985,2.2788669498502956,2.489015869776647,1.9295304882249469,1.6177265187975844,2.489015869776647,fcc,-4.45,188.0,3.52,-4.4757963842595,3.51931248000368,194.167448937993,185.441887320096,23.3192980779207,188.35040785939498,4.3627808089485,0.6748894666904448,0.09069023676751539,0.09406314033097767,0.08448366525265444,1.2816051288526193e-05,3.4072015849595516e-05,0.002728839647939907,3.407201583716102e-05,-0.025796384259499483,-0.0006875199963198853,-66.83255106200701,34.44188732009599,-108.6807019220793,0.3504078593949771,-96.6372191910515,-0.9251105333095553,-0.057109763232484595,-0.031436859669022335,-0.06691633474734557,-0.008847183948711474,-0.019965927984150405,-0.1272711603520601,-1.7999659279841629
6,0.17341096334403583,2.348098214381325,2.489015869776647,3.763351469154714,1.717186501736164,2.489015869776647,fcc,-4.45,188.0,3.52,-4.45745616928345,3.52078920710933,191.927905096251,187.431948505796,11.4575337445671,188.93060070261433,2.2479782952275116,0.33978054154414394,0.05025015209817957,0.04734167742117973,0.04633129202957303,3.1762641109615734e-06,8.447227875407748e-06,0.0015394174137002281,0.2255328565727126,-0.007456169283449832,0.000789207109329837,-69.07209490374899,36.43194850579599,-120.5424662554329,0.9306007026143277,-98.75202170477249,-1.2602194584558561,-0.09754984790182042,-0.07815832257882027,-0.10506870797042697,-0.008856823735889039,-0.019991552772124593,-0.12846058258629978,-1.5744671434272874
7,4.19279641948598,1.988223829291895,2.489015869776647,4.498646572436834,1.84857484843626,2.489015869776647,fcc,-4.45,188.0,3.52,-4.519450656440375,3.51077400673986,208.399050931632,188.317217701287,55.3143754831106,195.011162111402,10.040916615172492,1.5245458304431168,0.15688039275278223,0.16668377162784367,0.15039512786609333,3.533797384967393e-05,9.355054327464529e-05,0.005830227986789893,0.0,-0.06945065644037474,-0.009225993260140175,-52.60094906836801,37.31721770128701,-76.68562451688939,7.011162111402001,-90.95908338482751,-0.07545416955688333,0.009080392752782246,0.041183771627843674,-0.0010048721339066813,-0.008824662026150325,-0.019906449456725355,-0.12416977201321011,-1.8
8,1.932609864208541,2.0871304905403183,2.489015869776647,5.2698484728537895,1.7340314126030394,2.489015869776647,fcc,-4.45,188.0,3.52,-4.508374093724375,3.50621544150791,260.351793834409,236.470158037799,66.0246082470401,244.43070330333566,11.940817898305014,1.8180995123651087,0.1850290131444907,0.1964372262191163,0.17954147530114417,4.534079674596732e-05,0.00011936772564968834,0.006854802155864981,5.966874241192244e-05,-0.05837409372437463,-0.013784558492090149,-0.6482061655909774,85.470158037799,-65.9753917529599,56.43070330333566,-89.05918210169499,0.2180995123651086,0.0372290131444907,0.0709372262191163,0.028141475301144164,-0.008814659203254032,-0.019880632274350312,-0.12314519784413502,-1.7999403312575881
9,1.9681110519441514,2.2856380570916,2.489015869776647,2.00360715619631,1.8968459169762308,2.489015869776647,fcc,-4.45,188.0,3.52,-4.522695070017675,3.51247062761693,211.922249429086,178.93691760545,81.9418771247443,189.93202821332866,16.49266591181801,1.981960425641205,0.17116365877292916,0.18283589308048867,0.1654273560374424,8.1400917680944e-06,2.1239949149709503e-05,0.01170048279521474,1.076631440000142e-05,-0.07269507001767472,-0.007529372383070054,-49.07775057091399,27.93691760544999,-50.058122875255705,1.932028213328664,-84.50733408818199,0.3819604256412048,0.023363658772929174,0.05733589308048867,0.014027356037442401,-0.008851859908231905,-0.01997876005085029,-0.11829951720478527,-1.7999892336856
10,3.0967525760265184,1.796965439343575,2.489015869776647,5.630930586621862,1.7894117143737385,2.489015869776647,fcc,-4.45,188.0,3.52,-4.471358517569875,3.52234625036889,191.447590649572,190.755627627168,2.03597342881746,190.98628196796935,0.34598151120199816,0.09866121722762955,0.015451246321754677,0.012315182196342549,0.013051602813811491,2.158019298200726e-06,5.764974300603853e-06,0.0001729126302949524,0.040512357314875125,-0.02135851756987517,0.0023462503688898018,-69.55240935042801,39.755627627167996,-129.96402657118253,2.9862819679693473,-100.654018488798,-1.5013387827723705,-0.1323487536782453,-0.11318481780365745,-0.13834839718618852,-0.0088578419807018,-0.019994235025699397,-0.12982708736970505,-1.759487642685125
